name,slug,city,state,region,control,schoolType,websiteUrl,admissionsUrl,academicsUrl,majorsUrl,applicationUrl,financialAidUrl,tuitionInState,tuitionOutOfState,tuitionInternational,tuitionYear,enrollmentTotal,enrollmentUndergrad,acceptanceRate,graduationRate,dataSourceUrl,verificationStatus,baseballNickname,baseballWebsiteUrl,rosterUrl,scheduleUrl,campsUrl,questionnaireUrl,generalContactUrl,generalContactEmail,division,conference,logoUrl,currentRosterSize,averageGpa,scholarshipNotes,scholarshipInfoUrl,transferHeavy,jucoFriendly,baseballDataSourceUrl,baseballVerificationStatus
Boston College,boston-college,Chestnut Hill,MA,NORTHEAST,PRIVATE,FOUR_YEAR,https://www.bc.edu,https://www.bc.edu/bc-web/admission.html,,,,,,,,,,,,,https://www.bc.edu,UNVERIFIED,Eagles,https://bceagles.com/sports/baseball,,,,,,,NCAA_D1,ACC,,,,,,false,false,https://bceagles.com/sports/baseball,UNVERIFIED
University of California Berkeley,university-of-california-berkeley,Berkeley,CA,PACIFIC,PUBLIC,FOUR_YEAR,https://www.berkeley.edu,https://admissions.berkeley.edu,,,,,,,,,,,,,https://www.berkeley.edu,UNVERIFIED,Golden Bears,https://calbears.com/sports/baseball,,,,,,,NCAA_D1,ACC,,,,,,false,false,https://calbears.com/sports/baseball,UNVERIFIED
Clemson University,clemson-university,Clemson,SC,SOUTHEAST,PUBLIC,FOUR_YEAR,https://www.clemson.edu,https://www.clemson.edu/admissions/,,,,,,,,,,,,,https://www.clemson.edu,UNVERIFIED,Tigers,https://clemsontigers.com/sports/baseball/,,,,,,,NCAA_D1,ACC,,,,,,false,false,https://clemsontigers.com/sports/baseball/,UNVERIFIED
Duke University,duke-university,Durham,NC,SOUTHEAST,PRIVATE,FOUR_YEAR,https://www.duke.edu,https://admissions.duke.edu,,,,,,,,,,,,,https://www.duke.edu,UNVERIFIED,Blue Devils,https://goduke.com/sports/baseball,,,,,,,NCAA_D1,ACC,,,,,,false,false,https://goduke.com/sports/baseball,UNVERIFIED
Florida State University,florida-state-university,Tallahassee,FL,SOUTHEAST,PUBLIC,FOUR_YEAR,https://www.fsu.edu,https://admissions.fsu.edu,,,,,,,,,,,,,https://www.fsu.edu,UNVERIFIED,Seminoles,https://seminoles.com/sports/baseball,,,,,,,NCAA_D1,ACC,,,,,,false,false,https://seminoles.com/sports/baseball,UNVERIFIED
Georgia Tech,georgia-tech,Atlanta,GA,SOUTHEAST,PUBLIC,FOUR_YEAR,https://www.gatech.edu,https://admission.gatech.edu,,,,,,,,,,,,,https://www.gatech.edu,UNVERIFIED,Yellow Jackets,https://ramblinwreck.com/sports/m-basebl/,,,,,,,NCAA_D1,ACC,,,,,,false,false,https://ramblinwreck.com/sports/m-basebl/,UNVERIFIED
University of Louisville,university-of-louisville,Louisville,KY,SOUTHEAST,PUBLIC,FOUR_YEAR,https://louisville.edu,https://louisville.edu/admissions,,,,,,,,,,,,,https://louisville.edu,UNVERIFIED,Cardinals,https://gocards.com/sports/baseball,,,,,,,NCAA_D1,ACC,,,,,,false,false,https://gocards.com/sports/baseball,UNVERIFIED
University of Miami,university-of-miami,Coral Gables,FL,SOUTHEAST,PRIVATE,FOUR_YEAR,https://welcome.miami.edu,https://admissions.miami.edu,,,,,,,,,,,,,https://welcome.miami.edu,UNVERIFIED,Hurricanes,https://miamihurricanes.com/sports/baseball,,,,,,,NCAA_D1,ACC,,,,,,false,false,https://miamihurricanes.com/sports/baseball,UNVERIFIED
University of North Carolina at Chapel Hill,university-of-north-carolina-at-chapel-hill,Chapel Hill,NC,SOUTHEAST,PUBLIC,FOUR_YEAR,https://www.unc.edu,https://admissions.unc.edu,,,,,,,,,,,,,https://www.unc.edu,UNVERIFIED,Tar Heels,https://goheels.com/sports/baseball,,,,,,,NCAA_D1,ACC,,,,,,false,false,https://goheels.com/sports/baseball,UNVERIFIED
North Carolina State University,north-carolina-state-university,Raleigh,NC,SOUTHEAST,PUBLIC,FOUR_YEAR,https://www.ncsu.edu,https://admissions.ncsu.edu,,,,,,,,,,,,,https://www.ncsu.edu,UNVERIFIED,Wolfpack,https://gopack.com/sports/baseball,,,,,,,NCAA_D1,ACC,,,,,,false,false,https://gopack.com/sports/baseball,UNVERIFIED
