id,name,slug,city,state,zipCode,latitude,longitude,division,conference
"cmou8cth500niqtloqxbbcs7q","Abilene Christian University","abilene-christian-university","Abilene","TX","79699","32.4697","-99.7081","",""
"cmowzryn20000qt4wsg538yat","Abraham Baldwin","abraham-baldwin","","GA.","","","","",""
"cmovlhr130000qt20ulkherhe","Adams State","adams-state","Alamosa","Colorado","","","","",""
"cmovlhr7v0003qt200jeu4smn","Adelphi","adelphi","Garden City","New York","","","","",""
"cmovorlan0000qt7g3byppnen","Adrian College","adrian-college","","MI","","","","",""
"cmou7y6lb00i0qtoctz1o5gup","Air Force Academy","air-force-academy","Colorado Springs","CO","80840","38.9986","-104.8617","",""
"cmou8bk4r00miqtuwipz7ujxn","Alabama A&M University","alabama-am-university","Huntsville","AL","35762","34.7834","-86.5685","",""
"cmou8bk6700mlqtuw9jg9v0hr","Alabama State University","alabama-state-university","Montgomery","AL","36104","32.3643","-86.2957","",""
"cmovlhr9e0006qt20s04zbjga","Alabama–Huntsville","alabama-huntsville","Huntsville","Alabama","","","","",""
"cmovlhrax0009qt20fz510cen","Albany State","albany-state","Albany","Georgia","","","","",""
"cmovorli30003qt7ghyzowd2w","Albertus Magnus College","albertus-magnus-college","","CT","","","","",""
"cmovorljq0006qt7guvyvw5kf","Albion College","albion-college","","MI","","","","",""
"cmovorllg0009qt7g9y8000ha","Albright College","albright-college","","PA","","","","",""
"cmou8bk7r00moqtuw877oh8ym","Alcorn State University","alcorn-state-university","Lorman","MS","","","","",""
"cmox2o0dw0000qtbkh1ptknlj","Alexandria Technical & Community College","alexandria-technical-and-community-college","","MN","","","","",""
"cmovorlmz000cqt7g6b3h0uae","Alfred State College","alfred-state-college","","NY","","","","",""
"cmovorloo000fqt7gouomds2d","Alfred University","alfred-university","","NY","","","","",""
"cmox234et0000qtfk8px55yy1","Allegany College of Maryland","allegany-college-of-maryland","","ND","","","","",""
"cmovorlqa000iqt7gtt2cbsy5","Allegheny College","allegheny-college","","PA","","","","",""
"cmox1gesh0000qtsgs8vvl5m1","Allen County Community College","allen-county-community-college","","KS","","","","",""
"cmovorlsi000lqt7gbw11d3am","Alma College","alma-college","","MI","","","","",""
"cmox234m30003qtfkct75nb3j","Alpena Community College","alpena-community-college","","MI","","","","",""
"cmovorlty000oqt7ghdxlcmrz","Alvernia University","alvernia-university","","PA","","","","",""
"cmovorlve000rqt7gqjl9p7fo","Alverno College","alverno-college","","WI","","","","",""
"cmox1geyb0003qtsgpr2889g6","Alvin Community College","alvin-community-college","","TX","","","","",""
"cmox1gezp0006qtsgkj63ex7n","Amarillo College","amarillo-college","","TX","","","","",""
"cmovlhrce000cqt20hho8lvjn","American International","american-international","Springfield","Massachusetts","","","","",""
"cmovorlwv000uqt7gxo4s68kz","Amherst College","amherst-college","","MA","","","","",""
"cmovlhrdv000fqt20fc4cz94u","Anderson","anderson","Anderson","South Carolina","","","","",""
"cmorjaspu0043qt4w1kqv72qo","Anderson University","anderson-university-sc","Anderson","SC","","","","",""
"cmovorlyc000xqt7goysijgft","Anderson University (Indiana)","anderson-university-indiana","","IN","","","","",""
"cmox1gf130009qtsg5t8u03t9","Andrew College","andrew-college","","GA","","","","",""
"cmox1gf2i000cqtsgqvk0bc2b","Angelina College","angelina-college","","TX","","","","",""
"cmovlhrfb000iqt20crgtp6ep","Angelo State","angelo-state","San Angelo","Texas","","","","",""
"cmovorm0h0010qt7g08xyro2x","Anna Maria College","anna-maria-college","","MA","","","","",""
"cmox234nk0006qtfk9kcfd0gh","Anne Arundel Community College","anne-arundel-community-college","","MD","","","","",""
"cmox2o0i10003qtbkbuwc3e6d","Anoka-Ramsey Community College","anoka-ramsey-community-college","","MN","","","","",""
"cmorirv6d0013qtm0857czvw2","Appalachian State University","appalachian-state-university","Boone","NC","","","","",""
"cmowzrysg0003qt4wbdg2f2jr","Aquinas","aquinas","","MICH.","","","","",""
"cmovorm1y0013qt7gvxboam20","Arcadia University","arcadia-university","","PA","","","","",""
"cmosumzx30049qtlgomg2y8hl","Arizona","arizona","Tucson","AZ","","","","",""
"cmox063zr0006qtgch1gd613b","Arizona Christian","arizona-christian","","AZ","","","","",""
"cmosumzyf004cqtlgurkdv8j2","Arizona State University","arizona-state-university","Tempe","AZ","","","","",""
"cmox1gf3v000fqtsgrot5pubs","Arizona Western College","arizona-western-college","","AZ","","","","",""
"cmox0641a0009qtgc0iweu1f4","Arkansas Baptist","arkansas-baptist","","AR","","","","",""
"cmox234oz0009qtfk9gtz21k6","Arkansas State Mid-South","arkansas-state-mid-south","","AR","","","","",""
"cmou3bz6n005oqtvovcdaj57a","Arkansas State University","arkansas-state-university","Jonesboro","AR","","","","",""
"cmox234qg000cqtfkuqal77s4","Arkansas State University - Three Rivers","arkansas-state-university-three-rivers","","AR","","","","",""
"cmox234rv000fqtfkmqhap0bm","Arkansas State University Mountain Home","arkansas-state-university-mountain-home","","AR","","","","",""
"cmovlhrgo000lqt20zp8tb7tz","Arkansas Tech","arkansas-tech","Russellville","Arkansas","","","","",""
"cmovlhri3000oqt20u6r15lsu","Arkansas–Fort Smith","arkansas-fort-smith","Fort Smith","Arkansas","","","","",""
"cmovlhrjh000rqt20cuww3urq","Arkansas–Monticello","arkansas-monticello","Monticello","Arkansas","","","","",""
"cmou853t900kfqtiwom7baojh","Army West Point","army-west-point","West Point","NY","","","","",""
"cmovorm3e0016qt7gnrklnwpu","Asbury University","asbury-university","","KY","","","","",""
"cmovlhrky000uqt2099dh2jzq","Ashland","ashland","Ashland","Ohio","","","","",""
"cmovlhrme000xqt20711ftf65","Assumption","assumption","Worcester","Massachusetts","","","","",""
"cmox2o0ji0006qtbkzyj3c0ai","Atlantic Cape Community College","atlantic-cape-community-college","","NJ","","","","",""
"cmovlhrnv0010qt20wy8uaj1a","Auburn Montgomery","auburn-montgomery","Montgomery","Alabama","","","","",""
"cmosp9qds001iqtyg1wl3lj4x","Auburn University","auburn-university","Auburn","AL","36849","32.6034","-85.4863","",""
"cmovorm4u0019qt7gf5eg3mrt","Augsburg University","augsburg-university","","MN","","","","",""
"cmovlhrpa0013qt20jlh6xwai","Augusta","augusta","Augusta","Georgia","","","","",""
"cmovlhrqr0016qt20k7o4jnhb","Augustana","augustana","Sioux Falls","South Dakota","","","","",""
"cmovorm69001cqt7gwh0u7lgx","Augustana College (Illinois)","augustana-college-illinois","","IL","","","","",""
"cmovorm7r001fqt7gtgi86m7i","Aurora University","aurora-university","","IL","","","","",""
"cmovorm97001iqt7gu3uem04g","Austin College","austin-college","","TX","","","","",""
"cmou6925b009cqt1gkx1kghnj","Austin Peay State University","austin-peay-state-university","Clarksville","TN","","","","",""
"cmox0642r000cqtgch0h1atsx","Ave Maria","ave-maria","","FL","","","","",""
"cmovormap001lqt7gre58wqw7","Averett University","averett-university","","VA","","","","",""
"cmowzrytw0006qt4wacqwr2gf","Avila","avila","","MO","","","","",""
"cmovlhrs60019qt20u2bh06fq","Azusa Pacific","azusa-pacific","Azusa","California","","","","",""
"cmosun015004iqtlg3arpxgbi","BYU","byu","Provo","UT","","","","",""
"cmox0645g000iqtgc55oneldh","Baker","baker","","KS","","","","",""
"cmovormc5001oqt7gqq50ydg3","Baldwin Wallace University","baldwin-wallace-university","","OH","","","","",""
"cmou7skej00frqtagr0af6s2l","Ball State University","ball-state-university","Muncie","IN","","","","",""
"cmovormdq001rqt7g5edt34ti","Bard College","bard-college","","NY","","","","",""
"cmovlhrtl001cqt20pohi1t33","Barry","barry","Miami Shores","Florida","","","","",""
"cmovlhrv3001fqt20zotlkdgo","Barton","barton","Wilson","North Carolina","","","","",""
"cmorjasv6004fqt4wjb7nrzah","Barton College","barton-college","Wilson","NC","","","","",""
"cmox1gf59000iqtsgg23jyda0","Barton Community College","barton-community-college","","KS","","","","",""
"cmovormf5001uqt7gleh2v84p","Bates College","bates-college","","ME","","","","",""
"cmox1gf6p000lqtsgw810db4k","Baton Rouge Community College","baton-rouge-community-college","","LA","","","","",""
"cmox234tb000iqtfkko7tsa34","Bay College","bay-college","","MI","","","","",""
"cmosumzzu004fqtlg454szeg8","Baylor University","baylor-university","Waco","TX","","","","",""
"cmovormgl001xqt7gqupckdn8","Belhaven University","belhaven-university","","MS","","","","",""
"cmou6926p009fqt1gv6h5xaxk","Bellarmine University","bellarmine-university","Louisville","KY","","","","",""
"cmowzryve0009qt4w4wlg04nk","Bellevue","bellevue","","NE","","","","",""
"cmovlhrwi001iqt205ckj8ztr","Belmont Abbey","belmont-abbey","Belmont","North Carolina","","","","",""
"cmorj0gse002iqtiog740vnk9","Belmont Abbey College","belmont-abbey-college","Belmont","NC","","","","",""
"cmou7wkoo00hxqt5s9a60o3y4","Belmont University","belmont-university","Nashville","TN","","","","",""
"cmovormi00020qt7g92d2b8ai","Beloit College","beloit-college","","WI","","","","",""
"cmovlhrxw001lqt201mmc7r2k","Bemidji State","bemidji-state","Bemidji","Minnesota","","","","",""
"cmovlhrza001oqt20lp3a51xb","Benedict","benedict","Columbia","South Carolina","","","","",""
"cmowzrywy000cqt4wzskexlt2","Benedictine","benedictine","","KS","","","","",""
"cmox0649h000rqtgcaps3f0qu","Benedictine Mesa","benedictine-mesa","","AZ","","","","",""
"cmovormjf0023qt7gjp2e75aa","Benedictine University (Illinois)","benedictine-university-illinois","","IL","","","","",""
"cmovlhs0n001rqt20hdzieczh","Bentley","bentley","Waltham","Massachusetts","","","","",""
"cmovormkw0026qt7gc0fqh6fe","Berea College","berea-college","","KY","","","","",""
"cmox2o0kz0009qtbk8078yso5","Bergen Community College","bergen-community-college","","NJ","","","","",""
"cmovormmo0029qt7g5yr3kqb8","Berry College","berry-college","","GA","","","","",""
"cmowzryyd000fqt4w75l1pt86","Bethany","bethany","","KS","","","","",""
"cmovormoh002cqt7g1z9fmljf","Bethany College (West Virginia)","bethany-college-west-virginia","","WV","","","","",""
"cmovormpx002fqt7gnwl2j59m","Bethany Lutheran College","bethany-lutheran-college","","MN","","","","",""
"cmowzryzu000iqt4wi8kavbkx","Bethel","bethel","","TN","","","","",""
"cmovormrd002iqt7g48y7z46a","Bethel University (Minnesota)","bethel-university-minnesota","","MN","","","","",""
"cmou8bk9700mrqtuwxcss2rbf","Bethune-Cookman University","bethune-cookman-university","Daytona Beach","FL","","","","",""
"cmox234ut000lqtfk4oz8sdut","Bevill State Community College","bevill-state-community-college","","AL","","","","",""
"cmovlhs21001uqt20utdzk8ls","Biola","biola","La Mirada","California","","","","",""
"cmox234w7000oqtfk8hdllep8","Bishop State Community College","bishop-state-community-college","","AL","","","","",""
"cmox234xk000rqtfk5uh31vu3","Bismarck State College","bismarck-state-college","","ND","","","","",""
"cmox234yy000uqtfkmj04pqiz","Black Hawk College","black-hawk-college","","IL","","","","",""
"cmovormst002lqt7g8x6b62t6","Blackburn College","blackburn-college","","IL","","","","",""
"cmox1gf86000oqtsgug004uy2","Blinn College","blinn-college","","TX","","","","",""
"cmovlhs3g001xqt200z2brem5","Bloomsburg","bloomsburg","Bloomsburg","Pennsylvania","","","","",""
"cmowzrz19000lqt4w1y1r6d6b","Blue Mountain Christian","blue-mountain-christian","","MS","","","","",""
"cmowzrz2p000oqt4wud5eghaw","Bluefield","bluefield","","VA","","","","",""
