programId,collegeSlug,collegeName,season,name,positionRaw,primaryPosition,classYearRaw,classBucket,heightRaw,heightInches,weightRaw,weightLb,rosterProfileUrl,sourceRosterUrl
cmou6ba0j00abqtic3zfv6xc8,butler-university,Butler University,2026,Logan Crock,INF,INF,So.,SOPHOMORE,"5'8""",68,155 lbs,155,https://butlersports.com/sports/baseball/roster/logan-crock/13109,https://butlersports.com/sports/baseball/roster
cmou6ba0j00abqtic3zfv6xc8,butler-university,Butler University,2026,David Ayers,UTL,UTIL,Jr.,JUNIOR,"6'4""",76,195 lbs,195,https://butlersports.com/sports/baseball/roster/david-ayers/13103,https://butlersports.com/sports/baseball/roster
cmou6ba0j00abqtic3zfv6xc8,butler-university,Butler University,2026,Danny Gavin,OF,OF,Jr.,JUNIOR,"5'11""",71,195 lbs,195,https://butlersports.com/sports/baseball/roster/danny-gavin/13138,https://butlersports.com/sports/baseball/roster
cmou6ba0j00abqtic3zfv6xc8,butler-university,Butler University,2026,Logan Baker,INF,INF,Sr.,SENIOR,"6'4""",76,195 lbs,195,https://butlersports.com/sports/baseball/roster/logan-baker/13139,https://butlersports.com/sports/baseball/roster
cmou6ba0j00abqtic3zfv6xc8,butler-university,Butler University,2026,Charlie Schebler,INF,INF,Jr.,JUNIOR,"6'2""",74,195 lbs,195,https://butlersports.com/sports/baseball/roster/charlie-schebler/13131,https://butlersports.com/sports/baseball/roster
cmou6ba0j00abqtic3zfv6xc8,butler-university,Butler University,2026,Aidan Thaxton,INF,INF,So.,SOPHOMORE,"5'11""",71,185 lbs,185,https://butlersports.com/sports/baseball/roster/aidan-thaxton/13130,https://butlersports.com/sports/baseball/roster
cmou6ba0j00abqtic3zfv6xc8,butler-university,Butler University,2026,Matthew Rhoades,1B,1B,Jr.,JUNIOR,"6'3""",75,205 lbs,205,https://butlersports.com/sports/baseball/roster/matthew-rhoades/13127,https://butlersports.com/sports/baseball/roster
cmou6ba0j00abqtic3zfv6xc8,butler-university,Butler University,2026,Ian Choi,SS/2B,SS,Sr.,SENIOR,"5'9""",69,168 lbs,168,https://butlersports.com/sports/baseball/roster/ian-choi/13107,https://butlersports.com/sports/baseball/roster
cmou6ba0j00abqtic3zfv6xc8,butler-university,Butler University,2026,Zak White,RHP,RHP,So.,SOPHOMORE,"6'4""",76,200 lbs,200,https://butlersports.com/sports/baseball/roster/zak-white/13140,https://butlersports.com/sports/baseball/roster
cmou6ba0j00abqtic3zfv6xc8,butler-university,Butler University,2026,Easton Moore,UTL,UTIL,Jr.,JUNIOR,"6'1""",73,190 lbs,190,https://butlersports.com/sports/baseball/roster/easton-moore/13141,https://butlersports.com/sports/baseball/roster
cmou6ba0j00abqtic3zfv6xc8,butler-university,Butler University,2026,Jack Zeller,UTL,UTIL,Fr.,FRESHMAN,"5'11""",71,185 lbs,185,https://butlersports.com/sports/baseball/roster/jack-zeller/13142,https://butlersports.com/sports/baseball/roster
cmou6ba0j00abqtic3zfv6xc8,butler-university,Butler University,2026,Gunnar Duncan,C,C,So.,SOPHOMORE,"5'11""",71,185 lbs,185,https://butlersports.com/sports/baseball/roster/gunnar-duncan/13110,https://butlersports.com/sports/baseball/roster
cmou6ba0j00abqtic3zfv6xc8,butler-university,Butler University,2026,Corbin Snyder,RHP,RHP,So.,SOPHOMORE,"6'6""",78,180 lbs,180,https://butlersports.com/sports/baseball/roster/corbin-snyder/13118,https://butlersports.com/sports/baseball/roster
cmou6ba0j00abqtic3zfv6xc8,butler-university,Butler University,2026,Jake Thomas,RHP,RHP,Fr.,FRESHMAN,"6'3""",75,190 lbs,190,https://butlersports.com/sports/baseball/roster/jake-thomas/13121,https://butlersports.com/sports/baseball/roster
cmou6ba0j00abqtic3zfv6xc8,butler-university,Butler University,2026,Keegan Connors,OF/C,OF,Sr.,SENIOR,"5'7""",67,165 lbs,165,https://butlersports.com/sports/baseball/roster/keegan-connors/13108,https://butlersports.com/sports/baseball/roster
cmou6ba0j00abqtic3zfv6xc8,butler-university,Butler University,2026,Niko Kreuzer,RHP,RHP,Jr.,JUNIOR,"6'4""",76,200 lbs,200,https://butlersports.com/sports/baseball/roster/niko-kreuzer/13143,https://butlersports.com/sports/baseball/roster
cmou6ba0j00abqtic3zfv6xc8,butler-university,Butler University,2026,Jack Hagen,RHP,RHP,Sr.,SENIOR,"6'3""",75,210 lbs,210,https://butlersports.com/sports/baseball/roster/jack-hagen/13133,https://butlersports.com/sports/baseball/roster
cmou6ba0j00abqtic3zfv6xc8,butler-university,Butler University,2026,Brian Yadlon,LHP,LHP,Gr.,GRADUATE,"6'2""",74,205 lbs,205,https://butlersports.com/sports/baseball/roster/brian-yadlon/13134,https://butlersports.com/sports/baseball/roster
cmou6ba0j00abqtic3zfv6xc8,butler-university,Butler University,2026,Chris Lewis,INF,INF,So.,SOPHOMORE,"5'10""",70,180 lbs,180,https://butlersports.com/sports/baseball/roster/chris-lewis/13144,https://butlersports.com/sports/baseball/roster
cmou6ba0j00abqtic3zfv6xc8,butler-university,Butler University,2026,Alex Kanipe,RHP,RHP,Sr.,SENIOR,"6'2""",74,210 lbs,210,https://butlersports.com/sports/baseball/roster/alex-kanipe/13113,https://butlersports.com/sports/baseball/roster
cmou6ba0j00abqtic3zfv6xc8,butler-university,Butler University,2026,Brock Buckley,RHP,RHP,Sr.,SENIOR,"6'4""",76,215 lbs,215,https://butlersports.com/sports/baseball/roster/brock-buckley/13128,https://butlersports.com/sports/baseball/roster
