programId,collegeSlug,collegeName,conference,status,season,sourceType,seasonConflict,selectedRosterUrl,playersParsed,rosterReadyPlayers,rosterReadyPct,completePlayers,completionPct,freshmen,sophomores,juniors,seniors,graduates,unknownClasses,error
cmou6ba0j00abqtic3zfv6xc8,butler-university,Butler University,Big East,SUCCESS,2026,BASE,,https://butlersports.com/sports/baseball/roster,38,38,100.0,38,100.0,5,8,14,9,2,0,
cmou6tv7r00bnqti0zdyxeksd,radford-university,Radford University,Big South,SUCCESS,2026,PROBED_YEAR,,https://radfordathletics.com/sports/baseball/roster/2026,33,33,100.0,33,100.0,9,9,11,2,2,0,
cmou72rih00ceqtt8pvkwzi7n,northeastern-university,Northeastern University,CAA,SUCCESS,2026,BASE,,https://nuhuskies.com/sports/baseball/roster,39,39,100.0,39,100.0,12,12,5,8,2,0,
cmou72rmr00cnqtt8dj51725x,unc-wilmington,UNC Wilmington,CAA,SUCCESS,2027,BASE,,https://uncwsports.com/sports/baseball/roster,37,37,100.0,37,100.0,7,15,6,8,1,0,
cmou72ro800cqqtt8a63rkwmi,william-and-mary,William & Mary,CAA,SUCCESS,2027,BASE,,https://tribeathletics.com/sports/baseball/roster,21,21,100.0,21,100.0,2,12,5,2,0,0,
cmou3xrph007hqt5sgsdjmkeg,dallas-baptist-university,Dallas Baptist University,Conference USA,SUCCESS,2026,BASE,,https://dbupatriots.com/sports/baseball/roster,38,38,100.0,38,100.0,7,6,11,13,1,0,
cmou74g4a00cwqtbow41onypu,florida-international-university,Florida International University,Conference USA,SUCCESS,2027,BASE,,https://fiusports.com/sports/baseball/roster,23,23,100.0,23,100.0,0,2,12,7,2,0,
cmou74g5m00czqtbo27ri2tut,jacksonville-state-university,Jacksonville State University,Conference USA,SUCCESS,2026,PROBED_YEAR,,https://jaxstatesports.com/sports/baseball/roster/2026,39,39,100.0,39,100.0,3,6,14,16,0,0,
cmorirvc4001eqtm05q6w6boq,kennesaw-state-university,Kennesaw State University,Conference USA,SUCCESS,2026,BASE,,https://ksuowls.com/sports/baseball/roster,28,28,100.0,28,100.0,7,9,5,6,1,0,
cmorirvmo001zqtm0q8nwguf6,liberty-university,Liberty University,Conference USA,SUCCESS,2026,BASE,,https://libertyflames.com/sports/baseball/roster,36,36,100.0,35,97.2,6,6,11,10,3,0,
cmou74g9u00d8qtbof7zmonqa,louisiana-tech-university,Louisiana Tech University,Conference USA,SUCCESS,2026,BASE,,https://latechsports.com/sports/baseball/roster,42,42,100.0,42,100.0,11,6,14,6,5,0,
