slug,programXUrl,programInstagramUrl,recruitingQuestionnaireUrl,recruitsPageUrl,sourceUrl,confidence,verifiedAt,reviewStatus
east-carolina-university,,,https://questionnaires.armssoftware.com/1c0400d4bccb,https://questionnaires.armssoftware.com/1c0400d4bccb,https://ecupirates.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
florida-atlantic-university,,,https://questionnaires.armssoftware.com/4dcc55bdd441,https://questionnaires.armssoftware.com/4dcc55bdd441,https://fausports.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
rice-university,,,https://questionnaires.armssoftware.com/2d3fd1563dd4,https://questionnaires.armssoftware.com/2d3fd1563dd4,https://riceowls.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
temple-university,https://x.com/Temple_Baseball,,,,https://owlsports.com/sports/baseball,LOW,,NEEDS_REVIEW
tulane-university,,,https://questionnaires.armssoftware.com/ea76203753c3,https://questionnaires.armssoftware.com/ea76203753c3,https://tulanegreenwave.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
university-of-alabama-at-birmingham,,,,,https://uabsports.com/sports/baseball,LOW,,NO_LINKS_FOUND
university-of-memphis,,,,,https://gotigersgo.com/sports/baseball,LOW,,NO_LINKS_FOUND
university-of-north-carolina-at-charlotte,https://twitter.com/CharlotteBSB,,,,https://charlotte49ers.com/sports/baseball,LOW,,NEEDS_REVIEW
university-of-south-florida,https://x.com/USFBaseball,https://instagram.com/USFBaseball,,,https://gousfbulls.com/sports/baseball,LOW,,NEEDS_REVIEW
university-of-texas-at-san-antonio,https://twitter.com/UTSABSB,https://instagram.com/utsabsb,https://goutsa.com/prospective-student-athletes-questionnaires,https://goutsa.com/prospective-student-athletes-questionnaires,https://goutsa.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
wichita-state-university,https://x.com/GoShockersBSB,https://instagram.com/goshockersbsb,,,https://goshockers.com/sports/baseball,LOW,,NEEDS_REVIEW
boston-college,,,http://my.armssoftware.com/arms/public/questionnaire/6c14d9714e64,http://my.armssoftware.com/arms/public/questionnaire/6c14d9714e64,https://bceagles.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
clemson-university,https://twitter.com/clemsonbaseball,https://www.instagram.com/clemsonbaseball/,,https://clemsontigers.com/baseball-recruits,https://clemsontigers.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
duke-university,,,https://my.armssoftware.com/arms/public/questionnaire/cbbc86f9e17d?path=baseball,https://my.armssoftware.com/arms/public/questionnaire/cbbc86f9e17d?path=baseball,https://goduke.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
florida-state-university,https://x.com/FSUBaseball,https://instagram.com/nolebaseball,,,https://seminoles.com/sports/baseball,LOW,,NEEDS_REVIEW
georgia-tech,http://www.twitter.com/GTBaseball,http://www.instagram.com/gt_baseball/,,https://ramblinwreck.com/georgia-tech-baseball-recruiting-central/,https://ramblinwreck.com/sports/m-basebl,MEDIUM,,NEEDS_REVIEW
north-carolina-state-university,,,,,https://gopack.com/sports/baseball,LOW,,NO_LINKS_FOUND
stanford-university,https://twitter.com/stanfordbsb,https://instagram.com/stanfordbsb,https://questionnaires.armssoftware.com/8a6fc83b3ecb,https://questionnaires.armssoftware.com/8a6fc83b3ecb,https://gostanford.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
university-of-california-berkeley,https://x.com/calbaseball,https://instagram.com/calbaseball,,,https://calbears.com/sports/baseball,LOW,,NEEDS_REVIEW
university-of-louisville,,,,,https://gocards.com/sports/baseball,LOW,,NO_LINKS_FOUND
university-of-miami,https://twitter.com/CanesBaseball,https://www.instagram.com/canesbaseball/,,https://miamihurricanes.com/recruiting/,https://miamihurricanes.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
university-of-north-carolina-at-chapel-hill,https://x.com/DiamondHeels,https://instagram.com/carolinabaseball,,,https://goheels.com/sports/baseball,LOW,,NEEDS_REVIEW
university-of-notre-dame,https://x.com/NDBaseball,https://www.instagram.com/notredamebaseball/,https://questionnaires.armssoftware.com/42f77fbd4f94,https://questionnaires.armssoftware.com/42f77fbd4f94,https://fightingirish.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
university-of-pittsburgh,,,https://pittsburghpanthers.com/sports/2017/6/17/ot-recruit-questionnaires-html,https://pittsburghpanthers.com/sports/2017/6/17/ot-recruit-questionnaires-html,https://pittsburghpanthers.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
university-of-virginia,https://twitter.com/uvabaseball,https://instagram.com/uvabaseball,https://questionnaires.armssoftware.com/4d8cc626aeb6,https://questionnaires.armssoftware.com/4d8cc626aeb6,https://virginiasports.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
virginia-tech,https://x.com/HokiesBaseball,https://www.instagram.com/hokiesbaseball/,,,https://hokiesports.com/sports/baseball,LOW,,NEEDS_REVIEW
wake-forest-university,https://x.com/WakeBaseball,https://www.instagram.com/wakebaseball/,https://questionnaires.armssoftware.com/32470f7d9cd3,https://questionnaires.armssoftware.com/32470f7d9cd3,https://godeacs.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
austin-peay-state-university,https://x.com/GovsBSB,https://instagram.com/GovsBSB,,,https://letsgopeay.com/sports/baseball,LOW,,NEEDS_REVIEW
bellarmine-university,,,https://questionnaires.armssoftware.com/1998a14b0b0d,https://questionnaires.armssoftware.com/1998a14b0b0d,https://athletics.bellarmine.edu/sports/baseball,MEDIUM,,NEEDS_REVIEW
eastern-kentucky-university,https://x.com/ekubaseball,https://instagram.com/ekubaseball,,,https://ekusports.com/sports/baseball,LOW,,NEEDS_REVIEW
florida-gulf-coast-university,https://x.com/FGCU_Baseball,https://instagram.com/fgcu_baseball,,,https://fgcuathletics.com/sports/baseball,LOW,,NEEDS_REVIEW
jacksonville-university,https://x.com/JUBaseball,https://instagram.com/ju_baseball,,,https://judolphins.com/sports/baseball,LOW,,NEEDS_REVIEW
queens-university-of-charlotte,https://x.com/Queens_Baseball,https://instagram.com/queensbsb,,,https://queensathletics.com/sports/baseball,LOW,,NEEDS_REVIEW
stetson-university,https://x.com/StetsonBaseball,https://instagram.com/stetson_baseball,,,https://gohatters.com/sports/baseball,LOW,,NEEDS_REVIEW
university-of-central-arkansas,,,,,https://ucasports.com/sports/baseball,LOW,,NO_LINKS_FOUND
university-of-north-alabama,https://x.com/UNABaseball,,https://questionnaires.armssoftware.com/b79ebecce04a,https://questionnaires.armssoftware.com/b79ebecce04a,https://roarlions.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
university-of-north-florida,,,https://questionnaires.armssoftware.com/683db1d1a427,https://questionnaires.armssoftware.com/683db1d1a427,https://unfospreys.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
university-of-west-georgia,,,,,https://uwgsports.com/sports/baseball,LOW,,NO_LINKS_FOUND
davidson-college,,,http://my.armssoftware.com/arms/public/questionnaire/c9265ba08601?path=baseball,http://my.armssoftware.com/arms/public/questionnaire/c9265ba08601?path=baseball,https://davidsonwildcats.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
fordham-university,https://x.com/FordhamBaseball,https://instagram.com/fordhambaseball,,,https://fordhamsports.com/sports/baseball,LOW,,NEEDS_REVIEW
george-mason-university,https://x.com/MasonBaseball,https://instagram.com/gmubaseball,,,https://gomason.com/sports/baseball,LOW,,NEEDS_REVIEW
george-washington-university,https://twitter.com/GWBaseball1,,https://questionnaires.armssoftware.com/11170923071c,https://questionnaires.armssoftware.com/11170923071c,https://gwsports.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
saint-josephs-university,https://x.com/SJUHawks_Base,https://instagram.com/sjuhawks_base,https://sjuhawks.com/sports/2013/9/11/recruiting-questionnaires,https://sjuhawks.com/sports/2013/9/11/recruiting-questionnaires,https://sjuhawks.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
saint-louis-university,http://www.twitter.com/SLU_Billikens,https://www.instagram.com/slubillikens/,,,https://slubillikens.com/sports/baseball,LOW,,NEEDS_REVIEW
university-of-dayton,https://x.com/DaytonBaseball,https://instagram.com/daytonflyersbaseball,,,https://daytonflyers.com/sports/baseball,LOW,,NEEDS_REVIEW
university-of-rhode-island,https://x.com/rhodybaseball,https://instagram.com/rhody_baseball,https://gorhody.com/sports/2020/6/9/information-psa-questionnaires.aspx,https://gorhody.com/sports/2020/6/9/information-psa-questionnaires.aspx,https://gorhody.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
university-of-richmond,,,https://questionnaires.armssoftware.com/857fd4a4300a,https://questionnaires.armssoftware.com/857fd4a4300a,https://richmondspiders.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
virginia-commonwealth-university,,,,,https://vcuathletics.com/sports/baseball,LOW,,NO_LINKS_FOUND
