slug,collegeName,matchedAreas,matchedCount,sourceUrl,writeStatus
abilene-christian-university,Abilene Christian University,Biochemistry|Biology|Business|Chemistry|Education|Engineering|History|Hospitality|Human Services|Information Technology|Management|Nursing|Physics|Psychology,14,https://www.acu.edu/academics,DRY_RUN
adrian-college,Adrian College,Architecture|Art|Business|Communications|Education|Engineering|History|Human Resources|Marketing|Public Relations,10,https://www.adrian.edu/academics,DRY_RUN
air-force-academy,Air Force Academy,Education|Engineering|History|Information Technology|Mathematics,5,https://www.usafa.edu/academics,DRY_RUN
alabama-am-university,Alabama A&M University,Accounting|Art|Biochemistry|Biotechnology|Business|Chemistry|Civil Engineering|Communications|Computer Science|Construction Management|Education|Electrical Engineering|Engineering|English|Entrepreneurship|Environmental Science|Finance|History|Hospitality|Hospitality Management|International Business|Management|Marketing|Mathematics|Mechanical Engineering|Music|Nutrition|Performing Arts|Physics|Pre-Law|Psychology|Public Administration|Social Work|Visual Arts,34,https://www.aamu.edu/academics,DRY_RUN
alabama-state-university,Alabama State University,Business|Communications|Education|Engineering|Health Sciences|History|Marketing|Mathematics|Performing Arts,9,https://www.alasu.edu/academics,DRY_RUN
albertus-magnus-college,Albertus Magnus College,Accounting|Art|Biology|Business|Chemistry|Communications|Criminal Justice|Education|English|Entrepreneurship|Graphic Design|Health Sciences|History|Human Services|Information Systems|Management|Marketing|Mathematics|Nursing|Philosophy|Political Science|Pre-Law|Psychology|Public Administration|Public Health|Religion|Social Work|Sociology|Sport Management,29,https://www.albertus.edu/academics,DRY_RUN
albion-college,Albion College,Business|Education|Human Resources|Management|Performing Arts,5,https://www.albion.edu/academics,DRY_RUN
albright-college,Albright College,Accounting|Art|Biochemistry|Biology|Business|Chemistry|Communications|Computer Science|Criminal Justice|Cybersecurity|Digital Media|Economics|Education|English|Finance|History|Human Resources|Management|Mathematics|Media Studies|Music|Performing Arts|Political Science|Pre-Dentistry|Pre-Law|Psychology|Public Health|Sociology|Visual Arts,29,https://www.albright.edu/academics,DRY_RUN
alcorn-state-university,Alcorn State University,Accounting|Agriculture|Art|Business|Communications|Computer Science|Education|English|History|Marketing|Mathematics|Nursing|Psychology|Social Work,14,https://www.alcorn.edu/academics,DRY_RUN
alfred-state-college,Alfred State College,Architecture|Art|Education|Engineering|History|Management,6,https://www.alfredstate.edu/academics,DRY_RUN
alfred-university,Alfred University,Business|Education|Engineering|History|Performing Arts,5,https://www.alfred.edu/academics,DRY_RUN
allegheny-college,Allegheny College,Business|Education|History|Political Science,4,https://www.allegheny.edu/academics,DRY_RUN
alma-college,Alma College,Business|Education|English|Health Sciences|History|Music|Performing Arts|Psychology,8,https://www.alma.edu/academics,DRY_RUN
alvernia-university,Alvernia University,Business|Education|History,3,https://www.alvernia.edu/academics,DRY_RUN
alverno-college,Alverno College,Art|Art History|Biology|Biomedical Sciences|Business|Chemistry|Education|History|Kinesiology|Music|Nursing|Psychology|Public Health|Social Work,14,https://www.alverno.edu/majors,DRY_RUN
amherst-college,Amherst College,Art|Chemistry|Computer Science|Education|English|History|Literature|Mathematics|Philosophy|Physics|Political Science|Religion,12,https://www.amherst.edu,DRY_RUN
anderson-university-sc,Anderson University,Accounting|Art|Biology|Business|Criminal Justice|Cybersecurity|Economics|Education|Engineering|Graphic Design|Kinesiology|Management|Marketing|Mathematics|Philosophy|Political Science|Religion,17,https://andersonuniversity.edu/academics,DRY_RUN
anderson-university-indiana,Anderson University (Indiana),Business|Business Analytics|Criminal Justice|Cybersecurity|Education|Engineering|Exercise Science|Finance|Management|Music|Nursing|Performing Arts|Pre-Med|Psychology|Sports Management,15,https://www.anderson.edu/academics,DRY_RUN
anna-maria-college,Anna Maria College,Art|Business|Communications|Criminal Justice|Education|Emergency Management|English|Forensic Science|Graphic Design|Health Administration|History|Human Services|Management|Marketing|Music|Nursing|Philosophy|Psychology|Public Administration|Social Work|Sports Management,21,https://www.annamaria.edu,DRY_RUN
appalachian-state-university,Appalachian State University,Art|Business|Education|Exercise Science|Health Sciences|Management|Music|Nursing|Nutrition|Psychology|Public Health|Social Work,12,https://www.appstate.edu/academics,DRY_RUN
arcadia-university,Arcadia University,Accounting|Actuarial Science|Art|Art History|Biochemistry|Biology|Business|Chemistry|Computer Science|Criminal Justice|Cybersecurity|Data Analytics|Data Science|Economics|Education|Engineering|English|Entrepreneurship|Finance|Forensic Science|Health Sciences|History|International Business|International Relations|Management|Marketing|Mathematics|Music|Neuroscience|Nursing|Occupational Therapy|Philosophy|Physical Therapy|Physics|Political Science|Pre-Nursing|Pre-Physical Therapy|Psychology|Public Health|Sociology|Sport Management|Statistics|Theater,43,https://www.arcadia.edu/academics,DRY_RUN
arizona,Arizona,Business|Education|Health Sciences,3,https://www.arizona.edu/academics,DRY_RUN
arizona-state-university,Arizona State University,Art|Business|Education|Engineering|Journalism|Nursing,6,https://www.asu.edu/academics,DRY_RUN
arkansas-state-university,Arkansas State University,Agriculture|Business|Computer Science|Education|Engineering|History|Mathematics|Nursing|Political Science,9,https://www.astate.edu/academics,DRY_RUN
army-west-point,Army West Point,Education|Engineering|History,3,https://www.westpoint.edu/academics,DRY_RUN
asbury-university,Asbury University,Accounting|Art|Art History|Athletic Training|Biochemistry|Biology|Business|Chemistry|Computer Science|Digital Media|Economics|Education|Engineering|English|Entrepreneurship|Exercise Science|Finance|Graphic Design|History|Journalism|Kinesiology|Literature|Management|Marketing|Mathematics|Music|Nursing|Nutrition|Philosophy|Physics|Political Science|Pre-Law|Pre-Pharmacy|Psychology|Public Relations|Religion|Social Work|Sociology|Sport Management|Theater|Visual Arts,41,https://www.asbury.edu/academics,DRY_RUN
auburn-university,Auburn University,Actuarial Science|Agriculture|Architecture|Art|Art History|Biochemistry|Biology|Biomedical Sciences|Biotechnology|Business|Business Analytics|Chemistry|Civil Engineering|Communications|Computer Engineering|Computer Science|Economics|Education|Electrical Engineering|Engineering|English|Environmental Science|Exercise Science|Finance|Graphic Design|Health Sciences|History|Hospitality|Hospitality Management|Information Systems|Information Technology|Journalism|Language Arts|Literature|Management|Marine Biology|Marketing|Mathematics|Mechanical Engineering|Media Studies|Music|Neuroscience|Nursing|Nutrition|Philosophy|Physical Therapy|Physics|Political Science|Pre-Pharmacy|Pre-Physical Therapy|Pre-Veterinary Medicine|Psychology|Public Administration|Public Relations|Social Work|Sociology|Software Engineering|Theater,58,https://www.auburn.edu/majors,DRY_RUN
augsburg-university,Augsburg University,Business|Education|Music|Nursing|Political Science|Psychology|Religion|Social Work,8,https://www.augsburg.edu/academics,DRY_RUN
