slug,collegeName,highConfidenceAreas,mediumConfidenceAreas,lowConfidenceAreas,writeAreas,matchedCount,writeCount,sourceUrl,writeStatus
abilene-christian-university,Abilene Christian University,Business|Education|Engineering,Biochemistry|Biology|Chemistry|History|Human Services|Information Technology|Management|Nursing|Psychology,Hospitality|Physics,Business|Education|Engineering|Biochemistry|Biology|Chemistry|History|Human Services|Information Technology|Management|Nursing|Psychology,14,12,https://www.acu.edu/academics,WRITTEN
adrian-college,Adrian College,Education,Architecture|Art|Engineering|History,Communications|Human Resources|Public Relations,Education|Architecture|Art|Engineering|History,8,5,https://www.adrian.edu/academics,WRITTEN
air-force-academy,Air Force Academy,Education,Engineering|Information Technology,Mathematics,Education|Engineering|Information Technology,4,3,https://www.usafa.edu/academics,WRITTEN
alabama-am-university,Alabama A&M University,Business|Chemistry|Computer Science|Education|Electrical Engineering|Engineering|History|Mathematics|Physics|Psychology|Social Work,Accounting|Art|Biochemistry|Civil Engineering|Communications|Construction Management|English|Entrepreneurship|Environmental Science|Finance|International Business|Management|Marketing|Mechanical Engineering|Nutrition|Performing Arts|Visual Arts,Biotechnology|Hospitality|Hospitality Management|Pre-Law|Public Administration,Business|Chemistry|Computer Science|Education|Electrical Engineering|Engineering|History|Mathematics|Physics|Psychology|Social Work|Accounting|Art|Biochemistry|Civil Engineering|Communications|Construction Management|English|Entrepreneurship|Environmental Science|Finance|International Business|Management|Marketing|Mechanical Engineering|Nutrition|Performing Arts|Visual Arts,33,28,https://www.aamu.edu/academics,WRITTEN
alabama-state-university,Alabama State University,Education,Art|History,Communications|Social Work,Education|Art|History,5,3,https://www.alasu.edu,WRITTEN
albertus-magnus-college,Albertus Magnus College,Accounting|Art|Biology|Business|Chemistry|Criminal Justice|Education|English|Entrepreneurship|History|Human Services|Information Systems|Management|Mathematics|Nursing|Philosophy|Political Science|Psychology|Religion|Sociology,Communications|Graphic Design|Health Sciences|Marketing|Pre-Law|Public Administration|Public Health|Social Work|Sport Management,,Accounting|Art|Biology|Business|Chemistry|Criminal Justice|Education|English|Entrepreneurship|History|Human Services|Information Systems|Management|Mathematics|Nursing|Philosophy|Political Science|Psychology|Religion|Sociology|Communications|Graphic Design|Health Sciences|Marketing|Pre-Law|Public Administration|Public Health|Social Work|Sport Management,29,29,https://www.albertus.edu/academics,WRITTEN
albion-college,Albion College,Biology|Economics|Management|Mathematics,Accounting|Actuarial Science|Art|Art History|Biochemistry|Business|Chemistry|Computer Science|Data Analytics|Data Science|Education|Engineering|English|Environmental Science|Exercise Science|Finance|History|Human Services|Information Systems|Kinesiology|Marketing|Music|Neuroscience|Nursing|Philosophy|Physical Therapy|Physics|Political Science|Pre-Law|Pre-Nursing|Pre-Physical Therapy|Pre-Veterinary Medicine|Public Health|Sociology|Statistics,Human Resources,Biology|Economics|Management|Mathematics|Accounting|Actuarial Science|Art|Art History|Biochemistry|Business|Chemistry|Computer Science|Data Analytics|Data Science|Education|Engineering|English|Environmental Science|Exercise Science|Finance|History|Human Services|Information Systems|Kinesiology|Marketing|Music|Neuroscience|Nursing|Philosophy|Physical Therapy|Physics|Political Science|Pre-Law|Pre-Nursing|Pre-Physical Therapy|Pre-Veterinary Medicine|Public Health|Sociology|Statistics,40,39,https://www.albion.edu/programs,WRITTEN
albright-college,Albright College,Accounting|Art|Biochemistry|Biology|Business|Chemistry|Communications|Computer Science|Cybersecurity|Economics|Education|English|Finance|History|Management|Mathematics|Music|Political Science|Pre-Dentistry|Pre-Law|Psychology|Public Health|Sociology,Criminal Justice|Digital Media|Human Resources|Media Studies|Performing Arts|Visual Arts,,Accounting|Art|Biochemistry|Biology|Business|Chemistry|Communications|Computer Science|Cybersecurity|Economics|Education|English|Finance|History|Management|Mathematics|Music|Political Science|Pre-Dentistry|Pre-Law|Psychology|Public Health|Sociology|Criminal Justice|Digital Media|Human Resources|Media Studies|Performing Arts|Visual Arts,29,29,https://www.albright.edu/academics,WRITTEN
alcorn-state-university,Alcorn State University,Agriculture|Business|Education|Nursing|Psychology,Art|Communications|History,Accounting|Computer Science|Mathematics|Social Work,Agriculture|Business|Education|Nursing|Psychology|Art|Communications|History,12,8,https://www.alcorn.edu/academics,WRITTEN
alfred-state-college,Alfred State College,Education,Architecture|Art|Engineering|Management,,Education|Architecture|Art|Engineering|Management,5,5,https://www.alfredstate.edu/academics,WRITTEN
