collegeId,collegeName,slug,city,state,legacyDivision,canonicalDivision,legacyConference,canonicalConference,baseballWebsiteUrl,importedCoachCount
cmou8cth500niqtloqxbbcs7q,Abilene Christian University,abilene-christian-university,Abilene,TX,,NCAA_D1,,WAC,https://acusports.com/sports/baseball,1
cmou7y6lb00i0qtoctz1o5gup,Air Force Academy,air-force-academy,Colorado Springs,CO,,NCAA_D1,,Mountain West,https://goairforcefalcons.com/sports/baseball,4
cmou8bk4r00miqtuwipz7ujxn,Alabama A&M University,alabama-am-university,Huntsville,AL,,NCAA_D1,,SWAC,https://aamusports.com/sports/baseball,2
cmou8bk6700mlqtuw9jg9v0hr,Alabama State University,alabama-state-university,Montgomery,AL,,NCAA_D1,,SWAC,https://bamastatesports.com/sports/baseball,3
cmou8bk7r00moqtuw877oh8ym,Alcorn State University,alcorn-state-university,Lorman,MS,,NCAA_D1,,SWAC,https://alcornsports.com/sports/baseball,2
cmorirv6d0013qtm0857czvw2,Appalachian State University,appalachian-state-university,Boone,NC,,NCAA_D1,,Sun Belt,https://appstatesports.com/sports/baseball,4
cmosumzx30049qtlgomg2y8hl,Arizona,arizona,Tucson,AZ,,NCAA_D1,,,https://arizonawildcats.com/sports/baseball,4
cmosumzyf004cqtlgurkdv8j2,Arizona State University,arizona-state-university,Tempe,AZ,,NCAA_D1,,,https://thesundevils.com/sports/baseball,4
cmou3bz6n005oqtvovcdaj57a,Arkansas State University,arkansas-state-university,Jonesboro,AR,,NCAA_D1,,Sun Belt,https://astateredwolves.com/sports/baseball,4
cmou853t900kfqtiwom7baojh,Army West Point,army-west-point,West Point,NY,,NCAA_D1,,Patriot League,https://goarmywestpoint.com/sports/baseball,4
cmosp9qds001iqtyg1wl3lj4x,Auburn University,auburn-university,Auburn,AL,,NCAA_D1,,SEC,https://auburntigers.com/sports/baseball,4
cmou6925b009cqt1gkx1kghnj,Austin Peay State University,austin-peay-state-university,Clarksville,TN,,NCAA_D1,,,https://letsgopeay.com/sports/baseball,3
cmosun015004iqtlg3arpxgbi,BYU,byu,Provo,UT,,NCAA_D1,,,https://byucougars.com/sports/baseball,4
cmou7skej00frqtagr0af6s2l,Ball State University,ball-state-university,Muncie,IN,,NCAA_D1,,MAC,https://ballstatesports.com/sports/baseball,4
