athleticsHostname,groupSize,collegeId,collegeName,slug,city,state,canonicalDivision,baseballWebsiteUrl,importedCoachCount
njcaastats.prestosports.com,404,cmox2o0dw0000qtbkh1ptknlj,Alexandria Technical & Community College,alexandria-technical-and-community-college,,MN,NJCAA_D3,https://njcaastats.prestosports.com/sports/bsb/2024-25/div3/teams/alexandriatechnicalcommunitycollege,0
njcaastats.prestosports.com,404,cmox234et0000qtfk8px55yy1,Allegany College of Maryland,allegany-college-of-maryland,,ND,NJCAA_D2,https://njcaastats.prestosports.com/sports/bsb/2024-25/div2/teams/alleganycollegeofmaryland,0
njcaastats.prestosports.com,404,cmox1gesh0000qtsgs8vvl5m1,Allen County Community College,allen-county-community-college,,KS,NJCAA_D1,https://njcaastats.prestosports.com/sports/bsb/2024-25/div1/teams/allencountycommunitycollege,0
njcaastats.prestosports.com,404,cmox234m30003qtfkct75nb3j,Alpena Community College,alpena-community-college,,MI,NJCAA_D2,https://njcaastats.prestosports.com/sports/bsb/2024-25/div2/teams/alpenacommunitycollege,0
njcaastats.prestosports.com,404,cmox1geyb0003qtsgpr2889g6,Alvin Community College,alvin-community-college,,TX,NJCAA_D1,https://njcaastats.prestosports.com/sports/bsb/2024-25/div1/teams/alvincommunitycollege,0
njcaastats.prestosports.com,404,cmox1gezp0006qtsgkj63ex7n,Amarillo College,amarillo-college,,TX,NJCAA_D1,https://njcaastats.prestosports.com/sports/bsb/2024-25/div1/teams/amarillocollege,0
njcaastats.prestosports.com,404,cmox1gf130009qtsg5t8u03t9,Andrew College,andrew-college,,GA,NJCAA_D1,https://njcaastats.prestosports.com/sports/bsb/2024-25/div1/teams/andrewcollege,0
njcaastats.prestosports.com,404,cmox1gf2i000cqtsgqvk0bc2b,Angelina College,angelina-college,,TX,NJCAA_D1,https://njcaastats.prestosports.com/sports/bsb/2024-25/div1/teams/angelinacollege,0
njcaastats.prestosports.com,404,cmox234nk0006qtfk9kcfd0gh,Anne Arundel Community College,anne-arundel-community-college,,MD,NJCAA_D2,https://njcaastats.prestosports.com/sports/bsb/2024-25/div2/teams/annearundelcommunitycollege,0
njcaastats.prestosports.com,404,cmox2o0i10003qtbkbuwc3e6d,Anoka-Ramsey Community College,anoka-ramsey-community-college,,MN,NJCAA_D3,https://njcaastats.prestosports.com/sports/bsb/2024-25/div3/teams/anokaramseycommunitycollege,0
njcaastats.prestosports.com,404,cmox1gf3v000fqtsgrot5pubs,Arizona Western College,arizona-western-college,,AZ,NJCAA_D1,https://njcaastats.prestosports.com/sports/bsb/2024-25/div1/teams/arizonawesterncollege,0
njcaastats.prestosports.com,404,cmox234oz0009qtfk9gtz21k6,Arkansas State Mid-South,arkansas-state-mid-south,,AR,NJCAA_D2,https://njcaastats.prestosports.com/sports/bsb/2024-25/div2/teams/arkansasstatemidsouth,0
njcaastats.prestosports.com,404,cmox234qg000cqtfkuqal77s4,Arkansas State University - Three Rivers,arkansas-state-university-three-rivers,,AR,NJCAA_D2,https://njcaastats.prestosports.com/sports/bsb/2024-25/div2/teams/arkansasstateuniversitythreerivers,0
njcaastats.prestosports.com,404,cmox234rv000fqtfkmqhap0bm,Arkansas State University Mountain Home,arkansas-state-university-mountain-home,,AR,NJCAA_D2,https://njcaastats.prestosports.com/sports/bsb/2024-25/div2/teams/arkansasstateuniversitymountainhome,0
njcaastats.prestosports.com,404,cmox2o0ji0006qtbkzyj3c0ai,Atlantic Cape Community College,atlantic-cape-community-college,,NJ,NJCAA_D3,https://njcaastats.prestosports.com/sports/bsb/2024-25/div3/teams/atlanticcapecommunitycollege,0
njcaastats.prestosports.com,404,cmox1gf59000iqtsgg23jyda0,Barton Community College,barton-community-college,,KS,NJCAA_D1,https://njcaastats.prestosports.com/sports/bsb/2024-25/div1/teams/bartoncommunitycollege,0
njcaastats.prestosports.com,404,cmox1gf6p000lqtsgw810db4k,Baton Rouge Community College,baton-rouge-community-college,,LA,NJCAA_D1,https://njcaastats.prestosports.com/sports/bsb/2024-25/div1/teams/batonrougecommunitycollege,0
njcaastats.prestosports.com,404,cmox234tb000iqtfkko7tsa34,Bay College,bay-college,,MI,NJCAA_D2,https://njcaastats.prestosports.com/sports/bsb/2024-25/div2/teams/baycollege,0
njcaastats.prestosports.com,404,cmox2o0kz0009qtbk8078yso5,Bergen Community College,bergen-community-college,,NJ,NJCAA_D3,https://njcaastats.prestosports.com/sports/bsb/2024-25/div3/teams/bergencommunitycollege,0
njcaastats.prestosports.com,404,cmox234ut000lqtfk4oz8sdut,Bevill State Community College,bevill-state-community-college,,AL,NJCAA_D2,https://njcaastats.prestosports.com/sports/bsb/2024-25/div2/teams/bevillstatecommunitycollege,0
njcaastats.prestosports.com,404,cmox234w7000oqtfk8hdllep8,Bishop State Community College,bishop-state-community-college,,AL,NJCAA_D2,https://njcaastats.prestosports.com/sports/bsb/2024-25/div2/teams/bishopstatecommunitycollege,0
njcaastats.prestosports.com,404,cmox234xk000rqtfk5uh31vu3,Bismarck State College,bismarck-state-college,,ND,NJCAA_D2,https://njcaastats.prestosports.com/sports/bsb/2024-25/div2/teams/bismarckstatecollege,0
njcaastats.prestosports.com,404,cmox234yy000uqtfkmj04pqiz,Black Hawk College,black-hawk-college,,IL,NJCAA_D2,https://njcaastats.prestosports.com/sports/bsb/2024-25/div2/teams/blackhawkcollege,0
njcaastats.prestosports.com,404,cmox1gf86000oqtsgug004uy2,Blinn College,blinn-college,,TX,NJCAA_D1,https://njcaastats.prestosports.com/sports/bsb/2024-25/div1/teams/blinncollege,0
njcaastats.prestosports.com,404,cmox2o0mg000cqtbk6xnygyvm,Borough of Manhattan Community College,borough-of-manhattan-community-college,,NY,NJCAA_D3,https://njcaastats.prestosports.com/sports/bsb/2024-25/div3/teams/boroughofmanhattancommunitycollege,0
njcaastats.prestosports.com,404,cmox1gf9h000rqtsg5p7im7p5,Bossier Parish Community College,bossier-parish-community-college,,LA,NJCAA_D1,https://njcaastats.prestosports.com/sports/bsb/2024-25/div1/teams/bossierparishcommunitycollege,0
