normalizedSchoolName,groupSize,collegeId,collegeName,slug,city,state,legacyDivision,canonicalDivision,canonicalConference,baseballWebsiteUrl,importedCoachCount,savedByPlayers,recruitingBoardEntries,recruitingLists,coachInvites,linkedCoachUsers,createdAt,updatedAt
saint francis,3,cmowzs1sl0063qt4w2c8vrz25,Saint Francis,saint-francis,,IN,,NAIA,Crossroads League,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/saintfrancisin,0,0,0,0,0,0,2026-05-08T14:09:59.061Z,2026-05-08T14:21:01.437Z
saint francis,3,cmou7zwi600jiqt182wps2oyk,Saint Francis University,saint-francis-university,Loretto,PA,,,,,0,0,0,0,0,0,2026-05-06T15:36:43.854Z,2026-05-06T17:26:18.074Z
saint francis,3,cmowzs24h006rqt4wfge0sbob,St. Francis,st-francis,,IL,,NAIA,Chicagoland Collegiate Athletic Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/stfrancisil,0,0,0,0,0,0,2026-05-08T14:09:59.489Z,2026-05-08T14:21:02.123Z
bryant and stratton,2,cmox2351r0010qtfki4exm5ci,Bryant & Stratton,bryant-and-stratton,,OH,,NJCAA_D2,Region 12,https://njcaastats.prestosports.com/sports/bsb/2024-25/div2/teams/bryantstrattonohio,0,0,0,0,0,0,2026-05-08T15:14:35.727Z,2026-05-08T15:14:35.727Z
bryant and stratton,2,cmox235370013qtfk8y2sxj30,Bryant & Stratton College,bryant-and-stratton-college,,WI,,NJCAA_D2,Region 4,https://njcaastats.prestosports.com/sports/bsb/2024-25/div2/teams/bryantstrattoncollegewi,0,0,0,0,0,0,2026-05-08T15:14:35.779Z,2026-05-08T15:14:35.779Z
columbia,2,cmowzrzm0001rqt4wm5n56kzt,Columbia,columbia,,MO,,NAIA,American Midwest Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/columbiamo,0,0,0,0,0,0,2026-05-08T14:09:56.233Z,2026-05-08T14:20:56.465Z
columbia,2,cmou7ekoe00e6qtx8h6vtazjr,Columbia University,columbia-university,New York,NY,,NCAA_D1,Ivy League,https://gocolumbialions.com/sports/baseball,3,0,0,0,0,0,2026-05-06T15:20:08.751Z,2026-05-29T16:24:12.784Z
community christian,2,cmox235tc002lqtfk1sxcqpye,Community Christian,community-christian,,MI,,NJCAA_D2,Region 12,https://njcaastats.prestosports.com/sports/bsb/2024-25/div2/teams/communitychristianmich,0,0,0,0,0,0,2026-05-08T15:14:36.720Z,2026-05-08T15:14:36.720Z
community christian,2,cmox1gg33002iqtsgotxbo0qh,Community Christian College,community-christian-college,,CA,,NJCAA_D1,Region 1,https://njcaastats.prestosports.com/sports/bsb/2024-25/div1/teams/communitychristiancollege,0,0,0,0,0,0,2026-05-08T14:56:56.943Z,2026-05-08T14:56:56.943Z
connecticut,2,cmovorog8005oqt7gzs9htl5g,Connecticut College,connecticut-college,,CT,,NCAA_D3,New England Small College Athletic Conference,https://camelathletics.com/,0,0,0,0,0,0,2026-05-07T16:13:59.816Z,2026-05-07T16:13:59.816Z
connecticut,2,cmou6ba1700acqtict3598yzg,University of Connecticut,university-of-connecticut,Storrs,CT,,NCAA_D1,,,4,0,0,0,0,0,2026-05-06T14:49:35.372Z,2026-07-23T19:46:13.541Z
cornell,2,cmovorohm005rqt7gax2yf7dk,Cornell College,cornell-college,,IA,,NCAA_D3,Midwest Conference,https://www.cornellrams.com,0,0,0,0,0,0,2026-05-07T16:13:59.866Z,2026-05-07T16:13:59.866Z
cornell,2,cmou7ekpr00e9qtx8i7bf3vt3,Cornell University,cornell-university,Ithaca,NY,,NCAA_D1,Ivy League,https://cornellbigred.com/sports/baseball,3,0,0,0,0,0,2026-05-06T15:20:08.799Z,2026-05-29T16:24:12.875Z
east central,2,cmovlhtvl005lqt20ku4n4ff4,East Central,east-central,Ada,Oklahoma,,NCAA_D2,GAC,,0,0,0,0,0,0,2026-05-07T14:42:21.442Z,2026-05-07T15:06:25.152Z
east central,2,cmox23683003fqtfkyhppeagg,East Central College,east-central-college,,MO,,NJCAA_D2,Region 16,https://njcaastats.prestosports.com/sports/bsb/2024-25/div2/teams/eastcentralcollege,0,0,0,0,0,0,2026-05-08T15:14:37.251Z,2026-05-08T15:14:37.251Z
georgetown,2,cmox065zl004lqtgckt3to19k,Georgetown,georgetown,,KY.,,NAIA,Mid-South Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/georgetown,0,0,0,0,0,0,2026-05-08T14:20:57.681Z,2026-05-08T14:20:57.681Z
georgetown,2,cmou6ba5c00alqticm9m1ucs0,Georgetown University,georgetown-university,Washington,DC,,NCAA_D1,,,3,0,0,0,0,0,2026-05-06T14:49:35.521Z,2026-07-23T19:46:13.201Z
georgia,2,cmovlhus6007iqt20velop8oi,Georgia College,georgia-college,Milledgeville,Georgia,,NCAA_D2,Peach Belt,,0,0,0,0,0,0,2026-05-07T14:42:22.614Z,2026-05-07T15:06:26.355Z
georgia,2,cmorirv7r0016qtm0u7tt6h9b,University of Georgia,university-of-georgia,Athens,GA,,NCAA_D1,SEC,https://georgiadogs.com/sports/baseball,4,0,0,0,0,0,2026-05-04T18:15:06.183Z,2026-05-06T17:26:07.177Z
