label,entityType,sourceSchema,sourceTable,sourceColumn,duplicateId,duplicateName,duplicateReferenceCount,canonicalId,canonicalName,canonicalReferenceCount,duplicateSlug,duplicateDivision,duplicateConference,duplicateWebsite,duplicateCoachCount,canonicalSlug,canonicalDivision,canonicalConference,canonicalWebsite,canonicalCoachCount
Anderson,College,public,CollegeAcademicArea,collegeId,cmovlhrdv000fqt20fc4cz94u,Anderson,0,cmorjaspu0043qt4w1kqv72qo,Anderson University,13,,,,,,,,,,
Anderson,College,public,CollegeBaseballProgram,collegeId,cmovlhrdv000fqt20fc4cz94u,Anderson,1,cmorjaspu0043qt4w1kqv72qo,Anderson University,1,,,,,,,,,,
Anderson,College,public,CollegeSavedSchool,collegeId,cmovlhrdv000fqt20fc4cz94u,Anderson,0,cmorjaspu0043qt4w1kqv72qo,Anderson University,1,,,,,,,,,,
Anderson,SUMMARY,,,,cmovlhrdv000fqt20fc4cz94u,Anderson,1,cmorjaspu0043qt4w1kqv72qo,Anderson University,15,anderson,NCAA_D2,SAC,,0,anderson-university-sc,NCAA_D2,South Atlantic Conference,https://autrojans.com/sports/baseball,0
Barton,College,public,CollegeAcademicArea,collegeId,cmovlhrv3001fqt20zotlkdgo,Barton,0,cmorjasv6004fqt4wjb7nrzah,Barton College,3,,,,,,,,,,
Barton,College,public,CollegeBaseballProgram,collegeId,cmovlhrv3001fqt20zotlkdgo,Barton,1,cmorjasv6004fqt4wjb7nrzah,Barton College,1,,,,,,,,,,
Barton,SUMMARY,,,,cmovlhrv3001fqt20zotlkdgo,Barton,1,cmorjasv6004fqt4wjb7nrzah,Barton College,4,barton,NCAA_D2,Carolinas,,0,barton-college,NCAA_D2,Conference Carolinas,https://bartonbulldogs.com/sports/baseball,0
Belmont Abbey,College,public,CollegeAcademicArea,collegeId,cmovlhrwi001iqt205ckj8ztr,Belmont Abbey,0,cmorj0gse002iqtiog740vnk9,Belmont Abbey College,27,,,,,,,,,,
Belmont Abbey,College,public,CollegeBaseballProgram,collegeId,cmovlhrwi001iqt205ckj8ztr,Belmont Abbey,1,cmorj0gse002iqtiog740vnk9,Belmont Abbey College,1,,,,,,,,,,
Belmont Abbey,College,public,CollegeSavedSchool,collegeId,cmovlhrwi001iqt205ckj8ztr,Belmont Abbey,0,cmorj0gse002iqtiog740vnk9,Belmont Abbey College,1,,,,,,,,,,
Belmont Abbey,SUMMARY,,,,cmovlhrwi001iqt205ckj8ztr,Belmont Abbey,1,cmorj0gse002iqtiog740vnk9,Belmont Abbey College,29,belmont-abbey,NCAA_D2,Carolinas,,0,belmont-abbey-college,NCAA_D2,Conference Carolinas,https://abbeyathletics.com/sports/baseball,0
Bryan,College,public,CollegeAcademicArea,collegeId,cmowzrz8k0010qt4wjdckub80,Bryan,0,cmorj0ha0003iqtion1ocego7,Bryan College,12,,,,,,,,,,
Bryan,College,public,CollegeBaseballProgram,collegeId,cmowzrz8k0010qt4wjdckub80,Bryan,1,cmorj0ha0003iqtion1ocego7,Bryan College,1,,,,,,,,,,
Bryan,SUMMARY,,,,cmowzrz8k0010qt4wjdckub80,Bryan,1,cmorj0ha0003iqtion1ocego7,Bryan College,13,bryan,NAIA,Appalachian Athletic Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/bryantn,0,bryan-college,NAIA,Appalachian Athletic Conference,https://bryanlions.com/sports/baseball,0
Carson-Newman,College,public,CollegeAcademicArea,collegeId,cmovlhsn50033qt2045onupu0,Carson–Newman,0,cmorjat1z004uqt4wcy4dc9a9,Carson-Newman University,5,,,,,,,,,,
Carson-Newman,College,public,CollegeBaseballProgram,collegeId,cmovlhsn50033qt2045onupu0,Carson–Newman,1,cmorjat1z004uqt4wcy4dc9a9,Carson-Newman University,1,,,,,,,,,,
Carson-Newman,SUMMARY,,,,cmovlhsn50033qt2045onupu0,Carson–Newman,1,cmorjat1z004uqt4wcy4dc9a9,Carson-Newman University,6,carson-newman,NCAA_D2,SAC,,0,carson-newman-university,NCAA_D2,South Atlantic Conference,https://cneagles.com/sports/baseball,0
Catawba,College,public,CollegeAcademicArea,collegeId,cmovlhsoi0036qt20a0hkubod,Catawba,0,cmorj0gws002rqtiorgfzda9h,Catawba College,3,,,,,,,,,,
Catawba,College,public,CollegeBaseballProgram,collegeId,cmovlhsoi0036qt20a0hkubod,Catawba,1,cmorj0gws002rqtiorgfzda9h,Catawba College,1,,,,,,,,,,
Catawba,College,public,CollegeSavedSchool,collegeId,cmovlhsoi0036qt20a0hkubod,Catawba,0,cmorj0gws002rqtiorgfzda9h,Catawba College,1,,,,,,,,,,
Catawba,SUMMARY,,,,cmovlhsoi0036qt20a0hkubod,Catawba,1,cmorj0gws002rqtiorgfzda9h,Catawba College,5,catawba,NCAA_D2,SAC,,0,catawba-college,NCAA_D2,South Atlantic Conference,https://gocatawbaindians.com/sports/baseball,0
Coker,College,public,CollegeAcademicArea,collegeId,cmovlhtk1004xqt20njtti1j5,Coker,0,cmorj0go50029qtiomu7nhxok,Coker University,30,,,,,,,,,,
Coker,College,public,CollegeBaseballProgram,collegeId,cmovlhtk1004xqt20njtti1j5,Coker,1,cmorj0go50029qtiomu7nhxok,Coker University,1,,,,,,,,,,
Coker,College,public,CollegeSavedSchool,collegeId,cmovlhtk1004xqt20njtti1j5,Coker,0,cmorj0go50029qtiomu7nhxok,Coker University,1,,,,,,,,,,
