programId,collegeId,collegeName,slug,division,previousBaseballWebsiteUrl,restoredBaseballWebsiteUrl,confidence,sourceContactUrl,coachCount,action,reason
cmosumzxq004bqtlgcux50apa,cmosumzx30049qtlgomg2y8hl,Arizona,arizona,NCAA_D1,,https://arizonawildcats.com/sports/baseball,HIGH,https://arizonawildcats.com/sports/baseball/coaches/2026,4,WOULD_UPDATE,
cmosumzz4004eqtlggz9328ng,cmosumzyf004cqtlgurkdv8j2,Arizona State University,arizona-state-university,NCAA_D1,,https://thesundevils.com/sports/baseball,HIGH,https://thesundevils.com/sports/baseball/coaches/2025,4,WOULD_UPDATE,
cmou6925z009eqt1gaqjdu3za,cmou6925b009cqt1gkx1kghnj,Austin Peay State University,austin-peay-state-university,NCAA_D1,,https://letsgopeay.com/sports/baseball,HIGH,https://letsgopeay.com/sports/baseball/coaches/2026,3,WOULD_UPDATE,
cmosun01s004kqtlg2b6mlqcd,cmosun015004iqtlg3arpxgbi,BYU,byu,NCAA_D1,,https://byucougars.com/sports/baseball,HIGH,https://byucougars.com/sports/baseball/roster#sidearm-roster-coaches,4,WOULD_UPDATE,
cmosun00i004hqtlgy3534tz1,cmosumzzu004fqtlg454szeg8,Baylor University,baylor-university,NCAA_D1,,https://baylorbears.com/sports/baseball,HIGH,https://baylorbears.com/sports/baseball/roster/2026#sidearm-roster-coaches,4,WOULD_UPDATE,
cmou6927d009hqt1g6ojn2uy0,cmou6926p009fqt1gv6h5xaxk,Bellarmine University,bellarmine-university,NCAA_D1,,https://athletics.bellarmine.edu/sports/baseball,HIGH,https://athletics.bellarmine.edu/sports/baseball/coaches/2026,4,WOULD_UPDATE,
cmosownis0002qtuoado2ywvj,cmosownei0000qtuolkw0dovw,Boston College,boston-college,NCAA_D1,,https://bceagles.com/sports/baseball,HIGH,https://bceagles.com/sports/baseball/roster/2026#sidearm-roster-coaches,3,WOULD_UPDATE,
cmorirv5q0012qtm028k9yq81,cmorirv530010qtm0xxcup0nz,Campbell University,campbell-university,NCAA_D1,,https://gocamels.com/sports/baseball,HIGH,https://gocamels.com/sports/baseball/coaches/2026,4,WOULD_UPDATE,
cmou6tv0p00b8qti0d062ek6f,cmou6tv0000b6qti0uw8kd0th,Charleston Southern University,charleston-southern-university,NCAA_D1,,https://csusports.com/sports/baseball,HIGH,https://csusports.com/sports/baseball/coaches/2026,4,WOULD_UPDATE,
cmorihuzp0005qth8tz9l0qy6,cmorihuy70003qth8lteegu87,Clemson University,clemson-university,NCAA_D1,,https://clemsontigers.com/sports/baseball,HIGH,https://clemsontigers.com/sports/baseball/roster#sidearm-roster-coaches,4,WOULD_UPDATE,
cmorihv1b0008qth8h0fs6y1x,cmorihv0l0006qth8tj4axfti,College of Charleston,college-of-charleston,NCAA_D1,,https://cofcsports.com/sports/baseball,HIGH,https://cofcsports.com/sports/baseball/roster/2026#sidearm-roster-coaches,4,WOULD_UPDATE,
cmou6ba3a00ahqtic1dy2e7bu,cmou6ba2k00afqticpp034jhc,Creighton University,creighton-university,NCAA_D1,,https://gocreighton.com/sports/baseball,HIGH,https://gocreighton.com/sports/baseball/roster/2026#sidearm-roster-coaches,4,WOULD_UPDATE,
cmou65q68008hqt1on0mn17uq,cmou65q5g008fqt1ovrpzk161,Davidson College,davidson-college,NCAA_D1,,https://davidsonwildcats.com/sports/baseball,HIGH,https://davidsonwildcats.com/sports/baseball/roster/2026#sidearm-roster-coaches,4,WOULD_UPDATE,
cmoriruyp000nqtm0g4gkgqwd,cmoriruy1000lqtm0hg80trqj,Duke University,duke-university,NCAA_D1,,https://goduke.com/sports/baseball,HIGH,https://goduke.com/sports/baseball/roster/2026#sidearm-roster-coaches,5,WOULD_UPDATE,
cmorirv02000qqtm0792m94ry,cmoriruzd000oqtm0np271cox,East Carolina University,east-carolina-university,NCAA_D1,,https://ecupirates.com/sports/baseball,HIGH,https://ecupirates.com/sports/baseball/roster/2026#sidearm-roster-coaches,3,WOULD_UPDATE,
cmou692a7009nqt1gx1fvng63,cmou6929i009lqt1gqrj949vt,Eastern Kentucky University,eastern-kentucky-university,NCAA_D1,,https://ekusports.com/sports/baseball,HIGH,https://ekusports.com/sports/baseball/coaches/2026,4,WOULD_UPDATE,
cmou72rea00c5qtt8bv7rh2o3,cmou72rdk00c3qtt8y45siwr2,Elon University,elon-university,NCAA_D1,,https://elonphoenix.com/sports/baseball,HIGH,https://elonphoenix.com/sports/baseball/coaches/2026,4,WOULD_UPDATE,
cmou57eba007tqtdwnzaxnsg8,cmou57eah007rqtdw819u1kd8,Florida Atlantic University,florida-atlantic-university,NCAA_D1,,https://fausports.com/sports/baseball,HIGH,https://fausports.com/sports/baseball/roster/2026#sidearm-roster-coaches,4,WOULD_UPDATE,
cmou692bn009qqt1g825aij0e,cmou692az009oqt1gwyz2tbx3,Florida Gulf Coast University,florida-gulf-coast-university,NCAA_D1,,https://fgcuathletics.com/sports/baseball,HIGH,https://fgcuathletics.com/sports/baseball/coaches/2026,4,WOULD_UPDATE,
cmosownpr000eqtuok3wn4xee,cmosownp0000cqtuo7ukk8301,Florida State University,florida-state-university,NCAA_D1,,https://seminoles.com/sports/baseball,HIGH,https://seminoles.com/sports/baseball/roster/2026#sidearm-roster-coaches,4,WOULD_UPDATE,
cmou65q9a008nqt1ohbgyxbpf,cmou65q8l008lqt1ozzkwkjhm,Fordham University,fordham-university,NCAA_D1,,https://fordhamsports.com/sports/baseball,HIGH,https://fordhamsports.com/sports/baseball/coaches/2026,3,WOULD_UPDATE,
cmou6tv2500bbqti0uzylvved,cmou6tv1f00b9qti056wd26tx,Gardner-Webb University,gardner-webb-university,NCAA_D1,,https://gwusports.com/sports/baseball,HIGH,https://gwusports.com/sports/baseball/coaches,4,WOULD_UPDATE,
cmou65qaq008qqt1oh4skw4mn,cmou65q9z008oqt1ow67o9q0x,George Mason University,george-mason-university,NCAA_D1,,https://gomason.com/sports/baseball,HIGH,https://gomason.com/sports/baseball/coaches/2026,4,WOULD_UPDATE,
cmou65qc7008tqt1otrt39c9e,cmou65qbg008rqt1omiz03mq1,George Washington University,george-washington-university,NCAA_D1,,https://gwsports.com/sports/baseball,HIGH,https://gwsports.com/sports/baseball/roster/2026#sidearm-roster-coaches,3,WOULD_UPDATE,
cmou6ba6000anqticmefr3evw,cmou6ba5c00alqticm9m1ucs0,Georgetown University,georgetown-university,NCAA_D1,,https://guhoyas.com/sports/baseball,HIGH,https://guhoyas.com/sports/baseball/coaches/2026,3,WOULD_UPDATE,
cmorirv9s001bqtm0xz16xnel,cmorirv940019qtm0y88vy537,Georgia Tech,georgia-tech,NCAA_D1,,https://ramblinwreck.com/sports/m-basebl,HIGH,https://ramblinwreck.com/sports/m-basebl/roster#sidearm-roster-coaches,4,WOULD_UPDATE,
cmorirv4e000zqtm091dbu3g3,cmorirv3o000xqtm0dw9r5xuo,High Point University,high-point-university,NCAA_D1,,https://highpointpanthers.com/sports/baseball,HIGH,https://highpointpanthers.com/sports/baseball/coaches/2026,4,WOULD_UPDATE,
cmoss3ue6002tqtaoogo4t1i5,cmoss3ude002rqtaoztf1hdin,Indiana University,indiana-university,NCAA_D1,,https://iuhoosiers.com/sports/baseball,HIGH,https://iuhoosiers.com/sports/baseball/roster/2026#sidearm-roster-coaches,4,WOULD_UPDATE,
cmou692cy009tqt1gvkh1u2u0,cmou692c9009rqt1gyfzu2me9,Jacksonville University,jacksonville-university,NCAA_D1,,https://judolphins.com/sports/baseball,HIGH,https://judolphins.com/sports/baseball/coaches/2026,4,WOULD_UPDATE,
cmosun06w004wqtlghra8useq,cmosun069004uqtlgldcwzyyz,Kansas State University,kansas-state-university,NCAA_D1,,https://www.kstatesports.com/sports/baseball,HIGH,https://www.kstatesports.com/sports/baseball/roster/2026#sidearm-roster-coaches,4,WOULD_UPDATE,
cmou6tv4y00bhqti0f4aa9zgu,cmou6tv4900bfqti0dl5zm88o,Longwood University,longwood-university,NCAA_D1,,https://longwoodlancers.com/sports/baseball,HIGH,https://longwoodlancers.com/sports/baseball/coaches/2026,3,WOULD_UPDATE,
cmoss3ujo0035qtaocvcas0pr,cmoss3uj00033qtao6edcy6t4,Michigan State University,michigan-state-university,NCAA_D1,,https://msuspartans.com/sports/baseball,HIGH,https://msuspartans.com/sports/baseball/roster/2026#sidearm-roster-coaches,4,WOULD_UPDATE,
cmou72rfn00c8qtt8hwktn20p,cmou72rez00c6qtt8vg07t3mb,Monmouth University,monmouth-university,NCAA_D1,,https://monmouthhawks.com/sports/baseball,HIGH,https://monmouthhawks.com/sports/baseball/coaches/2026,3,WOULD_UPDATE,
cmou72rh100cbqtt8n0exf72o,cmou72rgb00c9qtt82x6a8jc6,North Carolina A&T State University,north-carolina-at-state-university,NCAA_D1,,https://ncataggies.com/sports/baseball,HIGH,https://ncataggies.com/sports/baseball/coaches/2026,4,WOULD_UPDATE,
cmoriruxc000kqtm0j7aburmj,cmoriruwm000iqtm02t4sd889,North Carolina State University,north-carolina-state-university,NCAA_D1,,https://gopack.com/sports/baseball,HIGH,https://gopack.com/sports/baseball/roster/2026#sidearm-roster-coaches,4,WOULD_UPDATE,
cmoss3uno003eqtaonzgvlr9p,cmoss3un1003cqtao6c08qtft,Northwestern University,northwestern-university,NCAA_D1,,https://nusports.com/sports/baseball,HIGH,https://nusports.com/sports/baseball/roster#sidearm-roster-coaches,4,WOULD_UPDATE,
cmoss3upc003hqtaoe5fltxdq,cmoss3uob003fqtaoxl8favwc,Ohio State University,ohio-state-university,NCAA_D1,,https://ohiostatebuckeyes.com/sports/baseball,HIGH,https://ohiostatebuckeyes.com/sports/baseball/roster/2026#sidearm-roster-coaches,4,WOULD_UPDATE,
cmosun087004zqtlg8mhr1z8t,cmosun07l004xqtlgmfv1xuiu,Oklahoma State University,oklahoma-state-university,NCAA_D1,,https://okstate.com/sports/baseball,HIGH,https://okstate.com/sports/baseball/roster/2026#sidearm-roster-coaches,4,WOULD_UPDATE,
cmoss3uqn003kqtaoaqh1o3af,cmoss3upz003iqtao5i62w3ay,Penn State University,penn-state-university,NCAA_D1,,https://gopsusports.com/sports/baseball,HIGH,https://gopsusports.com/sports/baseball/roster#sidearm-roster-coaches,4,WOULD_UPDATE,
cmou6tv6d00bkqti0fqrjrjwf,cmou6tv5p00biqti096g6a7i8,Presbyterian College,presbyterian-college,NCAA_D1,,https://gobluehose.com/sports/baseball,HIGH,https://gobluehose.com/sports/baseball/coaches/2026,4,WOULD_UPDATE,
cmoss3urx003nqtaoxvvgb7e1,cmoss3ura003lqtaodex5xyz9,Purdue University,purdue-university,NCAA_D1,,https://purduesports.com/sports/baseball,HIGH,https://purduesports.com/sports/baseball/coaches/2025,4,WOULD_UPDATE,
cmorj0gul002nqtioftxuxef1,cmorj0gtv002lqtio6lhkp2sn,Queens University of Charlotte,queens-university-of-charlotte,NCAA_D1,,https://queensathletics.com/sports/baseball,HIGH,https://queensathletics.com/sports/baseball/coaches/2026,3,WOULD_UPDATE,
cmou57eem007zqtdwx7f8coft,cmou57edu007xqtdwf0oux6v3,Rice University,rice-university,NCAA_D1,,https://riceowls.com/sports/baseball,HIGH,https://riceowls.com/sports/baseball/roster/2026#sidearm-roster-coaches,4,WOULD_UPDATE,
cmoss3ut9003qqtaoy83jq2k5,cmoss3usl003oqtaorrzcvm28,Rutgers University,rutgers-university,NCAA_D1,,https://scarletknights.com/sports/baseball,HIGH,https://scarletknights.com/sports/baseball/roster/2026#sidearm-roster-coaches,4,WOULD_UPDATE,
cmou65qhy0095qt1ownoailh2,cmou65qh80093qt1oh6psc6h9,Saint Joseph's University,saint-josephs-university,NCAA_D1,,https://sjuhawks.com/sports/baseball,HIGH,https://sjuhawks.com/sports/baseball/coaches/2026,4,WOULD_UPDATE,
cmou65qje0098qt1ozah8sdhb,cmou65qio0096qt1o4osfjy36,Saint Louis University,saint-louis-university,NCAA_D1,,https://slubillikens.com/sports/baseball,HIGH,https://slubillikens.com/sports/baseball/coaches/2026,4,WOULD_UPDATE,
cmou6babe00azqtic7ata0fs3,cmou6baap00axqtic1q6c8vze,Seton Hall University,seton-hall-university,NCAA_D1,,https://shupirates.com/sports/baseball,HIGH,https://shupirates.com/sports/baseball/roster/2026#sidearm-roster-coaches,3,WOULD_UPDATE,
cmou6baa000awqticynlwrngm,cmou6ba9d00auqtichfm9m8f7,St. John's University,st-johns-university,NCAA_D1,,https://redstormsports.com/sports/baseball,HIGH,https://redstormsports.com/sports/baseball/roster/2026#sidearm-roster-coaches,4,WOULD_UPDATE,
cmosowo1h0012qtuoqpb2b897,cmosowo0s0010qtuovb31mcy3,Stanford University,stanford-university,NCAA_D1,,https://gostanford.com/sports/baseball,HIGH,https://gostanford.com/sports/baseball/roster#sidearm-roster-coaches,4,WOULD_UPDATE,
cmou692j100a5qt1gjzdz1gj8,cmou692i900a3qt1ge0op0qbf,Stetson University,stetson-university,NCAA_D1,,https://gohatters.com/sports/baseball,HIGH,https://gohatters.com/sports/baseball/coaches/2026,4,WOULD_UPDATE,
cmou72rjw00chqtt8k4ykpna3,cmou72rj700cfqtt8j1fo71oa,Stony Brook University,stony-brook-university,NCAA_D1,,https://stonybrookathletics.com/sports/baseball,HIGH,https://stonybrookathletics.com/sports/baseball/coaches/2026,3,WOULD_UPDATE,
cmosun09h0052qtlg5joyoy43,cmosun08u0050qtlg3k28eb5j,TCU,tcu,NCAA_D1,,https://gofrogs.com/sports/baseball,HIGH,https://gofrogs.com/sports/baseball/roster/2026#coaches,4,WOULD_UPDATE,
cmosun0ar0055qtlg6xlvphkd,cmosun0a30053qtlgwqx8pc03,Texas Tech University,texas-tech-university,NCAA_D1,,https://texastech.com/sports/baseball,HIGH,https://texastech.com/sports/baseball/roster/2026#sidearm-roster-coaches,4,WOULD_UPDATE,
cmou72rlc00ckqtt8h1zgkmzj,cmou72rkm00ciqtt8z62e367q,Towson University,towson-university,NCAA_D1,,https://towsontigers.com/sports/baseball,HIGH,https://towsontigers.com/sports/baseball/coaches/2026,4,WOULD_UPDATE,
cmou57ekc0088qtdwzjnvgm0x,cmou57ejn0086qtdwaxqor803,Tulane University,tulane-university,NCAA_D1,,https://tulanegreenwave.com/sports/baseball,HIGH,https://tulanegreenwave.com/sports/baseball/roster/2026#sidearm-roster-coaches,4,WOULD_UPDATE,
