collegeId,collegeName,collegeSlug,city,state,legacyDivision,programId,programDivision,collegeConference,programConference,collegeProgramWebsiteUrl,baseballWebsiteUrl,coachCount,headCoachCount
cmou3xrc4006oqt5s6xbcss6r,Boise State University,boise-state-university,Boise,ID,,cmou3xrdd006qqt5sc7anpsi2,NCAA_D1,,Mountain West,,,0,0
cmou6b9zt00a9qticvdpbknf5,Butler University,butler-university,Indianapolis,IN,,cmou6ba0j00abqtic3zfv6xc8,NCAA_D1,,Big East,,,0,0
cmou3xres006rqt5sroo5bttq,Colorado State University,colorado-state-university,Fort Collins,CO,,cmou3xrff006tqt5spdnjoc3d,NCAA_D1,,Mountain West,,,0,0
cmosun0gl005iqtlg3rsb1jga,Iowa State University,iowa-state-university,Ames,IA,,cmosun0h8005kqtlgzn9zgzov,NCAA_D1,,Big 12,,,0,0
cmou6ba6o00aoqticyii4x4fl,Marquette University,marquette-university,Milwaukee,WI,,cmou6ba7d00aqqticpdxjqz8q,NCAA_D1,,Big East,,,0,0
cmossgres0013qti43q75sz9x,Syracuse University,syracuse-university,Syracuse,NY,,cmossgrfi0015qti4tqm0lti8,NCAA_D1,,ACC,,,0,0
cmosun0fb005fqtlg6yhcnwdm,University of Colorado Boulder,university-of-colorado-boulder,Boulder,CO,,cmosun0fy005hqtlg6guheyu1,NCAA_D1,,Big 12,,,0,0
cmou7wkjz00hoqt5slulm7vp1,University of Northern Iowa,university-of-northern-iowa,Cedar Falls,IA,,cmou7wkkq00hqqt5swjrwwqte,NCAA_D1,,Missouri Valley,,,0,0
cmoss3uty003rqtao20hszq6b,University of Wisconsin,wisconsin,Madison,WI,,cmoss3uul003tqtaotddkfhet,NCAA_D1,,Big Ten,,,0,0
cmou7y70i00ixqtocvqf5dc9l,University of Wyoming,university-of-wyoming,Laramie,WY,,cmou7y71600izqtoch8lbz79k,NCAA_D1,,Mountain West,,,0,0
cmou3xrmc0079qt5sgo4w6bdl,Utah State University,utah-state-university,Logan,UT,,cmou3xrmy007bqt5sdj6v1ac2,NCAA_D1,,Mountain West,,,0,0
