matchType,normalizedValue,groupSize,collegeId,collegeName,collegeSlug,city,state,legacyDivision,programId,programDivision,conference,baseballWebsiteUrl,coachCount
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmowzryn20000qt4wsg538yat,Abraham Baldwin,abraham-baldwin,,GA.,,cmowzryq20002qt4wcia94cvc,NAIA,Southern States Athletic Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/abrahambaldwinga,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmowzrysg0003qt4wbdg2f2jr,Aquinas,aquinas,,MICH.,,cmowzryt60005qt4ww6zu8kez,NAIA,Wolverine-Hoosier Athletic Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/aquinasmi,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmox063zr0006qtgch1gd613b,Arizona Christian,arizona-christian,,AZ,,cmox0640i0008qtgc68cnq9cq,NAIA,Great Southwest Athletic Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/arizonachristianaz,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmox0641a0009qtgc0iweu1f4,Arkansas Baptist,arkansas-baptist,,AR,,cmox06420000bqtgctoxverh6,NAIA,Continental Athletic Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/arkansasbaptist,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmox0642r000cqtgch0h1atsx,Ave Maria,ave-maria,,FL,,cmox0643f000eqtgcwbotacoa,NAIA,The Sun Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/avemariafl,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmowzrytw0006qt4wacqwr2gf,Avila,avila,,MO,,cmowzryum0008qt4wsq56ec6e,NAIA,Kansas Collegiate Athletic Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/avilamo,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmox0645g000iqtgc55oneldh,Baker,baker,,KS,,cmox06463000kqtgc9pjvqtua,NAIA,Heart of America Athletic Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/bakerks,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmowzryve0009qt4w4wlg04nk,Bellevue,bellevue,,NE,,cmowzryw5000bqt4wqtd08swz,NAIA,North Star Athletic Association,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/bellevuene,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmowzrywy000cqt4wzskexlt2,Benedictine,benedictine,,KS,,cmowzryxn000eqt4wfqk9un3e,NAIA,Heart of America Athletic Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/benedictineks,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmox0649h000rqtgcaps3f0qu,Benedictine Mesa,benedictine-mesa,,AZ,,cmox064a9000tqtgcmhly7i4i,NAIA,Great Southwest Athletic Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/benedictinemesaaz,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmowzryyd000fqt4w75l1pt86,Bethany,bethany,,KS,,cmowzryz4000hqt4web49by6l,NAIA,Kansas Collegiate Athletic Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/bethanyks,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmowzryzu000iqt4wi8kavbkx,Bethel,bethel,,TN,,cmowzrz0i000kqt4w867gua03,NAIA,Mid-South Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/betheltn,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmowzrz19000lqt4w1y1r6d6b,Blue Mountain Christian,blue-mountain-christian,,MS,,cmowzrz1y000nqt4wp94mr7u6,NAIA,Southern States Athletic Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/bluemountainchristianms,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmowzrz2p000oqt4wud5eghaw,Bluefield,bluefield,,VA,,cmowzrz3h000qqt4wz5pctlbg,NAIA,Appalachian Athletic Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/bluefieldva,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmowzrz46000rqt4wrxx7o7a9,Brescia,brescia,,KY,,cmowzrz4w000tqt4wl7du8f4f,NAIA,River States Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/bresciaky,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmowzrz5k000uqt4wc3s1vgx6,Brewton-Parker,brewton-parker,,GA,,cmowzrz6a000wqt4wu9lmyks0,NAIA,Southern States Athletic Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/brewtonparkerga,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmowzrz74000xqt4wdm59y6gz,Briar Cliff,briar-cliff,,IA,,cmowzrz7u000zqt4wwkmyegvb,NAIA,Great Plains Athletic Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/briarcliffia,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmox064lo001iqtgcjv8mnkmc,British Columbia,british-columbia,,BC,,cmox064me001kqtgc3pstmmce,NAIA,Cascade Collegiate Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/britishcolumbia,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmowzrz8k0010qt4wjdckub80,Bryan,bryan,,TN,,cmowzrz990012qt4wpo3gsi0u,NAIA,Appalachian Athletic Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/bryantn,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmowzrz9y0013qt4w9muhmjp3,Bushnell,bushnell,,OR,,cmowzrzap0015qt4wa3uyax9d,NAIA,Cascade Collegiate Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/bushnellor,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmowzrzhj001iqt4wu3gf43ii,CIU,ciu,,SC,,cmowzrzia001kqt4won2j9klb,NAIA,Appalachian Athletic Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/ciusc,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmowzrzbf0016qt4wfhlncr35,Calumet,calumet,,IN,,cmowzrzc40018qt4wf9nf4knw,NAIA,Chicagoland Collegiate Athletic Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/calumetin,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmox064r0001uqtgcyhmfa4ad,Campbellsville,campbellsville,,KY,,cmox064rr001wqtgcnqonm93x,NAIA,Mid-South Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/campbellsvilleky,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmowzrzct0019qt4wgwahltd6,Carolina,carolina,,N.C.,,cmowzrzdk001bqt4w2ajpgsov,NAIA,Continental Athletic Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/carolinanc,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmowzrzeb001cqt4wjs0rswex,Central Baptist,central-baptist,,ARK.,,cmowzrzf0001eqt4w1r39sp1c,NAIA,American Midwest Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/centralbaptistar,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmowzrzfr001fqt4wjyk1e88l,Central Christian,central-christian,,KS,,cmowzrzgq001hqt4wdd8p7s5j,NAIA,Sooner Athletic Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/centralchristianks,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmox064v10023qtgczbgq56zf,Central Methodist,central-methodist,,MO,,cmox064vn0025qtgco8005zej,NAIA,Heart of America Athletic Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/centralmethodistmo,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmowzrzj0001lqt4wws226tj0,Clarke,clarke,,IA,,cmowzrzjq001nqt4woiwflebl,NAIA,Heart of America Athletic Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/clarkeia,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmowzrzkk001oqt4wwekf7ggs,Cleary,cleary,,MI,,cmowzrzla001qqt4wuawbib3d,NAIA,Wolverine-Hoosier Athletic Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/clearymi,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmox06509002fqtgcjaki8slx,College of Idaho,college-of-idaho,,ID,,cmox06515002hqtgcjsa2azr4,NAIA,Cascade Collegiate Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/collegeofidaho,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmowzrzm0001rqt4wm5n56kzt,Columbia,columbia,,MO,,cmowzrzmr001tqt4wj77la053,NAIA,American Midwest Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/columbiamo,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmowzrzng001uqt4wid2g788z,Concordia,concordia,,NEB.,,cmowzrzo6001wqt4wyyjghwwi,NAIA,Great Plains Athletic Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/concordiane,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmox06561002rqtgc733yszez,Corban,corban,,OR,,cmox0656r002tqtgcfs8vr0zp,NAIA,Cascade Collegiate Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/corbanor,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmox0657g002uqtgcg017dzgh,Cornerstone,cornerstone,,MI,,cmox06585002wqtgca5k7ptff,NAIA,Wolverine-Hoosier Athletic Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/cornerstonemi,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmowzrzqf0020qt4w2rmdzd30,Crowley's Ridge,crowley-s-ridge,,AR,,cmowzrzr50022qt4wbwnjy4ux,NAIA,American Midwest Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/crowleysridgear,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmowzrzrv0023qt4wrvj7v2vn,Culver-Stockton,culver-stockton,,MO,,cmowzrzsm0025qt4w6jcyplq9,NAIA,Heart of America Athletic Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/culverstocktonmo,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmox065bi0033qtgcf3sg14rd,Cumberland,cumberland,,TENN.,,cmox065c60035qtgcui12pyoj,NAIA,Mid-South Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/cumberlandtn,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmox065cu0036qtgcta2s6lf3,Cumberlands,cumberlands,,KY.,,cmox065dh0038qtgcmrbv8j83,NAIA,Mid-South Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/cumberlandsky,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmowzrztc0026qt4w837yizhj,Dakota State,dakota-state,,SD,,cmowzrzu30028qt4w2si3pdp9,NAIA,North Star Athletic Association,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/dakotastatesd,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmowzrzus0029qt4w9fs1lx8o,Dakota Wesleyan,dakota-wesleyan,,SD,,cmowzrzvj002bqt4w4tzcoofk,NAIA,Great Plains Athletic Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/dakotawesleyansd,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmowzrzw9002cqt4wnsx4sgpq,Defiance College,defiance-college,,OH,,cmowzrzx0002eqt4wnsddethr,NAIA,Wolverine-Hoosier Athletic Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/defiancecollegeoh,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmowzrzxr002fqt4wstnzqq2z,Dickinson State,dickinson-state,,ND,,cmowzrzyp002hqt4w4892whe7,NAIA,North Star Athletic Association,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/dickinsonstatend,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmowzrzzj002iqt4wjp7qml4q,Dillard,dillard,,LA.,,cmowzs00a002kqt4w2wta5bkm,NAIA,HBCU Athletic Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/dillardla,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmowzs014002lqt4wj1mlkru4,Doane,doane,,NE,,cmowzs01x002nqt4w8ohvbuqf,NAIA,Great Plains Athletic Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/doanene,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmowzs02p002oqt4w5u5siqo9,Dordt,dordt,,IA,,cmowzs03g002qqt4w6h2wkj42,NAIA,Great Plains Athletic Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/dordtia,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmox065nf003uqtgc8c0fmcjy,Eastern Oregon,eastern-oregon,,OR,,cmox065o3003wqtgc37wh60xc,NAIA,Cascade Collegiate Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/easternoregon,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmovlhu2n0060qt200npnptgr,Embry-Riddle,embry-riddle,Daytona Beach,AZ,,cmovlhu3d0062qt20b2a0gftv,NAIA,Great Southwest Athletic Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/embryriddleaz,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmowzs065002uqt4wwjq3lvoj,Evangel,evangel,,MO.,,cmowzs06v002wqt4wvnorm0uv,NAIA,Kansas Collegiate Athletic Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/evangelmo,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmowzs07m002xqt4wawsr2z9y,Faulkner,faulkner,,AL,,cmowzs08e002zqt4w4zob7nhd,NAIA,Southern States Athletic Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/faulkneral,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmowzs0970030qt4wk3t17vg1,Fisher,fisher,,MA,,cmowzs09x0032qt4wjpbbigv0,NAIA,Continental Athletic Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/fisherma,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmox065u60049qtgczm8bph8k,Florida Memorial,florida-memorial,,FL,,cmox065us004bqtgcnhcywftb,NAIA,The Sun Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/floridamemorialfl,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmox065vh004cqtgcp9njea3d,Florida National,florida-national,,FL,,cmox065w7004eqtgcizjdya6r,NAIA,Continental Athletic Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/floridanationalfl,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmox065wv004fqtgct0gzr6xf,Freed-Hardeman,freed-hardeman,,TENN.,,cmox065xk004hqtgcbp2m78so,NAIA,Mid-South Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/freedhardemantn,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmowzs0an0033qt4whk11ikps,Friends,friends,,KS,,cmowzs0be0035qt4w7156or7w,NAIA,Kansas Collegiate Athletic Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/friendsks,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmox065zl004lqtgckt3to19k,Georgetown,georgetown,,KY.,,cmox06608004nqtgcd8exng2f,NAIA,Mid-South Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/georgetown,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmox0660w004oqtgccsrumrzc,Georgia Gwinnett,georgia-gwinnett,,GA,,cmox0661k004qqtgcx09yazn0,NAIA,Continental Athletic Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/georgiagwinnett,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmowzs0c60036qt4w3zl8yw6w,Goshen,goshen,,IN,,cmowzs0cx0038qt4wqxutssz5,NAIA,Crossroads League,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/goshenin,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmowzs0dp0039qt4wx5ce1gbn,Grace,grace,,IND.,,cmowzs0eg003bqt4wfnn88a1w,NAIA,Crossroads League,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/gracein,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmox06652004xqtgcdt0tmpi9,Graceland,graceland,,IA,,cmox0665r004zqtgc8rarik4b,NAIA,Heart of America Athletic Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/graceland,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmox0666f0050qtgcpy1opj6v,Grand View,grand-view,,IA,,cmox066710052qtgcc420cjf3,NAIA,Heart of America Athletic Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/grandview,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmowzs0f8003cqt4w2i4hkdh1,Hannibal-LaGrange,hannibal-lagrange,,MO,,cmowzs0fz003eqt4wrfmpneki,NAIA,American Midwest Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/hanniballagrangemo,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmowzs0gt003fqt4wrycagik9,Harris-Stowe,harris-stowe,,MO,,cmowzs0hi003hqt4w046jqkks,NAIA,American Midwest Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/harrisstowemo,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmox066af0059qtgc98qcsc7y,Hastings,hastings,,NE,,cmox066b2005bqtgc12ijaaed,NAIA,Great Plains Athletic Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/hastings,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmox066bq005cqtgcwroasbo1,Hope International,hope-international,,CA,,cmox066ce005eqtgc9gdmi5w3,NAIA,Great Southwest Athletic Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/hopeinternational,0
