collegeId,collegeName,collegeSlug,city,state,legacyDivision,programId,programDivision,collegeConference,programConference,collegeProgramWebsiteUrl,baseballWebsiteUrl,coachCount,headCoachCount
cmou8cth500niqtloqxbbcs7q,Abilene Christian University,abilene-christian-university,Abilene,TX,,cmou8ctht00nkqtlo5igdod18,NCAA_D1,,WAC,,https://acusports.com/sports/baseball,1,1
cmou7y6lb00i0qtoctz1o5gup,Air Force Academy,air-force-academy,Colorado Springs,CO,,cmou7y6m100i2qtocacagvlzg,NCAA_D1,,Mountain West,,https://goairforcefalcons.com/sports/baseball,4,1
cmou8bk4r00miqtuwipz7ujxn,Alabama A&M University,alabama-am-university,Huntsville,AL,,cmou8bk5g00mkqtuwooxa4ld7,NCAA_D1,,SWAC,,https://aamusports.com/sports/baseball,2,1
cmou8bk6700mlqtuw9jg9v0hr,Alabama State University,alabama-state-university,Montgomery,AL,,cmou8bk7000mnqtuws5zp12wv,NCAA_D1,,SWAC,,https://bamastatesports.com/sports/baseball,3,1
cmou8bk7r00moqtuw877oh8ym,Alcorn State University,alcorn-state-university,Lorman,MS,,cmou8bk8g00mqqtuwslfooi6r,NCAA_D1,,SWAC,,https://alcornsports.com/sports/baseball,2,1
cmorirv6d0013qtm0857czvw2,Appalachian State University,appalachian-state-university,Boone,NC,,cmorirv710015qtm0ovu568ty,NCAA_D1,,Sun Belt,,https://appstatesports.com/sports/baseball,4,1
cmou3bz6n005oqtvovcdaj57a,Arkansas State University,arkansas-state-university,Jonesboro,AR,,cmou3bz7n005qqtvo0uxy0otj,NCAA_D1,,Sun Belt,,https://astateredwolves.com/sports/baseball,4,1
cmou853t900kfqtiwom7baojh,Army West Point,army-west-point,West Point,NY,,cmou853tx00khqtiwxhk7iuh6,NCAA_D1,,Patriot League,,https://goarmywestpoint.com/sports/baseball,4,1
cmosp9qds001iqtyg1wl3lj4x,Auburn University,auburn-university,Auburn,AL,,cmosp9qeg001kqtyg0f97o2ln,NCAA_D1,,SEC,,https://auburntigers.com/sports/baseball,4,1
cmou7skej00frqtagr0af6s2l,Ball State University,ball-state-university,Muncie,IN,,cmou7skfe00ftqtagnd5b58qi,NCAA_D1,,MAC,,https://ballstatesports.com/sports/baseball,4,1
cmou7wkoo00hxqt5s9a60o3y4,Belmont University,belmont-university,Nashville,TN,,cmou7wkpe00hzqt5sc29zbzub,NCAA_D1,,Missouri Valley,,https://belmontbruins.com/sports/baseball,4,1
cmou8bk9700mrqtuwxcss2rbf,Bethune-Cookman University,bethune-cookman-university,Daytona Beach,FL,,cmou8bkam00mtqtuw05l80dri,NCAA_D1,,SWAC,,https://bcuathletics.com/sports/baseball,4,1
cmou7skg500fuqtagtydmsfwo,Bowling Green State University,bowling-green-state-university,Bowling Green,OH,,cmou7skgu00fwqtagkdktv3y4,NCAA_D1,,MAC,,https://bgsufalcons.com/sports/baseball,4,1
cmou7wk9s00h3qt5skvjnlqhv,Bradley University,bradley-university,Peoria,IL,,cmou7wkah00h5qt5sn6z34r0h,NCAA_D1,,Missouri Valley,,https://bradleybraves.com/sports/baseball,3,1
cmou7ekn200e3qtx8xqee53qh,Brown University,brown-university,Providence,RI,,cmou7eknp00e5qtx84ipuuxjh,NCAA_D1,,Ivy League,,https://brownbears.com/sports/baseball,4,0
cmou853uk00kiqtiwr4lsp4p6,Bucknell University,bucknell-university,Lewisburg,PA,,cmou853v900kkqtiwu3parh8r,NCAA_D1,,Patriot League,,https://bucknellbison.com/sports/baseball,4,1
cmou6b9zt00a9qticvdpbknf5,Butler University,butler-university,Indianapolis,IN,,cmou6ba0j00abqtic3zfv6xc8,NCAA_D1,,Big East,,,0,0
cmou8ctii00nlqtlojaynels8,California Baptist University,california-baptist-university,Riverside,CA,,cmou8ctj700nnqtlon1veo5hd,NCAA_D1,,WAC,,https://cbulancers.com/sports/baseball,4,1
cmou7g4yd00erqtkwsinl2cv7,Canisius University,canisius-university,Buffalo,NY,,cmou7g4z200etqtkw6aq7y21m,NCAA_D1,,MAAC,,https://gogriffs.com/sports/baseball,4,1
cmou7zw9900j0qt18f8v0lvet,Central Connecticut State University,central-connecticut-state-university,New Britain,CT,,cmou7zwa000j2qt18c7a5hwss,NCAA_D1,,Northeast Conference,,https://ccsubluedevils.com/sports/baseball,0,0
cmou7skhl00fxqtagpa6mymfq,Central Michigan University,central-michigan-university,Mount Pleasant,MI,,cmou7skic00fzqtagzifm29yu,NCAA_D1,,MAC,,https://cmuchippewas.com/sports/baseball,4,1
cmou3bz97005rqtvofgt7p17h,Coastal Carolina University,coastal-carolina-university,Conway,SC,,cmou3bz9z005tqtvogqtsk7dh,NCAA_D1,,Sun Belt,,https://goccusports.com/sports/baseball,4,1
cmou853vy00klqtiwxsprvd34,College of the Holy Cross,college-of-the-holy-cross,Worcester,MA,,cmou853wn00knqtiw8etjougs,NCAA_D1,,Patriot League,,https://goholycross.com/sports/baseball,4,1
cmou7ekoe00e6qtx8h6vtazjr,Columbia University,columbia-university,New York,NY,,cmou7ekp200e8qtx8qlpcfsh3,NCAA_D1,,Ivy League,,https://gocolumbialions.com/sports/baseball,3,1
cmou7ekpr00e9qtx8i7bf3vt3,Cornell University,cornell-university,Ithaca,NY,,cmou7ekqf00ebqtx86ws3y8rp,NCAA_D1,,Ivy League,,https://cornellbigred.com/sports/baseball,3,1
cmou3xrou007fqt5sv5iwwby9,Dallas Baptist University,dallas-baptist-university,Dallas,TX,,cmou3xrph007hqt5sgsdjmkeg,NCAA_D1,,Conference USA,,https://dbupatriots.com/sports/baseball,0,0
cmou7ekr400ecqtx87gfarbw6,Dartmouth College,dartmouth-college,Hanover,NH,,cmou7ekrs00eeqtx85mv4aiw4,NCAA_D1,,Ivy League,,https://dartmouthsports.com/sports/baseball,4,1
cmou7v13900goqtfg05v8bfsa,Delaware State University,delaware-state-university,Dover,DE,,cmou7v14000gqqtfg74wzxd9d,NCAA_D1,,MEAC,,https://dsuhornets.com/sports/baseball,1,1
cmorirvhn001oqtm0h339uelq,East Tennessee State University,east-tennessee-state-university,Johnson City,TN,,cmorirvid001qqtm07p0bazmo,NCAA_D1,,SoCon,,https://etsubucs.com/sports/baseball,3,1
cmou8250s00joqtfonibp33ex,Eastern Illinois University,eastern-illinois-university,Charleston,IL,,cmou8251i00jqqtforluc833g,NCAA_D1,,Ohio Valley,,https://eiupanthers.com/sports/baseball,4,1
cmou7skj100g0qtagj06bdvsw,Eastern Michigan University,eastern-michigan-university,Ypsilanti,MI,,cmou7skju00g2qtagvnch2szo,NCAA_D1,,MAC,,https://emueagles.com/sports/baseball,5,1
cmou7g4zq00euqtkwd42cysuy,Fairfield University,fairfield-university,Fairfield,CT,,cmou7g50f00ewqtkwsbzcsid6,NCAA_D1,,MAAC,,https://fairfieldstags.com/sports/baseball,3,1
cmou7zwas00j3qt182wcerpdp,Fairleigh Dickinson University,fairleigh-dickinson-university,Teaneck,NJ,,cmou7zwbj00j5qt18iz4v4hge,NCAA_D1,,Northeast Conference,,https://fduknights.com/sports/baseball,4,1
cmou8bkba00muqtuwai4k6w4f,Florida A&M University,florida-am-university,Tallahassee,FL,,cmou8bkc500mwqtuwn4v6624q,NCAA_D1,,SWAC,,https://famuathletics.com/sports/baseball,5,1
cmou74g3m00cuqtboxefftaxz,Florida International University,florida-international-university,Miami,FL,,cmou74g4a00cwqtbow41onypu,NCAA_D1,,Conference USA,,https://fiusports.com/sports/baseball,3,1
cmou3xrg1006uqt5s90fq7wbv,Fresno State,fresno-state,Fresno,CA,,cmou3xrgo006wqt5sawcj9olu,NCAA_D1,,Pac-12,,https://gobulldogs.com/sports/baseball,4,1
cmou3bzar005uqtvotuqjjtpj,Georgia Southern University,georgia-southern-university,Statesboro,GA,,cmou3bzbf005wqtvoa5yx0t5p,NCAA_D1,,Sun Belt,,https://gseagles.com/sports/baseball,4,1
cmou3bzc7005xqtvobxbfhhf1,Georgia State University,georgia-state-university,Atlanta,GA,,cmou3bzcy005zqtvo3urwyp5m,NCAA_D1,,Sun Belt,,https://georgiastatesports.com/sports/baseball,4,1
cmou3xrhd006xqt5sy8mx7xfp,Gonzaga University,gonzaga-university,Spokane,WA,,cmou3xrhz006zqt5svvnwi1wg,NCAA_D1,,West Coast Conference,,https://gozags.com/sports/baseball,4,1
cmou8bkcv00mxqtuw4jh5usi0,Grambling State University,grambling-state-university,Grambling,LA,,cmou8bkdk00mzqtuw3pctg8sc,NCAA_D1,,SWAC,,https://gsutigers.com/sports/baseball,4,1
cmou8ctjw00noqtloejv6g4yk,Grand Canyon University,grand-canyon-university,Phoenix,AZ,,cmou8ctkk00nqqtlo7h4rploa,NCAA_D1,,WAC,,https://gculopes.com/sports/baseball,3,1
cmou7eksh00efqtx82hcfwyn5,Harvard University,harvard-university,Cambridge,MA,,cmou7ekt600ehqtx8psyqlq39,NCAA_D1,,Ivy League,,https://gocrimson.com/sports/baseball,4,1
cmou87s2600loqt8ogi952e7u,Houston Christian University,houston-christian-university,Houston,TX,,cmou87s2z00lqqt8oy3ac0hd5,NCAA_D1,,Southland,,https://hcuhuskies.com/sports/baseball,4,1
cmou7wke000hcqt5sqqhjpdb9,Illinois State University,illinois-state-university,Normal,IL,,cmou7wkeo00heqt5sc53q9gdn,NCAA_D1,,Missouri Valley,,https://goredbirds.com/sports/baseball,4,1
cmou7wkff00hfqt5sve6yzh1q,Indiana State University,indiana-state-university,Terre Haute,IN,,cmou7wkg500hhqt5skxa5byu1,NCAA_D1,,Missouri Valley,,https://gosycamores.com/sports/baseball,4,1
cmou8bked00n0qtuwpp2lpp75,Jackson State University,jackson-state-university,Jackson,MS,,cmou8bkf300n2qtuwklvjxrw9,NCAA_D1,,SWAC,,https://gojsutigers.com/sports/baseball,4,1
cmou74g4y00cxqtbo8mt66c5s,Jacksonville State University,jacksonville-state-university,Jacksonville,AL,,cmou74g5m00czqtbo27ri2tut,NCAA_D1,,Conference USA,,https://jsugamecocksports.com/sports/baseball,4,1
cmorirvnh0020qtm0zmpqk8ha,James Madison University,james-madison-university,Harrisonburg,VA,,cmorirvo80022qtm0v8nc60z1,NCAA_D1,,Sun Belt,,https://jmusports.com/sports/baseball,4,1
cmorirvat001cqtm0g8f0pvoh,Kennesaw State University,kennesaw-state-university,Kennesaw,GA,,cmorirvc4001eqtm05q6w6boq,NCAA_D1,,Conference USA,,https://ksuowls.com/sports/baseball,4,1
cmou7skkk00g3qtagy6vhez1y,Kent State University,kent-state-university,Kent,OH,,cmou7skla00g5qtagy804ec2z,NCAA_D1,,MAC,,https://kentstatesports.com/sports/baseball,4,1
cmou7zwdt00j9qt182aa9w7js,LIU,liu,Brookville,NY,,cmou7zwek00jbqt1882s0u4lt,NCAA_D1,,Northeast Conference,,https://liusports.com/sports/baseball,0,0
cmou853xc00koqtiw191jfymh,Lafayette College,lafayette-college,Easton,PA,,cmou853xz00kqqtiw0169j0ad,NCAA_D1,,Patriot League,,https://goleopards.com/sports/baseball,4,1
cmou87s5i00luqt8onj1dfzgw,Lamar University,lamar-university,Beaumont,TX,,cmou87s6900lwqt8ovwn8avii,NCAA_D1,,Southland,,https://lamarcardinals.com/sports/baseball,4,1
cmou7zwca00j6qt18z0kal3jh,Le Moyne College,le-moyne-college,Syracuse,NY,,cmou7zwd100j8qt186gxo44jm,NCAA_D1,,Northeast Conference,,https://lemoynedolphins.com/sports/baseball,0,0
cmou853yn00krqtiwxft9rpx6,Lehigh University,lehigh-university,Bethlehem,PA,,cmou853zf00ktqtiwls9maf65,NCAA_D1,,Patriot League,,https://lehighsports.com/sports/baseball,3,1
cmorirvly001xqtm0tzybydoz,Liberty University,liberty-university,Lynchburg,VA,,cmorirvmo001zqtm0q8nwguf6,NCAA_D1,,Conference USA,,https://libertyflames.com/sports/baseball,4,1
cmosp9qiy001uqtygr9z70e4d,Louisiana State University,louisiana-state-university,Baton Rouge,LA,,cmosp9qjl001wqtygay3k1f31,NCAA_D1,,SEC,,https://lsusports.net/sports/bsb/,4,1
cmou74g9400d6qtbozjfls2vs,Louisiana Tech University,louisiana-tech-university,Ruston,LA,,cmou74g9u00d8qtbof7zmonqa,NCAA_D1,,Conference USA,,https://latechsports.com/sports/baseball,4,1
cmou8ea7q00ofqt6st8tp4yo9,Loyola Marymount University,loyola-marymount-university,Los Angeles,CA,,cmou8ea8i00ohqt6se9ges7t9,NCAA_D1,,West Coast Conference,,https://lmulions.com/sports/baseball,4,1
cmou7g51200exqtkwf7kuasw3,Manhattan University,manhattan-university,Bronx,NY,,cmou7g51s00ezqtkwxetc5qqx,NCAA_D1,,MAAC,,https://gojaspers.com/sports/baseball,3,1
cmou7g52f00f0qtkwt9df4qnj,Marist University,marist-university,Poughkeepsie,NY,,cmou7g53400f2qtkwqmbg3tkd,NCAA_D1,,MAAC,,https://goredfoxes.com/sports/baseball,2,1
cmou3bzgk0066qtvox0ta1p15,Marshall University,marshall-university,Huntington,WV,,cmou3bzhc0068qtvojrm3rzyk,NCAA_D1,,Sun Belt,,https://herdzone.com/sports/baseball,4,1
cmou87s7p00lxqt8o8ol0m0nw,McNeese State University,mcneese-state-university,Lake Charles,LA,,cmou87s8g00lzqt8ofnxh0lqd,NCAA_D1,,Southland,,https://mcneesesports.com/sports/baseball,1,1
cmorirvda001fqtm0bda9w5vn,Mercer University,mercer-university,Macon,GA,,cmorirve1001hqtm0mjm0p8oa,NCAA_D1,,SoCon,,https://mercerbears.com/sports/baseball,4,1
cmou7zwf900jcqt18wr5yrl6b,Merrimack College,merrimack-college,North Andover,MA,,cmou7zwfz00jeqt18k733ahlx,NCAA_D1,,Northeast Conference,,https://merrimackathletics.com/sports/baseball,4,1
cmou7sknj00g9qtagx86tk6jp,Miami University,miami-university,Oxford,OH,,cmou7skoa00gbqtagdohm68a4,NCAA_D1,,MAC,,https://miamiredhawks.com/sports/baseball,2,1
cmou74gai00d9qtbom8p5uos8,Middle Tennessee State University,middle-tennessee-state-university,Murfreesboro,TN,,cmou74gb600dbqtboufydjjon,NCAA_D1,,Conference USA,,https://goblueraiders.com/sports/baseball,3,1
cmosp9qlj0020qtygmlse1hvz,Mississippi State University,mississippi-state-university,Starkville,MS,,cmosp9qm90022qtygo9hvl54a,NCAA_D1,,SEC,,https://hailstate.com/sports/baseball,0,0
cmou8bkft00n3qtuwhngsikpf,Mississippi Valley State University,mississippi-valley-state-university,Itta Bena,MS,,cmou8bkgi00n5qtuwywlmdln3,NCAA_D1,,SWAC,,https://mvsusports.com/sports/baseball,4,1
cmou7wkgw00hiqt5sseedt2ma,Missouri State University,missouri-state-university,Springfield,MO,,cmou7wkhn00hkqt5sbhclevc1,NCAA_D1,,Missouri Valley,,https://missouristatebears.com/sports/baseball,5,1
cmou8254z00jxqtfojfw5nai9,Morehead State University,morehead-state-university,Morehead,KY,,cmou8255p00jzqtfoxtl707lf,NCAA_D1,,Ohio Valley,,https://msueagles.com/sports/baseball,3,1
cmou7g53u00f3qtkwb9q8949c,Mount St. Mary's University,mount-st-marys-university,Emmitsburg,MD,,cmou7g54k00f5qtkwzdidrcxk,NCAA_D1,,MAAC,,https://mountathletics.com/sports/baseball,4,1
cmou7wkih00hlqt5s33909h6i,Murray State University,murray-state-university,Murray,KY,,cmou7wkj800hnqt5sekexg9mi,NCAA_D1,,Ohio Valley,,https://goracers.com/sports/baseball,4,1
cmou8540400kuqtiws5720no0,Naval Academy,naval-academy,Annapolis,MD,,cmou8540s00kwqtiwqdx2wzj0,NCAA_D1,,Patriot League,,https://navysports.com/sports/baseball,4,1
cmou74gbw00dcqtbol3sfoqsv,New Mexico State University,new-mexico-state-university,Las Cruces,NM,,cmou74gcl00deqtboo14o1rx4,NCAA_D1,,Conference USA,,https://nmstatesports.com/sports/baseball,4,1
cmou7g55900f6qtkwnbzbwha4,Niagara University,niagara-university,Niagara University,NY,,cmou7g55y00f8qtkwgjqz1y2q,NCAA_D1,,MAAC,,https://purpleeagles.com/sports/baseball,2,1
cmou87sao00m3qt8o9ltpx7xj,Nicholls State University,nicholls-state-university,Thibodaux,LA,,cmou87sbe00m5qt8o3c4bkqxp,NCAA_D1,,Southland,,https://geauxcolonels.com/sports/baseball,4,1
cmou7v16500guqtfgg29wl5pq,Norfolk State University,norfolk-state-university,Norfolk,VA,,cmou7v16v00gwqtfgg233rx6f,NCAA_D1,,MEAC,,https://nsuspartans.com/sports/baseball,4,1
cmou72rhq00ccqtt8mnchz644,Northeastern University,northeastern-university,Boston,MA,,cmou72rih00ceqtt8pvkwzi7n,NCAA_D1,,CAA,,https://nuhuskies.com/sports/baseball,4,1
cmou7skp000gcqtag9gme0a5g,Northern Illinois University,northern-illinois-university,DeKalb,IL,,cmou7skpt00geqtagbn7zudpp,NCAA_D1,,MAC,,https://niuhuskies.com/sports/baseball,3,1
cmou7aqmx00duqt44ki7648cp,Northern Kentucky University,northern-kentucky-university,Highland Heights,KY,,cmou7aqnp00dwqt447trpic9t,NCAA_D1,,Horizon League,,https://nkunorse.com/sports/baseball,4,1
cmou87sc400m6qt8og6qwpy7g,Northwestern State University,northwestern-state-university,Natchitoches,LA,,cmou87sd800m8qt8omluc99f6,NCAA_D1,,Southland,,https://nsudemons.com/sports/baseball,4,1
cmou7aqq300e0qt44815c4i48,Oakland University,oakland-university,Rochester,MI,,cmou7aqqy00e2qt44hyodugts,NCAA_D1,,Horizon League,,https://goldengrizzlies.com/sports/baseball,4,1
cmou7skqk00gfqtagxrcr2y5r,Ohio University,ohio-university,Athens,OH,,cmou7skr800ghqtagxadkl54c,NCAA_D1,,MAC,,https://ohiobobcats.com/sports/baseball,4,1
cmou3bzi30069qtvo7egz1i63,Old Dominion University,old-dominion-university,Norfolk,VA,,cmou3bzis006bqtvox87it60e,NCAA_D1,,Sun Belt,,https://odusports.com/sports/baseball,4,1
cmou3xril0070qt5slpmm4icd,Oregon State University,oregon-state-university,Corvallis,OR,,cmou3xrj70072qt5s2jjtrt9o,NCAA_D1,,Pac-12,,https://osubeavers.com/sports/baseball,4,1
cmou8ea9700oiqt6sl6kxo6py,Pepperdine University,pepperdine-university,Malibu,CA,,cmou8ea9w00okqt6sxqte3yga,NCAA_D1,,West Coast Conference,,https://pepperdinewaves.com/sports/baseball,3,1
cmou8bkh800n6qtuwr2b80tng,Prairie View A&M University,prairie-view-am-university,Prairie View,TX,,cmou8bki500n8qtuw63u8u7tr,NCAA_D1,,SWAC,,https://pvpanthers.com/sports/baseball,5,1
cmou7ekvb00elqtx8wqvell5p,Princeton University,princeton-university,Princeton,NJ,,cmou7ekw100enqtx8836iwma7,NCAA_D1,,Ivy League,,https://goprincetontigers.com/sports/baseball,4,1
cmou7g56n00f9qtkw20et5as4,Quinnipiac University,quinnipiac-university,Hamden,CT,,cmou7g57d00fbqtkw03owk44b,NCAA_D1,,MAAC,,https://gobobcats.com/sports/baseball,3,1
cmou6tv7100blqti0ro2wk1tg,Radford University,radford-university,Radford,VA,,cmou6tv7r00bnqti0zdyxeksd,NCAA_D1,,Big South,,https://radfordathletics.com/sports/baseball,2,1
cmou7g58200fcqtkwlr36bze7,Rider University,rider-university,Lawrenceville,NJ,,cmou7g58r00feqtkwnpsgaznj,NCAA_D1,,MAAC,,https://gobroncs.com/sports/baseball,3,2
cmou7g59h00ffqtkwxjhhqadq,Sacred Heart University,sacred-heart-university,Fairfield,CT,,cmou7g5a600fhqtkw92g207lr,NCAA_D1,,MAAC,,https://sacredheartpioneers.com/sports/baseball,4,1
