collegeId,collegeName,collegeSlug,city,state,legacyDivision,programId,programDivision,collegeConference,programConference,collegeProgramWebsiteUrl,baseballWebsiteUrl,coachCount,headCoachCount
cmosumzx30049qtlgomg2y8hl,Arizona,arizona,Tucson,AZ,,cmosumzxq004bqtlgcux50apa,,,,,,4,1
cmosumzyf004cqtlgurkdv8j2,Arizona State University,arizona-state-university,Tempe,AZ,,cmosumzz4004eqtlggz9328ng,,,,,,4,1
cmou6925b009cqt1gkx1kghnj,Austin Peay State University,austin-peay-state-university,Clarksville,TN,,cmou6925z009eqt1gaqjdu3za,,,,,,3,1
cmosun015004iqtlg3arpxgbi,BYU,byu,Provo,UT,,cmosun01s004kqtlg2b6mlqcd,,,,,,4,1
cmosumzzu004fqtlg454szeg8,Baylor University,baylor-university,Waco,TX,,cmosun00i004hqtlgy3534tz1,,,,,,4,1
cmou6926p009fqt1gv6h5xaxk,Bellarmine University,bellarmine-university,Louisville,KY,,cmou6927d009hqt1g6ojn2uy0,,,,,,4,1
cmosownei0000qtuolkw0dovw,Boston College,boston-college,Chestnut Hill,MA,,cmosownis0002qtuoado2ywvj,,,,,,3,1
cmorirv530010qtm0xxcup0nz,Campbell University,campbell-university,Buies Creek,NC,,cmorirv5q0012qtm028k9yq81,,,,,,4,1
cmou6tv0000b6qti0uw8kd0th,Charleston Southern University,charleston-southern-university,Charleston,SC,,cmou6tv0p00b8qti0d062ek6f,,,,,,4,1
cmorihuy70003qth8lteegu87,Clemson University,clemson-university,Clemson,SC,,cmorihuzp0005qth8tz9l0qy6,,,,,,4,1
cmorihv0l0006qth8tj4axfti,College of Charleston,college-of-charleston,Charleston,SC,,cmorihv1b0008qth8h0fs6y1x,,,,,,4,1
cmou6ba2k00afqticpp034jhc,Creighton University,creighton-university,Omaha,NE,,cmou6ba3a00ahqtic1dy2e7bu,,,,,,4,1
cmou65q5g008fqt1ovrpzk161,Davidson College,davidson-college,Davidson,NC,,cmou65q68008hqt1on0mn17uq,,,,,,4,1
cmoriruy1000lqtm0hg80trqj,Duke University,duke-university,Durham,NC,,cmoriruyp000nqtm0g4gkgqwd,,,,,,5,1
cmoriruzd000oqtm0np271cox,East Carolina University,east-carolina-university,Greenville,NC,,cmorirv02000qqtm0792m94ry,,,,,,3,1
cmou6929i009lqt1gqrj949vt,Eastern Kentucky University,eastern-kentucky-university,Richmond,KY,,cmou692a7009nqt1gx1fvng63,,,,,,4,1
cmou72rdk00c3qtt8y45siwr2,Elon University,elon-university,Elon,NC,,cmou72rea00c5qtt8bv7rh2o3,,,,,,4,1
