collegeId,collegeName,collegeSlug,city,state,legacyDivision,programId,programDivision,collegeConference,programConference,collegeProgramWebsiteUrl,baseballWebsiteUrl,coachCount,headCoachCount
cmrxrdv7z000cqtx0unmjtce6,Binghamton University,binghamton-university,Vestal,NY,NCAA_D1,cmrxrdv7z000dqtx0u4plzkbu,NCAA_D1,,,https://binghamtonbearcats.com/sports/baseball,https://binghamtonbearcats.com/sports/baseball,0,0
cmrxrdvu2000uqtx0lcz2z076,Bryant University,bryant-university,Smithfield,RI,NCAA_D1,cmrxrdvu2000vqtx0llh19pjp,NCAA_D1,,,https://bryantbulldogs.com/sports/baseball,https://bryantbulldogs.com/sports/baseball,0,0
cmou6b9zt00a9qticvdpbknf5,Butler University,butler-university,Indianapolis,IN,,cmou6ba0j00abqtic3zfv6xc8,NCAA_D1,,Big East,,,0,0
cmrxrduvx0002qtx0p0ylsk1i,California Polytechnic State University,california-polytechnic-state-university,San Luis Obispo,CA,NCAA_D1,cmrxrduvx0003qtx0soqp80bp,NCAA_D1,,,https://gopoly.com/sports/baseball,https://gopoly.com/sports/baseball,0,0
cmrxrdw420012qtx020ehnbvb,"California State University, Bakersfield",california-state-university-bakersfield,Bakersfield,CA,NCAA_D1,cmrxrdw430013qtx0u2zt3hnb,NCAA_D1,,,https://gorunners.com/sports/baseball,https://gorunners.com/sports/baseball,0,0
cmrxrdv5k000aqtx0n7yvm4qz,"California State University, Fullerton",california-state-university-fullerton,Fullerton,CA,NCAA_D1,cmrxrdv5k000bqtx0jc47e0av,NCAA_D1,,,https://fullertontitans.com/sports/baseball,https://fullertontitans.com/sports/baseball,0,0
cmrxrdwbg0018qtx009x0s1gp,"California State University, Long Beach",california-state-university-long-beach,Long Beach,CA,NCAA_D1,cmrxrdwbg0019qtx065a7nbkc,NCAA_D1,,,https://longbeachstate.com/sports/baseball,https://longbeachstate.com/sports/baseball,0,0
cmrxrdvwg000wqtx0yuzrgxoa,"California State University, Northridge",california-state-university-northridge,Northridge,CA,NCAA_D1,cmrxrdvwg000xqtx06ncrelya,NCAA_D1,,,https://gomatadors.com/sports/baseball,https://gomatadors.com/sports/baseball,0,0
cmrxrdv0r0006qtx0pefhaecs,"California State University, Sacramento",california-state-university-sacramento,Sacramento,CA,NCAA_D1,cmrxrdv0r0007qtx0b7ij6uib,NCAA_D1,,,https://hornetsports.com/sports/baseball,https://hornetsports.com/sports/baseball,0,0
cmou7zw9900j0qt18f8v0lvet,Central Connecticut State University,central-connecticut-state-university,New Britain,CT,,cmou7zwa000j2qt18c7a5hwss,NCAA_D1,,Northeast Conference,,https://ccsubluedevils.com/sports/baseball,0,0
cmrxrdx7p001yqtx06df9k00j,Coppin State University,coppin-state-university,Baltimore,MD,NCAA_D1,cmrxrdx7p001zqtx0379bykwu,NCAA_D1,,,https://coppinstatesports.com/sports/baseball,https://coppinstatesports.com/sports/baseball,0,0
