matchType,normalizedValue,groupSize,collegeId,collegeName,collegeSlug,city,state,legacyDivision,programId,programDivision,conference,baseballWebsiteUrl,coachCount
NORMALIZED_NAME,and bryant stratton,2,cmox2351r0010qtfki4exm5ci,Bryant & Stratton,bryant-and-stratton,,OH,,cmox2352g0012qtfko8n0j30t,NJCAA_D2,Region 12,https://njcaastats.prestosports.com/sports/bsb/2024-25/div2/teams/bryantstrattonohio,0
NORMALIZED_NAME,and bryant stratton,2,cmox235370013qtfk8y2sxj30,Bryant & Stratton College,bryant-and-stratton-college,,WI,,cmox2353y0015qtfkp40fyk4x,NJCAA_D2,Region 4,https://njcaastats.prestosports.com/sports/bsb/2024-25/div2/teams/bryantstrattoncollegewi,0
NORMALIZED_NAME,columbia,2,cmowzrzm0001rqt4wm5n56kzt,Columbia,columbia,,MO,,cmowzrzmr001tqt4wj77la053,NAIA,American Midwest Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/columbiamo,0
NORMALIZED_NAME,columbia,2,cmou7ekoe00e6qtx8h6vtazjr,Columbia University,columbia-university,New York,NY,,cmou7ekp200e8qtx8qlpcfsh3,NCAA_D1,Ivy League,https://gocolumbialions.com/sports/baseball,3
NORMALIZED_NAME,christian community,2,cmox235tc002lqtfk1sxcqpye,Community Christian,community-christian,,MI,,cmox235u0002nqtfk31kt90cw,NJCAA_D2,Region 12,https://njcaastats.prestosports.com/sports/bsb/2024-25/div2/teams/communitychristianmich,0
NORMALIZED_NAME,christian community,2,cmox1gg33002iqtsgotxbo0qh,Community Christian College,community-christian-college,,CA,,cmox1gg3u002kqtsgrmqelux6,NJCAA_D1,Region 1,https://njcaastats.prestosports.com/sports/bsb/2024-25/div1/teams/communitychristiancollege,0
NORMALIZED_NAME,connecticut,2,cmovorog8005oqt7gzs9htl5g,Connecticut College,connecticut-college,,CT,,cmovorogx005qqt7gq72ku06v,NCAA_D3,New England Small College Athletic Conference,https://camelathletics.com/,0
NORMALIZED_NAME,connecticut,2,cmou6ba1700acqtict3598yzg,University of Connecticut,university-of-connecticut,Storrs,CT,,cmou6ba1v00aeqticcud1v7g6,NCAA_D1,,,4
NORMALIZED_NAME,cornell,2,cmovorohm005rqt7gax2yf7dk,Cornell College,cornell-college,,IA,,cmovoroib005tqt7gx5vdr5db,NCAA_D3,Midwest Conference,https://www.cornellrams.com,0
NORMALIZED_NAME,cornell,2,cmou7ekpr00e9qtx8i7bf3vt3,Cornell University,cornell-university,Ithaca,NY,,cmou7ekqf00ebqtx86ws3y8rp,NCAA_D1,Ivy League,https://cornellbigred.com/sports/baseball,3
NORMALIZED_NAME,central east,2,cmovlhtvl005lqt20ku4n4ff4,East Central,east-central,Ada,Oklahoma,,cmovlhtwb005nqt20z8yml3kf,NCAA_D2,GAC,,0
NORMALIZED_NAME,central east,2,cmox23683003fqtfkyhppeagg,East Central College,east-central-college,,MO,,cmox2368t003hqtfk7fi22h6j,NJCAA_D2,Region 16,https://njcaastats.prestosports.com/sports/bsb/2024-25/div2/teams/eastcentralcollege,0
NORMALIZED_NAME,ferrum,2,cmovlhuck006lqt203i6443rf,Ferrum,ferrum,Ferrum,Virginia,,cmovlhud9006nqt20wc98jm4z,NCAA_D2,Carolinas,,0
NORMALIZED_NAME,ferrum,2,cmovorpkb007xqt7gc5w8w0m0,Ferrum College,ferrum-college,,VA,,cmovorpl1007zqt7g8asm0vw0,NCAA_D3,Conference Carolinas,https://www.ferrumpanthers.com,0
NORMALIZED_NAME,georgetown,2,cmox065zl004lqtgckt3to19k,Georgetown,georgetown,,KY.,,cmox06608004nqtgcd8exng2f,NAIA,Mid-South Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/georgetown,0
NORMALIZED_NAME,georgetown,2,cmou6ba5c00alqticm9m1ucs0,Georgetown University,georgetown-university,Washington,DC,,cmou6ba6000anqticmefr3evw,NCAA_D1,,,3
NORMALIZED_NAME,georgia,2,cmovlhus6007iqt20velop8oi,Georgia College,georgia-college,Milledgeville,Georgia,,cmovlhusv007kqt200d73d6y1,NCAA_D2,Peach Belt,,0
NORMALIZED_NAME,georgia,2,cmorirv7r0016qtm0u7tt6h9b,University of Georgia,university-of-georgia,Athens,GA,,cmorirv8g0018qtm0yypjywu7,NCAA_D1,SEC,https://georgiadogs.com/sports/baseball,4
NORMALIZED_NAME,illinois,2,cmovorqz800arqt7g2eyh2tp1,Illinois College,illinois-college,,IL,,cmovorqzy00atqt7g9u84b2qf,NCAA_D3,Midwest Conference,https://www.illinoiscollegeathletics.com/,0
NORMALIZED_NAME,illinois,2,cmoss3uby002oqtao54kmml5m,University of Illinois,university-of-illinois,Champaign,IL,,cmoss3ucp002qqtaoodp62vry,NCAA_D1,,,4
NORMALIZED_NAME,jefferson,2,cmovlhvbq008oqt20tvfszb7x,Jefferson,jefferson,Philadelphia,Pennsylvania,,cmovlhvce008qqt20jevk0wqk,NCAA_D2,CACC,,0
NORMALIZED_NAME,jefferson,2,cmox1ghhz005iqtsg6n46ykur,Jefferson College,jefferson-college,,MO,,cmox1ghip005kqtsg1sl9mha2,NJCAA_D1,Region 16,https://njcaastats.prestosports.com/sports/bsb/2024-25/div1/teams/jeffersoncollege,0
NORMALIZED_NAME,miami,2,cmou7sknj00g9qtagx86tk6jp,Miami University,miami-university,Oxford,OH,,cmou7skoa00gbqtagdohm68a4,NCAA_D1,MAC,https://miamiredhawks.com/sports/baseball,2
NORMALIZED_NAME,miami,2,cmosowntd000lqtuoyvr4xd0q,University of Miami,university-of-miami,Coral Gables,FL,,cmosownu4000nqtuowsumxl0o,NCAA_D1,,,4
NORMALIZED_NAME,midland,2,cmox067kl0083qtgczg7bx4q5,Midland,midland,,NE,,cmox067l90085qtgcpz55jo7s,NAIA,Great Plains Athletic Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/midland,0
NORMALIZED_NAME,midland,2,cmox1gi8a0073qtsg01m46kpe,Midland College,midland-college,,TX,,cmox1gi900075qtsgsa2d4es5,NJCAA_D1,Region 5,https://njcaastats.prestosports.com/sports/bsb/2024-25/div1/teams/midlandcollege,0
NORMALIZED_NAME,mississippi,2,cmovlhwsb00blqt20p3qkehr1,Mississippi College,mississippi-college,Clinton,Mississippi,,cmovlhwt000bnqt20uye43k5b,NCAA_D2,Gulf South,,0
NORMALIZED_NAME,mississippi,2,cmosp9qk8001xqtygdf9x52ry,University of Mississippi,university-of-mississippi,Oxford,MS,,cmosp9qkw001zqtygt4z58ipw,NCAA_D1,SEC,https://olemisssports.com/sports/baseball,4
NORMALIZED_NAME,murray state,2,cmox238ux0090qtfk9uava4eq,Murray State College,murray-state-college,,OK,,cmox238vm0092qtfk68gmuws6,NJCAA_D2,Region 2,https://njcaastats.prestosports.com/sports/bsb/2024-25/div2/teams/murraystatecollege,0
NORMALIZED_NAME,murray state,2,cmou7wkih00hlqt5s33909h6i,Murray State University,murray-state-university,Murray,KY,,cmou7wkj800hnqt5sekexg9mi,NCAA_D1,Ohio Valley,https://goracers.com/sports/baseball,4
NORMALIZED_NAME,england new,2,cmovortrr00gcqt7g0o81s9hm,New England College,new-england-college,,NH,,cmovortsh00geqt7gtb61tp35,NCAA_D3,Great Northeast Athletic Conference,https://athletics.nec.edu/,0
NORMALIZED_NAME,england new,2,cmovorz0j00qiqt7gwfqzh5oi,University of New England,university-of-new-england,,ME,,cmovorz1800qkqt7gpk2bux2h,NCAA_D3,Conference of New England,https://athletics.une.edu,0
NORMALIZED_NAME,central north,2,cmovortz200grqt7gzege7bvq,North Central College,north-central-college,,IL,,cmovortzt00gtqt7gtmqsti0v,NCAA_D3,College Conference of Illinois & Wisconsin,https://northcentralcardinals.com,0
NORMALIZED_NAME,central north,2,cmovoru0m00guqt7g2kej3n66,North Central University,north-central-university,,MN,,cmovoru1d00gwqt7gf96yn7ik,NCAA_D3,Upper Midwest Athletic Conference,https://www.ncurams.com,0
NORMALIZED_NAME,northwestern,2,cmowzs1aw0053qt4wrwplawbf,Northwestern,northwestern,,IA,,cmowzs1bo0055qt4wob02fmwj,NAIA,Great Plains Athletic Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/northwestern,0
