collegeId,collegeName,collegeSlug,city,state,collegeDivision,programId,programDivision,conference,collegeProgramWebsiteUrl,baseballWebsiteUrl,coachCount,headCoachCount
cmou8cth500niqtloqxbbcs7q,Abilene Christian University,abilene-christian-university,Abilene,TX,,cmou8ctht00nkqtlo5igdod18,NCAA_D1,WAC,,https://acusports.com/sports/baseball,4,1
cmou7y6lb00i0qtoctz1o5gup,Air Force Academy,air-force-academy,Colorado Springs,CO,,cmou7y6m100i2qtocacagvlzg,NCAA_D1,Mountain West,,https://goairforcefalcons.com/sports/baseball,5,1
cmou8bk4r00miqtuwipz7ujxn,Alabama A&M University,alabama-am-university,Huntsville,AL,,cmou8bk5g00mkqtuwooxa4ld7,NCAA_D1,SWAC,,https://aamusports.com/sports/baseball,2,1
cmou8bk6700mlqtuw9jg9v0hr,Alabama State University,alabama-state-university,Montgomery,AL,,cmou8bk7000mnqtuws5zp12wv,NCAA_D1,SWAC,,https://bamastatesports.com/sports/baseball,4,1
cmou8bk7r00moqtuw877oh8ym,Alcorn State University,alcorn-state-university,Lorman,MS,,cmou8bk8g00mqqtuwslfooi6r,NCAA_D1,SWAC,,https://alcornsports.com/sports/baseball,3,1
cmorirv6d0013qtm0857czvw2,Appalachian State University,appalachian-state-university,Boone,NC,,cmorirv710015qtm0ovu568ty,NCAA_D1,Sun Belt,,https://appstatesports.com/sports/baseball,6,1
cmosumzx30049qtlgomg2y8hl,Arizona,arizona,Tucson,AZ,,cmosumzxq004bqtlgcux50apa,NCAA_D1,,,https://arizonawildcats.com/sports/baseball,6,1
cmosumzyf004cqtlgurkdv8j2,Arizona State University,arizona-state-university,Tempe,AZ,,cmosumzz4004eqtlggz9328ng,NCAA_D1,,,https://thesundevils.com/sports/baseball,9,1
cmou3bz6n005oqtvovcdaj57a,Arkansas State University,arkansas-state-university,Jonesboro,AR,,cmou3bz7n005qqtvo0uxy0otj,NCAA_D1,Sun Belt,,https://astateredwolves.com/sports/baseball,7,1
cmou853t900kfqtiwom7baojh,Army West Point,army-west-point,West Point,NY,,cmou853tx00khqtiwxhk7iuh6,NCAA_D1,Patriot League,,https://goarmywestpoint.com/sports/baseball,4,1
cmosp9qds001iqtyg1wl3lj4x,Auburn University,auburn-university,Auburn,AL,,cmosp9qeg001kqtyg0f97o2ln,NCAA_D1,SEC,,https://auburntigers.com/sports/baseball,7,1
cmou6925b009cqt1gkx1kghnj,Austin Peay State University,austin-peay-state-university,Clarksville,TN,,cmou6925z009eqt1gaqjdu3za,NCAA_D1,,,https://letsgopeay.com/sports/baseball,4,1
cmosun015004iqtlg3arpxgbi,BYU,byu,Provo,UT,,cmosun01s004kqtlg2b6mlqcd,NCAA_D1,,,https://byucougars.com/sports/baseball,6,1
cmou7skej00frqtagr0af6s2l,Ball State University,ball-state-university,Muncie,IN,,cmou7skfe00ftqtagnd5b58qi,NCAA_D1,MAC,,https://ballstatesports.com/sports/baseball,5,1
cmosumzzu004fqtlg454szeg8,Baylor University,baylor-university,Waco,TX,,cmosun00i004hqtlgy3534tz1,NCAA_D1,,,https://baylorbears.com/sports/baseball,6,1
cmou6926p009fqt1gv6h5xaxk,Bellarmine University,bellarmine-university,Louisville,KY,,cmou6927d009hqt1g6ojn2uy0,NCAA_D1,,,https://athletics.bellarmine.edu/sports/baseball,6,1
cmou7wkoo00hxqt5s9a60o3y4,Belmont University,belmont-university,Nashville,TN,,cmou7wkpe00hzqt5sc29zbzub,NCAA_D1,Missouri Valley,,https://belmontbruins.com/sports/baseball,8,1
cmou8bk9700mrqtuwxcss2rbf,Bethune-Cookman University,bethune-cookman-university,Daytona Beach,FL,,cmou8bkam00mtqtuw05l80dri,NCAA_D1,SWAC,,https://bcuathletics.com/sports/baseball,5,1
cmrxrdv7z000cqtx0unmjtce6,Binghamton University,binghamton-university,Vestal,NY,NCAA_D1,cmrxrdv7z000dqtx0u4plzkbu,NCAA_D1,,https://binghamtonbearcats.com/sports/baseball,https://binghamtonbearcats.com/sports/baseball,6,1
cmosownei0000qtuolkw0dovw,Boston College,boston-college,Chestnut Hill,MA,,cmosownis0002qtuoado2ywvj,NCAA_D1,,,https://bceagles.com/sports/baseball,6,1
cmou7skg500fuqtagtydmsfwo,Bowling Green State University,bowling-green-state-university,Bowling Green,OH,,cmou7skgu00fwqtagkdktv3y4,NCAA_D1,MAC,,https://bgsufalcons.com/sports/baseball,5,1
cmou7wk9s00h3qt5skvjnlqhv,Bradley University,bradley-university,Peoria,IL,,cmou7wkah00h5qt5sn6z34r0h,NCAA_D1,Missouri Valley,,https://bradleybraves.com/sports/baseball,5,1
cmou7ekn200e3qtx8xqee53qh,Brown University,brown-university,Providence,RI,,cmou7eknp00e5qtx84ipuuxjh,NCAA_D1,Ivy League,,https://brownbears.com/sports/baseball,5,1
cmrxrdvu2000uqtx0lcz2z076,Bryant University,bryant-university,Smithfield,RI,NCAA_D1,cmrxrdvu2000vqtx0llh19pjp,NCAA_D1,,https://bryantbulldogs.com/sports/baseball,https://bryantbulldogs.com/sports/baseball,4,1
cmou853uk00kiqtiwr4lsp4p6,Bucknell University,bucknell-university,Lewisburg,PA,,cmou853v900kkqtiwu3parh8r,NCAA_D1,Patriot League,,https://bucknellbison.com/sports/baseball,4,1
cmou6b9zt00a9qticvdpbknf5,Butler University,butler-university,Indianapolis,IN,,cmou6ba0j00abqtic3zfv6xc8,NCAA_D1,Big East,,https://butlersports.com/sports/baseball,5,1
cmou8ctii00nlqtlojaynels8,California Baptist University,california-baptist-university,Riverside,CA,,cmou8ctj700nnqtlon1veo5hd,NCAA_D1,WAC,,https://cbulancers.com/sports/baseball,5,1
