collegeId,collegeName,collegeSlug,city,state,legacyDivision,programId,programDivision,collegeConference,programConference,baseballWebsiteUrl
cmou8bk6700mlqtuw9jg9v0hr,Alabama State University,alabama-state-university,Montgomery,AL,,cmou8bk7000mnqtuws5zp12wv,NCAA_D1,,SWAC,https://bamastatesports.com/sports/baseball
cmou8bk7r00moqtuw877oh8ym,Alcorn State University,alcorn-state-university,Lorman,MS,,cmou8bk8g00mqqtuwslfooi6r,NCAA_D1,,SWAC,https://alcornsports.com/sports/baseball
cmou3bz6n005oqtvovcdaj57a,Arkansas State University,arkansas-state-university,Jonesboro,AR,,cmou3bz7n005qqtvo0uxy0otj,NCAA_D1,,Sun Belt,https://astateredwolves.com/sports/baseball
cmosp9qds001iqtyg1wl3lj4x,Auburn University,auburn-university,Auburn,AL,,cmosp9qeg001kqtyg0f97o2ln,NCAA_D1,,SEC,https://auburntigers.com/sports/baseball
cmou7skej00frqtagr0af6s2l,Ball State University,ball-state-university,Muncie,IN,,cmou7skfe00ftqtagnd5b58qi,NCAA_D1,,MAC,https://ballstatesports.com/sports/baseball
cmosumzzu004fqtlg454szeg8,Baylor University,baylor-university,Waco,TX,,cmosun00i004hqtlgy3534tz1,NCAA_D1,,Big 12,https://baylorbears.com/sports/baseball
cmou6926p009fqt1gv6h5xaxk,Bellarmine University,bellarmine-university,Louisville,KY,,cmou6927d009hqt1g6ojn2uy0,NCAA_D1,,ASUN,https://athletics.bellarmine.edu/sports/baseball
cmou7wkoo00hxqt5s9a60o3y4,Belmont University,belmont-university,Nashville,TN,,cmou7wkpe00hzqt5sc29zbzub,NCAA_D1,,Missouri Valley,https://belmontbruins.com/sports/baseball
cmou3xrc4006oqt5s6xbcss6r,Boise State University,boise-state-university,Boise,ID,,cmou3xrdd006qqt5sc7anpsi2,NCAA_D1,,Mountain West,
cmou7wk9s00h3qt5skvjnlqhv,Bradley University,bradley-university,Peoria,IL,,cmou7wkah00h5qt5sn6z34r0h,NCAA_D1,,Missouri Valley,https://bradleybraves.com/sports/baseball
cmou7ekn200e3qtx8xqee53qh,Brown University,brown-university,Providence,RI,,cmou7eknp00e5qtx84ipuuxjh,NCAA_D1,,Ivy League,https://brownbears.com/sports/baseball
cmou853uk00kiqtiwr4lsp4p6,Bucknell University,bucknell-university,Lewisburg,PA,,cmou853v900kkqtiwu3parh8r,NCAA_D1,,Patriot League,https://bucknellbison.com/sports/baseball
cmou6b9zt00a9qticvdpbknf5,Butler University,butler-university,Indianapolis,IN,,cmou6ba0j00abqtic3zfv6xc8,NCAA_D1,,Big East,
cmou7y6to00iiqtoccnzql78p,California State University Fresno,california-state-university-fresno,Fresno,CA,,cmou7y6ud00ikqtoccagchujp,NCAA_D1,,Mountain West,https://gobulldogs.com/sports/baseball
cmorirv530010qtm0xxcup0nz,Campbell University,campbell-university,Buies Creek,NC,,cmorirv5q0012qtm028k9yq81,NCAA_D1,,CAA,https://gocamels.com/sports/baseball
