rank,ncaaSchool,databaseSchool,matchMethod,collegeId,programId,collegeSlug,city,state,baseballWebsiteUrl,normalizedNcaa,normalizedDatabase
1,UCLA,UCLA,EXACT_NORMALIZED,cmossumq5003xqtpgz2376dpb,cmossumqt003zqtpgyjdtn02c,ucla,Los Angeles,CA,https://uclabruins.com/sports/baseball,ucla,ucla
2,Georgia Tech,Georgia Tech,EXACT_NORMALIZED,cmorirv940019qtm0y88vy537,cmorirv9s001bqtm0xz16xnel,georgia-tech,Atlanta,GA,https://ramblinwreck.com/sports/m-basebl/,georgia tech,georgia tech
3,Auburn,Auburn University,TOKEN_MATCH,cmosp9qds001iqtyg1wl3lj4x,cmosp9qeg001kqtyg0f97o2ln,auburn-university,Auburn,AL,https://auburntigers.com/sports/baseball,auburn,auburn university
4,North Carolina,University of North Carolina at Chapel Hill,ALIAS,cmorihv4u000fqth8xhav3tg9,cmorihv5i000hqth8642hp9ga,university-of-north-carolina-at-chapel-hill,Chapel Hill,NC,https://goheels.com/sports/baseball,north carolina,university of north carolina at chapel hill
5,Texas,University of Texas,ALIAS,cmosp9qth002fqtyg9zds0e99,cmosp9qu7002hqtygj0un0afw,university-of-texas,Austin,TX,https://texaslonghorns.com/sports/baseball,texas,university of texas
6,Alabama,University of Alabama,ALIAS,cmosp9qb0001cqtyg3bj9jezt,cmosp9qbp001eqtygsx3wqo39,university-of-alabama,Tuscaloosa,AL,https://rolltide.com/sports/baseball,alabama,university of alabama
7,Georgia,University of Georgia,ALIAS,cmorirv7r0016qtm0u7tt6h9b,cmorirv8g0018qtm0yypjywu7,university-of-georgia,Athens,GA,https://georgiadogs.com/sports/baseball,georgia,university of georgia
8,Florida St.,Florida State University,ALIAS,cmosownp0000cqtuo7ukk8301,cmosownpr000eqtuok3wn4xee,florida-state-university,Tallahassee,FL,https://seminoles.com/sports/baseball,florida state,florida state university
9,Southern California,University of Southern California,TOKEN_MATCH,cmossumrj0040qtpg5nfsfxij,cmossums80042qtpg69u7kaqh,university-of-southern-california,Los Angeles,CA,https://usctrojans.com/sports/baseball,southern california,university of southern california
10,Nebraska,University of Nebraska,TOKEN_MATCH,cmoss3ulp0039qtaosklsgdir,cmoss3ume003bqtaosl7ef19d,university-of-nebraska,Lincoln,NE,https://huskers.com/sports/baseball,nebraska,university of nebraska
11,Florida,University of Florida,ALIAS,cmosp9qf2001lqtyghnsfqgxe,cmosp9qfq001nqtygmt8vlvxj,university-of-florida,Gainesville,FL,https://floridagators.com/sports/baseball,florida,university of florida
12,Southern Miss.,University of Southern Mississippi,ALIAS,cmou3bzky006fqtvotlln2j4q,cmou3bzln006hqtvobpo9krgl,university-of-southern-mississippi,Hattiesburg,MS,https://southernmiss.com/sports/baseball,southern miss,university of southern mississippi
13,Mississippi St.,Mississippi State University,ALIAS,cmosp9qlj0020qtygmlse1hvz,cmosp9qm90022qtygo9hvl54a,mississippi-state-university,Starkville,MS,https://hailstate.com/sports/baseball,mississippi state,mississippi state university
14,Texas A&M,Texas A&M University,TOKEN_MATCH,cmosp9qux002iqtygai7kj7ix,cmosp9qvm002kqtygv15p8g51,texas-am-university,College Station,TX,https://12thman.com/sports/baseball,texas a and m,texas a and m university
15,Oregon,University of Oregon,ALIAS,cmossumsw0043qtpgqq3re2qg,cmossumtm0045qtpg75518v32,university-of-oregon,Eugene,OR,https://goducks.com/sports/baseball,oregon,university of oregon
16,Ole Miss,University of Mississippi,ALIAS,cmosp9qk8001xqtygdf9x52ry,cmosp9qkw001zqtygt4z58ipw,university-of-mississippi,Oxford,MS,https://olemisssports.com/sports/baseball,ole miss,university of mississippi
17,West Virginia,West Virginia University,TOKEN_MATCH,cmosun0e0005cqtlgaq1vqq45,cmosun0eo005eqtlg60tq9pxa,west-virginia-university,Morgantown,WV,https://wvusports.com/sports/baseball,west virginia,west virginia university
18,Oregon St.,Oregon State University,ALIAS,cmou3xril0070qt5slpmm4icd,cmou3xrj70072qt5s2jjtrt9o,oregon-state-university,Corvallis,OR,https://osubeavers.com/sports/baseball,oregon state,oregon state university
19,Kansas,University of Kansas,ALIAS,cmosun04x004rqtlgmuopyesz,cmosun05l004tqtlgtp5puhg6,university-of-kansas,Lawrence,KS,https://kuathletics.com/sports/baseball,kansas,university of kansas
20,Wake Forest,Wake Forest University,TOKEN_MATCH,cmorirv2b000uqtm0d0xcn8m3,cmorirv2z000wqtm0syj9sq1f,wake-forest-university,Winston-Salem,NC,https://godeacs.com/sports/baseball,wake forest,wake forest university
21,Arkansas,University of Arkansas,ALIAS,cmosp9qcd001fqtygqtxktpzw,cmosp9qd4001hqtyggghrj9on,university-of-arkansas,Fayetteville,AR,https://arkansasrazorbacks.com/sport/baseball,arkansas,university of arkansas
22,Cincinnati,University of Cincinnati,TOKEN_MATCH,cmosun02f004lqtlg6en5evwj,cmosun032004nqtlg3uum11pe,university-of-cincinnati,Cincinnati,OH,https://gobearcats.com/sports/baseball,cincinnati,university of cincinnati
23,Missouri St.,Missouri State University,ALIAS,cmou7wkgw00hiqt5sseedt2ma,cmou7wkhn00hkqt5sbhclevc1,missouri-state-university,Springfield,MO,https://missouristatebears.com/sports/baseball,missouri state,missouri state university
24,Oklahoma,University of Oklahoma,ALIAS,cmosp9qpg0026qtygji5bwcu3,cmosp9qq40028qtygnw3o8bf6,university-of-oklahoma,Norman,OK,https://soonersports.com/sports/baseball,oklahoma,university of oklahoma
