rank,ncaaSchool,normalizedNcaa,season,source
38,UC Santa Barbara,uc santa barbara,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
73,Cal Poly,cal poly,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
94,UC San Diego,uc san diego,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
99,Sacramento St.,sacramento state,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
110,SIUE,siue,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
117,Cal St. Fullerton,cal state fullerton,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
118,Binghamton,binghamton,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
120,UNCW,uncw,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
125,UC Irvine,uc irvine,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
131,Hawaii,hawaii,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
135,Hofstra,hofstra,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
141,Maine,maine,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
146,UC Davis,uc davis,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
155,Lipscomb,lipscomb,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
168,Oral Roberts,oral roberts,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
173,Lindenwood,lindenwood,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
185,Bryant,bryant,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
187,CSUN,csun,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
212,UMBC,umbc,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
215,Navy,navy,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
226,UMass Lowell,umass lowell,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
237,CSU Bakersfield,california state university bakersfield,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
239,South Dakota St.,south dakota state,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
241,Delaware,delaware,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
249,Long Beach St.,long beach state,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
252,Omaha,omaha,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
260,Iona,iona,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
271,La Salle,la salle,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
272,UC Riverside,uc riverside,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
277,UAlbany,ualbany,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
284,North Dakota St.,north dakota state,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
286,St. Bonaventure,state bonaventure,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
290,NJIT,njit,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
295,St. Thomas (MN),state thomas mn,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
296,Northern Colo.,northern colo,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
298,Mercyhurst,mercyhurst,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
301,New Haven,new haven,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
303,Coppin St.,coppin state,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
