rank,ncaaSchool,normalizedNcaa,status,candidateCount,primaryMatchReason,primaryScore,collegeId,collegeName,collegeSlug,city,state,legacyCollegeDivision,collegeConference,programId,programDivision,programConference,baseballWebsiteUrl,candidateSummary,season,source
38,UC Santa Barbara,uc santa barbara,COLLEGE_AND_PROGRAM_MISSING,0,,,,,,,,,,,,,,,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
73,Cal Poly,cal poly,COLLEGE_AND_PROGRAM_MISSING,1,,,,,,,,,,,,,,Cal Poly Pomona | TOKEN_MATCH | 90 | cmovlhs970029qt20yd3flr8f | cmovlhs9w002bqt20vk64er5m | NCAA_D2,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
94,UC San Diego,uc san diego,COLLEGE_AND_PROGRAM_MISSING,1,,,,,,,,,,,,,,University of San Diego | TOKEN_MATCH | 76.67 | cmou8eade00orqt6s9lh8sk91 | cmou8eae900otqt6skjewu9yf | NCAA_D1,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
99,Sacramento St.,sacramento state,COLLEGE_AND_PROGRAM_MISSING,0,,,,,,,,,,,,,,,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
110,SIUE,siue,COLLEGE_AND_PROGRAM_MISSING,0,,,,,,,,,,,,,,,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
117,Cal St. Fullerton,cal state fullerton,COLLEGE_AND_PROGRAM_MISSING,0,,,,,,,,,,,,,,,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
118,Binghamton,binghamton,COLLEGE_AND_PROGRAM_MISSING,0,,,,,,,,,,,,,,,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
125,UC Irvine,uc irvine,COLLEGE_AND_PROGRAM_MISSING,0,,,,,,,,,,,,,,,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
131,Hawaii,hawaii,COLLEGE_AND_PROGRAM_MISSING,0,,,,,,,,,,,,,,,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
135,Hofstra,hofstra,COLLEGE_AND_PROGRAM_MISSING,0,,,,,,,,,,,,,,,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
