programId,collegeId,collegeName,collegeSlug,city,state,conference,baseballWebsiteUrl,hasBaseballWebsite,coachCount
cmrxrdv7z000dqtx0u4plzkbu,cmrxrdv7z000cqtx0unmjtce6,Binghamton University,binghamton-university,Vestal,NY,,https://binghamtonbearcats.com/sports/baseball,true,0
cmrxrdvu2000vqtx0llh19pjp,cmrxrdvu2000uqtx0lcz2z076,Bryant University,bryant-university,Smithfield,RI,,https://bryantbulldogs.com/sports/baseball,true,0
cmrxrduvx0003qtx0soqp80bp,cmrxrduvx0002qtx0p0ylsk1i,California Polytechnic State University,california-polytechnic-state-university,San Luis Obispo,CA,,https://gopoly.com/sports/baseball,true,0
cmrxrdw430013qtx0u2zt3hnb,cmrxrdw420012qtx020ehnbvb,"California State University, Bakersfield",california-state-university-bakersfield,Bakersfield,CA,,https://gorunners.com/sports/baseball,true,0
cmrxrdv5k000bqtx0jc47e0av,cmrxrdv5k000aqtx0n7yvm4qz,"California State University, Fullerton",california-state-university-fullerton,Fullerton,CA,,https://fullertontitans.com/sports/baseball,true,0
cmrxrdwbg0019qtx065a7nbkc,cmrxrdwbg0018qtx009x0s1gp,"California State University, Long Beach",california-state-university-long-beach,Long Beach,CA,,https://longbeachstate.com/sports/baseball,true,0
cmrxrdvwg000xqtx06ncrelya,cmrxrdvwg000wqtx0yuzrgxoa,"California State University, Northridge",california-state-university-northridge,Northridge,CA,,https://gomatadors.com/sports/baseball,true,0
cmrxrdv0r0007qtx0b7ij6uib,cmrxrdv0r0006qtx0pefhaecs,"California State University, Sacramento",california-state-university-sacramento,Sacramento,CA,,https://hornetsports.com/sports/baseball,true,0
cmou7zwa000j2qt18c7a5hwss,cmou7zw9900j0qt18f8v0lvet,Central Connecticut State University,central-connecticut-state-university,New Britain,CT,Northeast Conference,https://ccsubluedevils.com/sports/baseball,true,0
cmrxrdx7p001zqtx0379bykwu,cmrxrdx7p001yqtx06df9k00j,Coppin State University,coppin-state-university,Baltimore,MD,,https://coppinstatesports.com/sports/baseball,true,0
cmou3xrph007hqt5sgsdjmkeg,cmou3xrou007fqt5sv5iwwby9,Dallas Baptist University,dallas-baptist-university,Dallas,TX,Conference USA,https://dbupatriots.com/sports/baseball,true,0
cmrxrdvfe000jqtx0aajwcz1y,cmrxrdvfe000iqtx0ig0l8op3,Hofstra University,hofstra-university,Hempstead,NY,,https://gohofstra.com/sports/baseball,true,0
cmrxrdwgj001dqtx07c74syg6,cmrxrdwgj001cqtx02229j520,Iona University,iona-university,New Rochelle,NY,,https://ionagaels.com/sports/baseball,true,0
cmou7zwek00jbqt1882s0u4lt,cmou7zwdt00j9qt182aa9w7js,LIU,liu,Brookville,NY,Northeast Conference,https://liusports.com/sports/baseball,true,0
cmrxrdwix001fqtx0yvg19whw,cmrxrdwix001eqtx00kpcsp7u,La Salle University,la-salle-university,Philadelphia,PA,,https://goexplorers.com/sports/baseball,true,0
cmou7zwd100j8qt186gxo44jm,cmou7zwca00j6qt18z0kal3jh,Le Moyne College,le-moyne-college,Syracuse,NY,Northeast Conference,https://lemoynedolphins.com/sports/baseball,true,0
cmrxrdvrp000tqtx04pi8umsn,cmrxrdvrp000sqtx0hjg388or,Lindenwood University,lindenwood-university,St. Charles,MO,,https://lindenwoodsl-sports.com/sports/baseball,true,0
cmrxrdvmr000pqtx039avvtsm,cmrxrdvmr000oqtx0l0cy9bc4,Lipscomb University,lipscomb-university,Nashville,TN,,https://lipscombsports.com/sports/baseball,true,0
cmrxrdx2r001vqtx0g26ttkv4,cmrxrdx2r001uqtx08t9pdpzs,Mercyhurst University,mercyhurst-university,Erie,PA,,https://hurstathletics.com/sports/baseball,true,0
cmosp9qm90022qtygo9hvl54a,cmosp9qlj0020qtygmlse1hvz,Mississippi State University,mississippi-state-university,Starkville,MS,SEC,https://hailstate.com/sports/baseball,true,0
cmrxrdwvd001pqtx0ya8nunsf,cmrxrdwvd001oqtx01us0hgnh,New Jersey Institute of Technology,new-jersey-institute-of-technology,Newark,NJ,,https://njithighlanders.com/sports/baseball,true,0
cmrxrdwqb001lqtx0a6eckvlu,cmrxrdwqb001kqtx0uc6w3nfo,North Dakota State University,north-dakota-state-university,Fargo,ND,,https://gobison.com/sports/baseball,true,0
cmrxrdvp7000rqtx0daczfc3a,cmrxrdvp7000qqtx02ny5g8sp,Oral Roberts University,oral-roberts-university,Tulsa,OK,,https://oruathletics.com/sports/baseball,true,0
cmrxrdw6m0015qtx0zyuxvglp,cmrxrdw6m0014qtx0nu4lr6th,South Dakota State University,south-dakota-state-university,Brookings,SD,,https://gojacks.com/sports/baseball,true,0
cmrxrdv340009qtx0x5dk7ink,cmrxrdv340008qtx0y4umykfi,Southern Illinois University Edwardsville,southern-illinois-university-edwardsville,Edwardsville,IL,,https://siuecougars.com/sports/baseball/,true,0
cmrxrdwsw001nqtx08hnau9es,cmrxrdwsw001mqtx01t1dechs,St. Bonaventure University,st-bonaventure-university,St. Bonaventure,NY,,https://gobonnies.com/sports/baseball,true,0
cmou825bk00kbqtfopplc3k9d,cmou825av00k9qtfo6o2sfjmf,Tennessee Technological University,tennessee-technological-university,Cookeville,TN,Ohio Valley,https://ttusports.com/sports/baseball,true,0
cmrxrdwnt001jqtx0jpkx0ldj,cmrxrdwnt001iqtx0cgzv8q00,"University at Albany, SUNY",university-at-albany-suny,Albany,NY,,https://ualbanysports.com/sports/baseball,true,0
cmosp9qd4001hqtyggghrj9on,cmosp9qcd001fqtygqtxktpzw,University of Arkansas,university-of-arkansas,Fayetteville,AR,SEC,https://arkansasrazorbacks.com/sport/baseball,true,0
cmrxrdvk9000nqtx0lx6defy3,cmrxrdvk9000mqtx0itzsdx5v,"University of California, Davis",university-of-california-davis,Davis,CA,,https://ucdavisaggies.com/sports/baseball,true,0
