slug,collegeName,division,currentBaseballWebsiteUrl,suggestedBaseballWebsiteUrl,reviewStatus
arizona-western-college,Arizona Western College,NJCAA_D1,https://njcaastats.prestosports.com/sports/bsb/2024-25/div1/teams/arizonawesterncollege,,NO_CANDIDATE_FOUND
central-arizona-college,Central Arizona College,NJCAA_D1,https://njcaastats.prestosports.com/sports/bsb/2024-25/div1/teams/centralarizonacollege,,NO_CANDIDATE_FOUND
cochise-college,Cochise College,NJCAA_D1,https://njcaastats.prestosports.com/sports/bsb/2024-25/div1/teams/cochisecollege,,NO_CANDIDATE_FOUND
college-of-southern-nevada,College of Southern Nevada,NJCAA_D1,https://njcaastats.prestosports.com/sports/bsb/2024-25/div1/teams/collegeofsouthernnevada,,NO_CANDIDATE_FOUND
community-christian-college,Community Christian College,NJCAA_D1,https://njcaastats.prestosports.com/sports/bsb/2024-25/div1/teams/communitychristiancollege,,NO_CANDIDATE_FOUND
eastern-arizona-college,Eastern Arizona College,NJCAA_D1,https://njcaastats.prestosports.com/sports/bsb/2024-25/div1/teams/easternarizonacollege,,NO_CANDIDATE_FOUND
yavapai-college,Yavapai College,NJCAA_D1,https://njcaastats.prestosports.com/sports/bsb/2024-25/div1/teams/yavapaicollege,,NO_CANDIDATE_FOUND
florence-darlington-technical-college,Florence-Darlington Technical College,NJCAA_D1,https://njcaastats.prestosports.com/sports/bsb/2024-25/div1/teams/florencedarlingtontechnicalcollege,,NO_CANDIDATE_FOUND
gaston-college,Gaston College,NJCAA_D1,https://njcaastats.prestosports.com/sports/bsb/2024-25/div1/teams/gastoncollege,,NO_CANDIDATE_FOUND
usc-lancaster,USC Lancaster,NJCAA_D1,https://njcaastats.prestosports.com/sports/bsb/2024-25/div1/teams/usclancaster,,NO_CANDIDATE_FOUND
usc-salkehatchie,USC Salkehatchie,NJCAA_D1,https://njcaastats.prestosports.com/sports/bsb/2024-25/div1/teams/uscsalkehatchie,,NO_CANDIDATE_FOUND
usc-sumter,USC Sumter,NJCAA_D1,https://njcaastats.prestosports.com/sports/bsb/2024-25/div1/teams/uscsumter,,NO_CANDIDATE_FOUND
usc-union,USC Union,NJCAA_D1,https://njcaastats.prestosports.com/sports/bsb/2024-25/div1/teams/uscunion,,NO_CANDIDATE_FOUND
indian-hills-community-college,Indian Hills Community College,NJCAA_D1,https://njcaastats.prestosports.com/sports/bsb/2024-25/div1/teams/indianhillscommunitycollege,,NO_CANDIDATE_FOUND
iowa-western-community-college,Iowa Western Community College,NJCAA_D1,https://njcaastats.prestosports.com/sports/bsb/2024-25/div1/teams/iowawesterncommunitycollege,,NO_CANDIDATE_FOUND
southwestern-community-college,Southwestern Community College,NJCAA_D1,https://njcaastats.prestosports.com/sports/bsb/2024-25/div1/teams/southwesterncommunitycollege,,NO_CANDIDATE_FOUND
alvin-community-college,Alvin Community College,NJCAA_D1,https://njcaastats.prestosports.com/sports/bsb/2024-25/div1/teams/alvincommunitycollege,,NO_CANDIDATE_FOUND
angelina-college,Angelina College,NJCAA_D1,https://njcaastats.prestosports.com/sports/bsb/2024-25/div1/teams/angelinacollege,,NO_CANDIDATE_FOUND
blinn-college,Blinn College,NJCAA_D1,https://njcaastats.prestosports.com/sports/bsb/2024-25/div1/teams/blinncollege,,NO_CANDIDATE_FOUND
bossier-parish-community-college,Bossier Parish Community College,NJCAA_D1,https://njcaastats.prestosports.com/sports/bsb/2024-25/div1/teams/bossierparishcommunitycollege,,NO_CANDIDATE_FOUND
coastal-bend-college,Coastal Bend College,NJCAA_D1,https://njcaastats.prestosports.com/sports/bsb/2024-25/div1/teams/coastalbendcollege,,NO_CANDIDATE_FOUND
galveston-college,Galveston College,NJCAA_D1,https://njcaastats.prestosports.com/sports/bsb/2024-25/div1/teams/galvestoncollege,,NO_CANDIDATE_FOUND
navarro-college,Navarro College,NJCAA_D1,https://njcaastats.prestosports.com/sports/bsb/2024-25/div1/teams/navarrocollege,,NO_CANDIDATE_FOUND
northeast-texas-community-college,Northeast Texas Community College,NJCAA_D1,https://njcaastats.prestosports.com/sports/bsb/2024-25/div1/teams/northeasttexascommunitycollege,,NO_CANDIDATE_FOUND
panola-college,Panola College,NJCAA_D1,https://njcaastats.prestosports.com/sports/bsb/2024-25/div1/teams/panolacollege,,NO_CANDIDATE_FOUND
