name,slug,city,state,zipCode,region,latitude,longitude,control,schoolType,websiteUrl,admissionsUrl,academicsUrl,majorsUrl,applicationUrl,financialAidUrl,tuitionInState,tuitionOutOfState,tuitionInternational,tuitionYear,enrollmentTotal,enrollmentUndergrad,acceptanceRate,graduationRate,dataSourceUrl,verificationStatus,baseballNickname,baseballWebsiteUrl,rosterUrl,scheduleUrl,campsUrl,questionnaireUrl,generalContactUrl,generalContactEmail,division,conference,logoUrl,programXUrl,programInstagramUrl,programYoutubeUrl,currentRosterSize,averageGpa,scholarshipNotes,scholarshipInfoUrl,transferHeavy,jucoFriendly,baseballDataSourceUrl,baseballVerificationStatus
Binghamton University,binghamton-university,Vestal,NY,13850-6000,NORTHEAST,42.087868,-75.966889,PUBLIC,FOUR_YEAR,https://www.binghamton.edu/,,,,,,,,,,,,,,,NEEDS_REVIEW,,,,,,,,,NCAA_D1,,,,,,,,,,false,false,,UNVERIFIED
Bryant University,bryant-university,Smithfield,RI,02917-1291,NORTHEAST,41.920092,-71.539547,PRIVATE,FOUR_YEAR,https://www.bryant.edu/,,,,,,,,,,,,,,,NEEDS_REVIEW,,,,,,,,,NCAA_D1,,,,,,,,,,false,false,,UNVERIFIED
California Polytechnic State University,california-polytechnic-state-university,San Luis Obispo,CA,93407,PACIFIC,35.299513,-120.657311,PUBLIC,FOUR_YEAR,https://calpoly.edu/,,,,,,,,,,,,,,,NEEDS_REVIEW,,,,,,,,,NCAA_D1,,,,,,,,,,false,false,,UNVERIFIED
"California State University, Bakersfield",california-state-university-bakersfield,Bakersfield,CA,93311-1099,PACIFIC,35.350005,-119.104711,PUBLIC,FOUR_YEAR,https://www.csub.edu/,,,,,,,,,,,,,,,NEEDS_REVIEW,,,,,,,,,NCAA_D1,,,,,,,,,,false,false,,UNVERIFIED
"California State University, Fullerton",california-state-university-fullerton,Fullerton,CA,92832-3599,PACIFIC,33.881506,-117.885446,PUBLIC,FOUR_YEAR,https://www.fullerton.edu/,,,,,,,,,,,,,,,NEEDS_REVIEW,,,,,,,,,NCAA_D1,,,,,,,,,,false,false,,UNVERIFIED
"California State University, Long Beach",california-state-university-long-beach,Long Beach,CA,90840-0115,PACIFIC,33.782818,-118.11204,PUBLIC,FOUR_YEAR,https://www.csulb.edu/,,,,,,,,,,,,,,,NEEDS_REVIEW,,,,,,,,,NCAA_D1,,,,,,,,,,false,false,,UNVERIFIED
"California State University, Northridge",california-state-university-northridge,Northridge,CA,91330,PACIFIC,34.240126,-118.529319,PUBLIC,FOUR_YEAR,https://www.csun.edu/,,,,,,,,,,,,,,,NEEDS_REVIEW,,,,,,,,,NCAA_D1,,,,,,,,,,false,false,,UNVERIFIED
"California State University, Sacramento",california-state-university-sacramento,Sacramento,CA,95819-2694,PACIFIC,38.559415,-121.423549,PUBLIC,FOUR_YEAR,https://www.csus.edu/,,,,,,,,,,,,,,,NEEDS_REVIEW,,,,,,,,,NCAA_D1,,,,,,,,,,false,false,,UNVERIFIED
Coppin State University,coppin-state-university,Baltimore,MD,21216-3698,MID_ATLANTIC,39.311258,-76.658687,PUBLIC,FOUR_YEAR,https://www.coppin.edu/,,,,,,,,,,,,,,,NEEDS_REVIEW,,,,,,,,,NCAA_D1,,,,,,,,,,false,false,,UNVERIFIED
Hofstra University,hofstra-university,Hempstead,NY,11549,NORTHEAST,40.715959,-73.60078,PRIVATE,FOUR_YEAR,https://www.hofstra.edu/,,,,,,,,,,,,,,,NEEDS_REVIEW,,,,,,,,,NCAA_D1,,,,,,,,,,false,false,,UNVERIFIED
Iona University,iona-university,New Rochelle,NY,10801-1890,NORTHEAST,40.925725,-73.788046,PRIVATE,FOUR_YEAR,https://www.iona.edu/,,,,,,,,,,,,,,,NEEDS_REVIEW,,,,,,,,,NCAA_D1,,,,,,,,,,false,false,,UNVERIFIED
La Salle University,la-salle-university,Philadelphia,PA,19141-1199,MID_ATLANTIC,40.037979,-75.153061,PRIVATE,FOUR_YEAR,https://www.lasalle.edu/,,,,,,,,,,,,,,,NEEDS_REVIEW,,,,,,,,,NCAA_D1,,,,,,,,,,false,false,,UNVERIFIED
