field,missingCount
college.academicsUrl,36
college.admissionsUrl,36
college.applicationUrl,36
college.conference,36
college.financialAidUrl,36
college.logoUrl,36
college.majorsUrl,36
college.programInstagramUrl,36
college.programWebsiteUrl,36
college.programXUrl,36
college.recruitingQuestionnaireUrl,36
program.baseballWebsiteUrl,36
program.campsUrl,36
program.conference,36
program.dataSourceUrl,36
program.generalContactEmail,36
program.generalContactUrl,36
program.lastVerifiedAt,36
program.logoUrl,36
program.nickname,36
program.programInstagramUrl,36
program.programXUrl,36
program.programYoutubeUrl,36
program.questionnaireUrl,36
program.rosterUrl,36
program.scheduleUrl,36
