collegeId,programId,name,slug,city,state,missingCollegeFields,missingProgramFields,missingFieldCount
cmrxrdwxt001qqtx0a2ko0tgd,cmrxrdwxt001rqtx0d6a23mph,University of St. Thomas,university-of-st-thomas-minnesota,St. Paul,MN,college.admissionsUrl | college.academicsUrl | college.majorsUrl | college.applicationUrl | college.financialAidUrl | college.conference | college.logoUrl | college.programInstagramUrl | college.programXUrl,program.nickname | program.generalContactEmail | program.programXUrl | program.programInstagramUrl | program.programYoutubeUrl | program.conference | program.lastVerifiedAt,16
cmrxrdx0d001sqtx0fsejcz96,cmrxrdx0d001tqtx0klndcy97,University of Northern Colorado,university-of-northern-colorado,Greeley,CO,college.admissionsUrl | college.academicsUrl | college.majorsUrl | college.applicationUrl | college.financialAidUrl | college.conference | college.logoUrl | college.programInstagramUrl | college.programXUrl,program.nickname | program.generalContactEmail | program.programXUrl | program.programInstagramUrl | program.conference | program.lastVerifiedAt,15
cmrxrdw900016qtx0r0fuipbh,cmrxrdw900017qtx0ewpnxj0f,University of Delaware,university-of-delaware,Newark,DE,college.admissionsUrl | college.academicsUrl | college.majorsUrl | college.applicationUrl | college.financialAidUrl | college.conference | college.logoUrl | college.programInstagramUrl,program.nickname | program.generalContactEmail | program.programInstagramUrl | program.programYoutubeUrl | program.conference | program.lastVerifiedAt,14
cmrxrdwbg0018qtx009x0s1gp,cmrxrdwbg0019qtx065a7nbkc,"California State University, Long Beach",california-state-university-long-beach,Long Beach,CA,college.admissionsUrl | college.academicsUrl | college.majorsUrl | college.applicationUrl | college.financialAidUrl | college.conference | college.logoUrl | college.programXUrl,program.nickname | program.generalContactEmail | program.programXUrl | program.conference | program.lastVerifiedAt,13
cmrxrdvrp000sqtx0hjg388or,cmrxrdvrp000tqtx04pi8umsn,Lindenwood University,lindenwood-university,St. Charles,MO,college.admissionsUrl | college.academicsUrl | college.majorsUrl | college.applicationUrl | college.financialAidUrl | college.conference | college.logoUrl | college.programInstagramUrl,program.nickname | program.generalContactEmail | program.programInstagramUrl | program.conference | program.lastVerifiedAt,13
cmrxrdv5k000aqtx0n7yvm4qz,cmrxrdv5k000bqtx0jc47e0av,"California State University, Fullerton",california-state-university-fullerton,Fullerton,CA,college.admissionsUrl | college.academicsUrl | college.majorsUrl | college.applicationUrl | college.financialAidUrl | college.conference | college.logoUrl,program.nickname | program.generalContactEmail | program.programYoutubeUrl | program.conference | program.lastVerifiedAt,12
cmrxrdv0r0006qtx0pefhaecs,cmrxrdv0r0007qtx0b7ij6uib,"California State University, Sacramento",california-state-university-sacramento,Sacramento,CA,college.admissionsUrl | college.academicsUrl | college.majorsUrl | college.applicationUrl | college.financialAidUrl | college.conference | college.logoUrl,program.nickname | program.generalContactEmail | program.programYoutubeUrl | program.conference | program.lastVerifiedAt,12
cmrxrdx7p001yqtx06df9k00j,cmrxrdx7p001zqtx0379bykwu,Coppin State University,coppin-state-university,Baltimore,MD,college.admissionsUrl | college.academicsUrl | college.majorsUrl | college.applicationUrl | college.financialAidUrl | college.conference | college.logoUrl,program.nickname | program.generalContactEmail | program.programYoutubeUrl | program.conference | program.lastVerifiedAt,12
cmrxrdvfe000iqtx0ig0l8op3,cmrxrdvfe000jqtx0aajwcz1y,Hofstra University,hofstra-university,Hempstead,NY,college.admissionsUrl | college.academicsUrl | college.majorsUrl | college.applicationUrl | college.financialAidUrl | college.conference | college.logoUrl,program.nickname | program.generalContactEmail | program.programYoutubeUrl | program.conference | program.lastVerifiedAt,12
cmrxrdwgj001cqtx02229j520,cmrxrdwgj001dqtx07c74syg6,Iona University,iona-university,New Rochelle,NY,college.admissionsUrl | college.academicsUrl | college.majorsUrl | college.applicationUrl | college.financialAidUrl | college.conference | college.logoUrl,program.nickname | program.generalContactEmail | program.programYoutubeUrl | program.conference | program.lastVerifiedAt,12
cmrxrdwix001eqtx00kpcsp7u,cmrxrdwix001fqtx0yvg19whw,La Salle University,la-salle-university,Philadelphia,PA,college.admissionsUrl | college.academicsUrl | college.majorsUrl | college.applicationUrl | college.financialAidUrl | college.conference | college.logoUrl,program.nickname | program.generalContactEmail | program.programYoutubeUrl | program.conference | program.lastVerifiedAt,12
