name,slug,city,state,region,control,schoolType,websiteUrl,admissionsUrl,academicsUrl,majorsUrl,applicationUrl,financialAidUrl,tuitionInState,tuitionOutOfState,tuitionInternational,tuitionYear,enrollmentTotal,enrollmentUndergrad,acceptanceRate,graduationRate,dataSourceUrl,verificationStatus,baseballNickname,baseballWebsiteUrl,rosterUrl,scheduleUrl,campsUrl,questionnaireUrl,generalContactUrl,generalContactEmail,division,conference,logoUrl,currentRosterSize,averageGpa,scholarshipNotes,scholarshipInfoUrl,transferHeavy,jucoFriendly,baseballDataSourceUrl,baseballVerificationStatus
Abraham Baldwin (Ga.),abraham-baldwin-ga,,,,,FOUR_YEAR,,,,,,,,,,2026,,,,,https://collegescorecard.ed.gov/,NEEDS_REVIEW,,,/roster,/schedule,,,,,NAIA,Southern States Athletic Conference,,,,NAIA programs may offer athletic scholarships and other aid opportunities.,https://www.naia.org/,false,true,https://naiastats.prestosports.com/sports/bsb/2024-25/teams,NEEDS_REVIEW
Aquinas (Mich.),aquinas-mich,,,,,FOUR_YEAR,,,,,,,,,,2026,,,,,https://collegescorecard.ed.gov/,NEEDS_REVIEW,,,/roster,/schedule,,,,,NAIA,Wolverine-Hoosier Athletic Conference,,,,NAIA programs may offer athletic scholarships and other aid opportunities.,https://www.naia.org/,false,true,https://naiastats.prestosports.com/sports/bsb/2024-25/teams,NEEDS_REVIEW
Arizona Christian,arizona-christian,,,,,FOUR_YEAR,,,,,,,35098,35098,35098,2026,1165,1165,0.7062,0.3987,https://collegescorecard.ed.gov/,NEEDS_REVIEW,,,/roster,/schedule,,,,,NAIA,Great Southwest Athletic Conference,,,,NAIA programs may offer athletic scholarships and other aid opportunities.,https://www.naia.org/,false,true,https://naiastats.prestosports.com/sports/bsb/2024-25/teams,NEEDS_REVIEW
Arkansas Baptist,arkansas-baptist,,,,,FOUR_YEAR,,,,,,,8760,8760,8760,2026,342,342,,0.0739,https://collegescorecard.ed.gov/,NEEDS_REVIEW,,,/roster,/schedule,,,,,NAIA,Continental Athletic Conference,,,,NAIA programs may offer athletic scholarships and other aid opportunities.,https://www.naia.org/,false,true,https://naiastats.prestosports.com/sports/bsb/2024-25/teams,NEEDS_REVIEW
Ave Maria,ave-maria,,,,,FOUR_YEAR,,,,,,,30198,30198,30198,2026,1298,1298,0.4139,0.5394,https://collegescorecard.ed.gov/,NEEDS_REVIEW,,,/roster,/schedule,,,,,NAIA,The Sun Conference,,,,NAIA programs may offer athletic scholarships and other aid opportunities.,https://www.naia.org/,false,true,https://naiastats.prestosports.com/sports/bsb/2024-25/teams,NEEDS_REVIEW
Avila (MO),avila-mo,,,,,FOUR_YEAR,,,,,,,42000,42000,42000,2026,1312,1312,0.878,0.5238,https://collegescorecard.ed.gov/,NEEDS_REVIEW,,,/roster,/schedule,,,,,NAIA,Kansas Collegiate Athletic Conference,,,,NAIA programs may offer athletic scholarships and other aid opportunities.,https://www.naia.org/,false,true,https://naiastats.prestosports.com/sports/bsb/2024-25/teams,NEEDS_REVIEW
Bellevue (NE),bellevue-ne,,,,,FOUR_YEAR,,,,,,,9903,9903,9903,2026,10220,10220,,0.3295,https://collegescorecard.ed.gov/,NEEDS_REVIEW,,,/roster,/schedule,,,,,NAIA,North Star Athletic Association,,,,NAIA programs may offer athletic scholarships and other aid opportunities.,https://www.naia.org/,false,true,https://naiastats.prestosports.com/sports/bsb/2024-25/teams,NEEDS_REVIEW
Benedictine Mesa,benedictine-mesa,,,,,FOUR_YEAR,,,,,,,,,,2026,,,,,https://collegescorecard.ed.gov/,NEEDS_REVIEW,,,/roster,/schedule,,,,,NAIA,Great Southwest Athletic Conference,,,,NAIA programs may offer athletic scholarships and other aid opportunities.,https://www.naia.org/,false,true,https://naiastats.prestosports.com/sports/bsb/2024-25/teams,NEEDS_REVIEW
Bethany (KS),bethany-ks,,,,,FOUR_YEAR,,,,,,,33000,33000,33000,2026,569,569,0.56,0.3574,https://collegescorecard.ed.gov/,NEEDS_REVIEW,,,/roster,/schedule,,,,,NAIA,Kansas Collegiate Athletic Conference,,,,NAIA programs may offer athletic scholarships and other aid opportunities.,https://www.naia.org/,false,true,https://naiastats.prestosports.com/sports/bsb/2024-25/teams,NEEDS_REVIEW
Bethel (IN),bethel-in,,,,,FOUR_YEAR,,,,,,,18712,18712,18712,2026,1547,1547,0.6023,0.3505,https://collegescorecard.ed.gov/,NEEDS_REVIEW,,,/roster,/schedule,,,,,NAIA,Crossroads League,,,,NAIA programs may offer athletic scholarships and other aid opportunities.,https://www.naia.org/,false,true,https://naiastats.prestosports.com/sports/bsb/2024-25/teams,NEEDS_REVIEW
Bethel (TN),bethel-tn,,,,,FOUR_YEAR,,,,,,,18712,18712,18712,2026,1547,1547,0.6023,0.3505,https://collegescorecard.ed.gov/,NEEDS_REVIEW,,,/roster,/schedule,,,,,NAIA,Mid-South Conference,,,,NAIA programs may offer athletic scholarships and other aid opportunities.,https://www.naia.org/,false,true,https://naiastats.prestosports.com/sports/bsb/2024-25/teams,NEEDS_REVIEW
Blue Mountain Christian (MS),blue-mountain-christian-ms,,,,,FOUR_YEAR,,,,,,,20180,20180,20180,2026,498,498,0.8895,0.5476,https://collegescorecard.ed.gov/,NEEDS_REVIEW,,,/roster,/schedule,,,,,NAIA,Southern States Athletic Conference,,,,NAIA programs may offer athletic scholarships and other aid opportunities.,https://www.naia.org/,false,true,https://naiastats.prestosports.com/sports/bsb/2024-25/teams,NEEDS_REVIEW
Bluefield (VA),bluefield-va,,,,,FOUR_YEAR,,,,,,,26770,26770,26770,2026,614,614,0.5931,0.1778,https://collegescorecard.ed.gov/,NEEDS_REVIEW,,,/roster,/schedule,,,,,NAIA,Appalachian Athletic Conference,,,,NAIA programs may offer athletic scholarships and other aid opportunities.,https://www.naia.org/,false,true,https://naiastats.prestosports.com/sports/bsb/2024-25/teams,NEEDS_REVIEW
Brescia (KY),brescia-ky,,,,,FOUR_YEAR,,,,,,,31550,31550,31550,2026,545,545,0.3524,0.5371,https://collegescorecard.ed.gov/,NEEDS_REVIEW,,,/roster,/schedule,,,,,NAIA,River States Conference,,,,NAIA programs may offer athletic scholarships and other aid opportunities.,https://www.naia.org/,false,true,https://naiastats.prestosports.com/sports/bsb/2024-25/teams,NEEDS_REVIEW
Brewton-Parker (GA),brewton-parker-ga,,,,,FOUR_YEAR,,,,,,,20120,20120,20120,2026,774,774,0.9649,0.2103,https://collegescorecard.ed.gov/,NEEDS_REVIEW,,,/roster,/schedule,,,,,NAIA,Southern States Athletic Conference,,,,NAIA programs may offer athletic scholarships and other aid opportunities.,https://www.naia.org/,false,true,https://naiastats.prestosports.com/sports/bsb/2024-25/teams,NEEDS_REVIEW
Briar Cliff (IA),briar-cliff-ia,,,,,FOUR_YEAR,,,,,,,36956,36956,36956,2026,624,624,,0.4751,https://collegescorecard.ed.gov/,NEEDS_REVIEW,,,/roster,/schedule,,,,,NAIA,Great Plains Athletic Conference,,,,NAIA programs may offer athletic scholarships and other aid opportunities.,https://www.naia.org/,false,true,https://naiastats.prestosports.com/sports/bsb/2024-25/teams,NEEDS_REVIEW
British Columbia,british-columbia,,,,,FOUR_YEAR,,,,,,,,,,2026,,,,,https://collegescorecard.ed.gov/,NEEDS_REVIEW,,,/roster,/schedule,,,,,NAIA,Cascade Collegiate Conference,,,,NAIA programs may offer athletic scholarships and other aid opportunities.,https://www.naia.org/,false,true,https://naiastats.prestosports.com/sports/bsb/2024-25/teams,NEEDS_REVIEW
Bryan (TN),bryan-tn,,,,,FOUR_YEAR,,,,,,,15868,15868,15868,2026,144,144,,0.8958,https://collegescorecard.ed.gov/,NEEDS_REVIEW,,,/roster,/schedule,,,,,NAIA,Appalachian Athletic Conference,,,,NAIA programs may offer athletic scholarships and other aid opportunities.,https://www.naia.org/,false,true,https://naiastats.prestosports.com/sports/bsb/2024-25/teams,NEEDS_REVIEW
Bushnell (OR),bushnell-or,,,,,FOUR_YEAR,,,,,,,35800,35800,35800,2026,517,517,0.6728,0.56,https://collegescorecard.ed.gov/,NEEDS_REVIEW,,,/roster,/schedule,,,,,NAIA,Cascade Collegiate Conference,,,,NAIA programs may offer athletic scholarships and other aid opportunities.,https://www.naia.org/,false,true,https://naiastats.prestosports.com/sports/bsb/2024-25/teams,NEEDS_REVIEW
Calumet (IN),calumet-in,,,,,FOUR_YEAR,,,,,,,,,,2026,,,,,https://collegescorecard.ed.gov/,NEEDS_REVIEW,,,/roster,/schedule,,,,,NAIA,Chicagoland Collegiate Athletic Conference,,,,NAIA programs may offer athletic scholarships and other aid opportunities.,https://www.naia.org/,false,true,https://naiastats.prestosports.com/sports/bsb/2024-25/teams,NEEDS_REVIEW
Campbellsville (KY),campbellsville-ky,,,,,FOUR_YEAR,,,,,,,27998,27998,27998,2026,2840,2840,0.7974,0.4201,https://collegescorecard.ed.gov/,NEEDS_REVIEW,,,/roster,/schedule,,,,,NAIA,Mid-South Conference,,,,NAIA programs may offer athletic scholarships and other aid opportunities.,https://www.naia.org/,false,true,https://naiastats.prestosports.com/sports/bsb/2024-25/teams,NEEDS_REVIEW
Carolina (N.C.),carolina-n-c,,,,,FOUR_YEAR,,,,,,,17575,17575,17575,2026,460,460,0.3954,0.2155,https://collegescorecard.ed.gov/,NEEDS_REVIEW,,,/roster,/schedule,,,,,NAIA,Continental Athletic Conference,,,,NAIA programs may offer athletic scholarships and other aid opportunities.,https://www.naia.org/,false,true,https://naiastats.prestosports.com/sports/bsb/2024-25/teams,NEEDS_REVIEW
Central Baptist (Ark.),central-baptist-ark,,,,,FOUR_YEAR,,,,,,,,,,2026,,,,,https://collegescorecard.ed.gov/,NEEDS_REVIEW,,,/roster,/schedule,,,,,NAIA,American Midwest Conference,,,,NAIA programs may offer athletic scholarships and other aid opportunities.,https://www.naia.org/,false,true,https://naiastats.prestosports.com/sports/bsb/2024-25/teams,NEEDS_REVIEW
Central Christian (KS),central-christian-ks,,,,,FOUR_YEAR,,,,,,,,,,2026,,,,,https://collegescorecard.ed.gov/,NEEDS_REVIEW,,,/roster,/schedule,,,,,NAIA,Sooner Athletic Conference,,,,NAIA programs may offer athletic scholarships and other aid opportunities.,https://www.naia.org/,false,true,https://naiastats.prestosports.com/sports/bsb/2024-25/teams,NEEDS_REVIEW
CIU (SC),ciu-sc,,,,,FOUR_YEAR,,,,,,,,,,2026,,,,,https://collegescorecard.ed.gov/,NEEDS_REVIEW,,,/roster,/schedule,,,,,NAIA,Appalachian Athletic Conference,,,,NAIA programs may offer athletic scholarships and other aid opportunities.,https://www.naia.org/,false,true,https://naiastats.prestosports.com/sports/bsb/2024-25/teams,NEEDS_REVIEW
Cleary (MI),cleary-mi,,,,,FOUR_YEAR,,,,,,,26102,26102,26102,2026,738,738,0.6754,0.4146,https://collegescorecard.ed.gov/,NEEDS_REVIEW,,,/roster,/schedule,,,,,NAIA,Wolverine-Hoosier Athletic Conference,,,,NAIA programs may offer athletic scholarships and other aid opportunities.,https://www.naia.org/,false,true,https://naiastats.prestosports.com/sports/bsb/2024-25/teams,NEEDS_REVIEW
College of Idaho,college-of-idaho,,,,,FOUR_YEAR,,,,,,,37845,37845,37845,2026,1041,1041,0.491,0.6254,https://collegescorecard.ed.gov/,NEEDS_REVIEW,,,/roster,/schedule,,,,,NAIA,Cascade Collegiate Conference,,,,NAIA programs may offer athletic scholarships and other aid opportunities.,https://www.naia.org/,false,true,https://naiastats.prestosports.com/sports/bsb/2024-25/teams,NEEDS_REVIEW
College of the Ozarks,college-of-the-ozarks,,,,,FOUR_YEAR,,,,,,,22320,22320,22320,2026,1444,1444,0.1199,0.6369,https://collegescorecard.ed.gov/,NEEDS_REVIEW,,,/roster,/schedule,,,,,NAIA,Sooner Athletic Conference,,,,NAIA programs may offer athletic scholarships and other aid opportunities.,https://www.naia.org/,false,true,https://naiastats.prestosports.com/sports/bsb/2024-25/teams,NEEDS_REVIEW
Columbia (MO),columbia-mo,,,,,FOUR_YEAR,,,,,,,22214,22214,22214,2026,1343,1343,0.9393,0.3688,https://collegescorecard.ed.gov/,NEEDS_REVIEW,,,/roster,/schedule,,,,,NAIA,American Midwest Conference,,,,NAIA programs may offer athletic scholarships and other aid opportunities.,https://www.naia.org/,false,true,https://naiastats.prestosports.com/sports/bsb/2024-25/teams,NEEDS_REVIEW
Concordia (MI),concordia-mi,,,,,FOUR_YEAR,,,,,,,,,,2026,,,,,https://collegescorecard.ed.gov/,NEEDS_REVIEW,,,/roster,/schedule,,,,,NAIA,Wolverine-Hoosier Athletic Conference,,,,NAIA programs may offer athletic scholarships and other aid opportunities.,https://www.naia.org/,false,true,https://naiastats.prestosports.com/sports/bsb/2024-25/teams,NEEDS_REVIEW
Concordia (Neb.),concordia-neb,,,,,FOUR_YEAR,,,,,,,40640,40640,40640,2026,1283,1283,0.8572,0.6489,https://collegescorecard.ed.gov/,NEEDS_REVIEW,,,/roster,/schedule,,,,,NAIA,Great Plains Athletic Conference,,,,NAIA programs may offer athletic scholarships and other aid opportunities.,https://www.naia.org/,false,true,https://naiastats.prestosports.com/sports/bsb/2024-25/teams,NEEDS_REVIEW
Corban,corban,,,,,FOUR_YEAR,,,,,,,40280,40280,40280,2026,678,678,0.939,0.6059,https://collegescorecard.ed.gov/,NEEDS_REVIEW,,,/roster,/schedule,,,,,NAIA,Cascade Collegiate Conference,,,,NAIA programs may offer athletic scholarships and other aid opportunities.,https://www.naia.org/,false,true,https://naiastats.prestosports.com/sports/bsb/2024-25/teams,NEEDS_REVIEW
