name,slug,city,state,region,control,schoolType,websiteUrl,admissionsUrl,academicsUrl,majorsUrl,applicationUrl,financialAidUrl,tuitionInState,tuitionOutOfState,tuitionInternational,tuitionYear,enrollmentTotal,enrollmentUndergrad,acceptanceRate,graduationRate,dataSourceUrl,verificationStatus,baseballNickname,baseballWebsiteUrl,rosterUrl,scheduleUrl,campsUrl,questionnaireUrl,generalContactUrl,generalContactEmail,division,conference,logoUrl,currentRosterSize,averageGpa,scholarshipNotes,scholarshipInfoUrl,transferHeavy,jucoFriendly,baseballDataSourceUrl,baseballVerificationStatus
Adrian College,adrian-college,,MI,,PRIVATE,FOUR_YEAR,https://www.adrian.edu,,,,,,41684,41684,41684,2026,1604,1604,0.7253,0.4842,https://collegescorecard.ed.gov/,NEEDS_REVIEW,,https://www.adrianbulldogs.com,,,,,,,NCAA_D3,Michigan Intercollegiate Athletic Association,,,,"NCAA Division III programs do not award athletic scholarships, but student-athletes may receive academic, need-based, and other non-athletic aid.",https://www.ncaa.org/sports/2014/10/6/division-iii.aspx,false,false,https://web3.ncaa.org/directory/memberList?type=12&division=3,NEEDS_REVIEW
Albertus Magnus College,albertus-magnus-college,,CT,,PRIVATE,FOUR_YEAR,https://www.albertus.edu,,,,,,41908,41908,41908,2026,991,991,0.5931,0.5148,https://collegescorecard.ed.gov/,NEEDS_REVIEW,,https://www.albertusfalcons.com,,,,,,,NCAA_D3,Great Northeast Athletic Conference,,,,"NCAA Division III programs do not award athletic scholarships, but student-athletes may receive academic, need-based, and other non-athletic aid.",https://www.ncaa.org/sports/2014/10/6/division-iii.aspx,false,false,https://web3.ncaa.org/directory/memberList?type=12&division=3,NEEDS_REVIEW
Albion College,albion-college,,MI,,PRIVATE,FOUR_YEAR,https://www.albion.edu,,,,,,56950,56950,56950,2026,1300,1300,0.807,0.6159,https://collegescorecard.ed.gov/,NEEDS_REVIEW,,https://www.gobrits.com,,,,,,,NCAA_D3,Michigan Intercollegiate Athletic Association,,,,"NCAA Division III programs do not award athletic scholarships, but student-athletes may receive academic, need-based, and other non-athletic aid.",https://www.ncaa.org/sports/2014/10/6/division-iii.aspx,false,false,https://web3.ncaa.org/directory/memberList?type=12&division=3,NEEDS_REVIEW
Albright College,albright-college,,PA,,PRIVATE,FOUR_YEAR,https://www.albright.edu,,,,,,29082,29082,29082,2026,1217,1217,0.7633,0.507,https://collegescorecard.ed.gov/,NEEDS_REVIEW,,https://www.albrightathletics.com,,,,,,,NCAA_D3,Middle Atlantic Conferences,,,,"NCAA Division III programs do not award athletic scholarships, but student-athletes may receive academic, need-based, and other non-athletic aid.",https://www.ncaa.org/sports/2014/10/6/division-iii.aspx,false,false,https://web3.ncaa.org/directory/memberList?type=12&division=3,NEEDS_REVIEW
Alfred State College,alfred-state-college,,NY,,PUBLIC,FOUR_YEAR,https://www.alfredstate.edu,,,,,,8892,16837,16837,2026,3563,3563,0.7568,0.5506,https://collegescorecard.ed.gov/,NEEDS_REVIEW,,https://www.alfredstateathletics.com,,,,,,,NCAA_D3,Allegheny Mountain Collegiate Conference,,,,"NCAA Division III programs do not award athletic scholarships, but student-athletes may receive academic, need-based, and other non-athletic aid.",https://www.ncaa.org/sports/2014/10/6/division-iii.aspx,false,false,https://web3.ncaa.org/directory/memberList?type=12&division=3,NEEDS_REVIEW
Alfred University,alfred-university,,NY,,PRIVATE,FOUR_YEAR,https://www.alfred.edu,,,,,,41500,41500,41500,2026,1423,1423,0.7384,0.5698,https://collegescorecard.ed.gov/,NEEDS_REVIEW,,https://www.gosaxons.com,,,,,,,NCAA_D3,Empire 8,,,,"NCAA Division III programs do not award athletic scholarships, but student-athletes may receive academic, need-based, and other non-athletic aid.",https://www.ncaa.org/sports/2014/10/6/division-iii.aspx,false,false,https://web3.ncaa.org/directory/memberList?type=12&division=3,NEEDS_REVIEW
Allegheny College,allegheny-college,,PA,,PRIVATE,FOUR_YEAR,https://www.allegheny.edu,,,,,,56550,56550,56550,2026,1156,1156,0.5457,0.7255,https://collegescorecard.ed.gov/,NEEDS_REVIEW,,https://www.alleghenygators.com,https://www.alleghenygators.com/sports/baseball/roster,,,,,,NCAA_D3,Presidents' Athletic Conference,,,,"NCAA Division III programs do not award athletic scholarships, but student-athletes may receive academic, need-based, and other non-athletic aid.",https://www.ncaa.org/sports/2014/10/6/division-iii.aspx,false,false,https://web3.ncaa.org/directory/memberList?type=12&division=3,NEEDS_REVIEW
Alma College,alma-college,,MI,,PRIVATE,FOUR_YEAR,https://www.alma.edu,,,,,,49552,49552,49552,2026,1148,1148,0.5703,0.6287,https://collegescorecard.ed.gov/,NEEDS_REVIEW,,https://www.almascots.com,,,,,,,NCAA_D3,Michigan Intercollegiate Athletic Association,,,,"NCAA Division III programs do not award athletic scholarships, but student-athletes may receive academic, need-based, and other non-athletic aid.",https://www.ncaa.org/sports/2014/10/6/division-iii.aspx,false,false,https://web3.ncaa.org/directory/memberList?type=12&division=3,NEEDS_REVIEW
Alvernia University,alvernia-university,,PA,,PRIVATE,FOUR_YEAR,https://www.alvernia.edu,,,,,,45000,45000,45000,2026,2152,2152,0.5806,0.5553,https://collegescorecard.ed.gov/,NEEDS_REVIEW,,https://athletics.alvernia.edu,,,,,,,NCAA_D3,Middle Atlantic Conferences,,,,"NCAA Division III programs do not award athletic scholarships, but student-athletes may receive academic, need-based, and other non-athletic aid.",https://www.ncaa.org/sports/2014/10/6/division-iii.aspx,false,false,https://web3.ncaa.org/directory/memberList?type=12&division=3,NEEDS_REVIEW
Alverno College,alverno-college,,WI,,PRIVATE,FOUR_YEAR,https://www.alverno.edu,,,,,,34086,34086,34086,2026,631,631,0.8574,0.4918,https://collegescorecard.ed.gov/,NEEDS_REVIEW,,https://athletics.alverno.edu/,,,,,,,NCAA_D3,Northern Athletics Collegiate Conference,,,,"NCAA Division III programs do not award athletic scholarships, but student-athletes may receive academic, need-based, and other non-athletic aid.",https://www.ncaa.org/sports/2014/10/6/division-iii.aspx,false,false,https://web3.ncaa.org/directory/memberList?type=12&division=3,NEEDS_REVIEW
