name,slug,city,state,region,control,schoolType,websiteUrl,admissionsUrl,academicsUrl,majorsUrl,applicationUrl,financialAidUrl,tuitionInState,tuitionOutOfState,tuitionInternational,tuitionYear,enrollmentTotal,enrollmentUndergrad,acceptanceRate,graduationRate,dataSourceUrl,verificationStatus,baseballNickname,baseballWebsiteUrl,rosterUrl,scheduleUrl,campsUrl,questionnaireUrl,generalContactUrl,generalContactEmail,division,conference,logoUrl,currentRosterSize,averageGpa,scholarshipNotes,scholarshipInfoUrl,transferHeavy,jucoFriendly,baseballDataSourceUrl,baseballVerificationStatus
Agnes Scott College,agnes-scott-college,,GA,,PRIVATE,FOUR_YEAR,https://www.agnesscott.edu,,,,,,,,,2026,,,,,https://collegescorecard.ed.gov/,NEEDS_REVIEW,,https://www.ascscotties.com,,,,,,,NCAA_D3,Collegiate Conference of the South,,,,"NCAA Division III programs do not award athletic scholarships, but student-athletes may receive academic, need-based, and other non-athletic aid.",https://www.ncaa.org/sports/2014/10/6/division-iii.aspx,false,false,https://web3.ncaa.org/directory/memberList?type=12&division=3,NEEDS_REVIEW
Babson College,babson-college,,MA,,PRIVATE,FOUR_YEAR,https://www.babson.edu,,,,,,,,,2026,,,,,https://collegescorecard.ed.gov/,NEEDS_REVIEW,,https://www.babsonathletics.com,,,,,,,NCAA_D3,New England Women's and Men's Athletic Conference,,,,"NCAA Division III programs do not award athletic scholarships, but student-athletes may receive academic, need-based, and other non-athletic aid.",https://www.ncaa.org/sports/2014/10/6/division-iii.aspx,false,false,https://web3.ncaa.org/directory/memberList?type=12&division=3,NEEDS_REVIEW
Baruch College,baruch-college,,NY,,PUBLIC,FOUR_YEAR,https://www.baruch.cuny.edu,,,,,,,,,2026,,,,,https://collegescorecard.ed.gov/,NEEDS_REVIEW,,https://www.baruchathletics.com,,,,,,,NCAA_D3,City University of New York Athletic Conference,,,,"NCAA Division III programs do not award athletic scholarships, but student-athletes may receive academic, need-based, and other non-athletic aid.",https://www.ncaa.org/sports/2014/10/6/division-iii.aspx,false,false,https://web3.ncaa.org/directory/memberList?type=12&division=3,NEEDS_REVIEW
Bowdoin College,bowdoin-college,,ME,,PRIVATE,FOUR_YEAR,https://www.bowdoin.edu,,,,,,,,,2026,,,,,https://collegescorecard.ed.gov/,NEEDS_REVIEW,,https://www.bowdoin.edu/athletics/,,,,,,,NCAA_D3,New England Small College Athletic Conference,,,,"NCAA Division III programs do not award athletic scholarships, but student-athletes may receive academic, need-based, and other non-athletic aid.",https://www.ncaa.org/sports/2014/10/6/division-iii.aspx,false,false,https://web3.ncaa.org/directory/memberList?type=12&division=3,NEEDS_REVIEW
Brooklyn College,brooklyn-college,,NY,,PUBLIC,FOUR_YEAR,https://www.brooklyn.cuny.edu,,,,,,,,,2026,,,,,https://collegescorecard.ed.gov/,NEEDS_REVIEW,,https://brooklyncollegeathletics.com,,,,,,,NCAA_D3,City University of New York Athletic Conference,,,,"NCAA Division III programs do not award athletic scholarships, but student-athletes may receive academic, need-based, and other non-athletic aid.",https://www.ncaa.org/sports/2014/10/6/division-iii.aspx,false,false,https://web3.ncaa.org/directory/memberList?type=12&division=3,NEEDS_REVIEW
Bryn Mawr College,bryn-mawr-college,,PA,,PRIVATE,FOUR_YEAR,https://www.brynmawr.edu,,,,,,,,,2026,,,,,https://collegescorecard.ed.gov/,NEEDS_REVIEW,,https://www.brynmawr.edu/athletics/,,,,,,,NCAA_D3,Centennial Conference,,,,"NCAA Division III programs do not award athletic scholarships, but student-athletes may receive academic, need-based, and other non-athletic aid.",https://www.ncaa.org/sports/2014/10/6/division-iii.aspx,false,false,https://web3.ncaa.org/directory/memberList?type=12&division=3,NEEDS_REVIEW
Carnegie Mellon University,carnegie-mellon-university,,PA,,PRIVATE,FOUR_YEAR,https://www.cmu.edu/,,,,,,,,,2026,,,,,https://collegescorecard.ed.gov/,NEEDS_REVIEW,,https://athletics.cmu.edu,,,,,,,NCAA_D3,University Athletic Association,,,,"NCAA Division III programs do not award athletic scholarships, but student-athletes may receive academic, need-based, and other non-athletic aid.",https://www.ncaa.org/sports/2014/10/6/division-iii.aspx,false,false,https://web3.ncaa.org/directory/memberList?type=12&division=3,NEEDS_REVIEW
Cedar Crest College,cedar-crest-college,,PA,,PRIVATE,FOUR_YEAR,https://www.cedarcrest.edu,,,,,,,,,2026,,,,,https://collegescorecard.ed.gov/,NEEDS_REVIEW,,https://www.cedarcrestathletics.com,,,,,,,NCAA_D3,United East Conference,,,,"NCAA Division III programs do not award athletic scholarships, but student-athletes may receive academic, need-based, and other non-athletic aid.",https://www.ncaa.org/sports/2014/10/6/division-iii.aspx,false,false,https://web3.ncaa.org/directory/memberList?type=12&division=3,NEEDS_REVIEW
Clark University (Massachusetts),clark-university-massachusetts,,MA,,PRIVATE,FOUR_YEAR,https://www.clarku.edu,,,,,,,,,2026,,,,,https://collegescorecard.ed.gov/,NEEDS_REVIEW,,https://clarkathletics.com,,,,,,,NCAA_D3,New England Women's and Men's Athletic Conference,,,,"NCAA Division III programs do not award athletic scholarships, but student-athletes may receive academic, need-based, and other non-athletic aid.",https://www.ncaa.org/sports/2014/10/6/division-iii.aspx,false,false,https://web3.ncaa.org/directory/memberList?type=12&division=3,NEEDS_REVIEW
Crown College (Minnesota),crown-college-minnesota,,MN,,PRIVATE,FOUR_YEAR,https://www.crown.edu,,,,,,,,,2026,,,,,https://collegescorecard.ed.gov/,NEEDS_REVIEW,,https://www.athletics.crown.edu,,,,,,,NCAA_D3,Upper Midwest Athletic Conference,,,,"NCAA Division III programs do not award athletic scholarships, but student-athletes may receive academic, need-based, and other non-athletic aid.",https://www.ncaa.org/sports/2014/10/6/division-iii.aspx,false,false,https://web3.ncaa.org/directory/memberList?type=12&division=3,NEEDS_REVIEW
Delaware Valley University,delaware-valley-university,,PA,,PRIVATE,FOUR_YEAR,https://www.delval.edu,,,,,,,,,2026,,,,,https://collegescorecard.ed.gov/,NEEDS_REVIEW,,https://www.delval.edu/athletics,,,,,,,NCAA_D3,Middle Atlantic Conferences,,,,"NCAA Division III programs do not award athletic scholarships, but student-athletes may receive academic, need-based, and other non-athletic aid.",https://www.ncaa.org/sports/2014/10/6/division-iii.aspx,false,false,https://web3.ncaa.org/directory/memberList?type=12&division=3,NEEDS_REVIEW
Emerson College,emerson-college,,MA,,PRIVATE,FOUR_YEAR,https://www.emerson.edu,,,,,,,,,2026,,,,,https://collegescorecard.ed.gov/,NEEDS_REVIEW,,https://www.emersonlions.com,,,,,,,NCAA_D3,New England Women's and Men's Athletic Conference,,,,"NCAA Division III programs do not award athletic scholarships, but student-athletes may receive academic, need-based, and other non-athletic aid.",https://www.ncaa.org/sports/2014/10/6/division-iii.aspx,false,false,https://web3.ncaa.org/directory/memberList?type=12&division=3,NEEDS_REVIEW
Goucher College,goucher-college,,MD,,PRIVATE,FOUR_YEAR,https://www.goucher.edu,,,,,,,,,2026,,,,,https://collegescorecard.ed.gov/,NEEDS_REVIEW,,https://athletics.goucher.edu/landing/index,,,,,,,NCAA_D3,Landmark Conference,,,,"NCAA Division III programs do not award athletic scholarships, but student-athletes may receive academic, need-based, and other non-athletic aid.",https://www.ncaa.org/sports/2014/10/6/division-iii.aspx,false,false,https://web3.ncaa.org/directory/memberList?type=12&division=3,NEEDS_REVIEW
Hartwick College,hartwick-college,,NY,,PRIVATE,FOUR_YEAR,https://www.hartwick.edu,,,,,,,,,2026,,,,,https://collegescorecard.ed.gov/,NEEDS_REVIEW,,https://www.hartwickhawks.com,,,,,,,NCAA_D3,Empire 8,,,,"NCAA Division III programs do not award athletic scholarships, but student-athletes may receive academic, need-based, and other non-athletic aid.",https://www.ncaa.org/sports/2014/10/6/division-iii.aspx,false,false,https://web3.ncaa.org/directory/memberList?type=12&division=3,NEEDS_REVIEW
