name,slug,city,state,region,control,schoolType,websiteUrl,admissionsUrl,academicsUrl,majorsUrl,applicationUrl,financialAidUrl,tuitionInState,tuitionOutOfState,tuitionInternational,tuitionYear,enrollmentTotal,enrollmentUndergrad,acceptanceRate,graduationRate,dataSourceUrl,verificationStatus,baseballNickname,baseballWebsiteUrl,rosterUrl,scheduleUrl,campsUrl,questionnaireUrl,generalContactUrl,generalContactEmail,division,conference,logoUrl,currentRosterSize,averageGpa,scholarshipNotes,scholarshipInfoUrl,transferHeavy,jucoFriendly,baseballDataSourceUrl,baseballVerificationStatus
Allen County Community College,allen-county-community-college,,KS,,PUBLIC,JUNIOR_COLLEGE,,,,,,,,,,2026,,,,,https://collegescorecard.ed.gov/,NEEDS_REVIEW,,https://njcaastats.prestosports.com/sports/bsb/2024-25/div1/teams/allencountycommunitycollege,https://njcaastats.prestosports.com/sports/bsb/2024-25/div1/teams/allencountycommunitycollege/roster,https://njcaastats.prestosports.com/sports/bsb/2024-25/div1/teams/allencountycommunitycollege/schedule,,,,,NJCAA_D1,Region 6,,,,"NJCAA Division I programs may offer athletic scholarships, subject to NJCAA and institutional limits.",https://www.njcaa.org/,true,true,https://njcaastats.prestosports.com/sports/bsb/2024-25/div1/teams?jsRendering=true&pos=br&sort=r,NEEDS_REVIEW
Alvin Community College,alvin-community-college,,TX,,PUBLIC,JUNIOR_COLLEGE,,,,,,,,,,2026,,,,,https://collegescorecard.ed.gov/,NEEDS_REVIEW,,https://njcaastats.prestosports.com/sports/bsb/2024-25/div1/teams/alvincommunitycollege,https://njcaastats.prestosports.com/sports/bsb/2024-25/div1/teams/alvincommunitycollege/roster,https://njcaastats.prestosports.com/sports/bsb/2024-25/div1/teams/alvincommunitycollege/schedule,,,,,NJCAA_D1,Region 14,,,,"NJCAA Division I programs may offer athletic scholarships, subject to NJCAA and institutional limits.",https://www.njcaa.org/,true,true,https://njcaastats.prestosports.com/sports/bsb/2024-25/div1/teams?jsRendering=true&pos=br&sort=r,NEEDS_REVIEW
Amarillo College,amarillo-college,,TX,,PUBLIC,JUNIOR_COLLEGE,,,,,,,,,,2026,,,,,https://collegescorecard.ed.gov/,NEEDS_REVIEW,,https://njcaastats.prestosports.com/sports/bsb/2024-25/div1/teams/amarillocollege,https://njcaastats.prestosports.com/sports/bsb/2024-25/div1/teams/amarillocollege/roster,https://njcaastats.prestosports.com/sports/bsb/2024-25/div1/teams/amarillocollege/schedule,,,,,NJCAA_D1,Region 5,,,,"NJCAA Division I programs may offer athletic scholarships, subject to NJCAA and institutional limits.",https://www.njcaa.org/,true,true,https://njcaastats.prestosports.com/sports/bsb/2024-25/div1/teams?jsRendering=true&pos=br&sort=r,NEEDS_REVIEW
Andrew College,andrew-college,,GA,,PUBLIC,JUNIOR_COLLEGE,,,,,,,,,,2026,,,,,https://collegescorecard.ed.gov/,NEEDS_REVIEW,,https://njcaastats.prestosports.com/sports/bsb/2024-25/div1/teams/andrewcollege,https://njcaastats.prestosports.com/sports/bsb/2024-25/div1/teams/andrewcollege/roster,https://njcaastats.prestosports.com/sports/bsb/2024-25/div1/teams/andrewcollege/schedule,,,,,NJCAA_D1,Region 17,,,,"NJCAA Division I programs may offer athletic scholarships, subject to NJCAA and institutional limits.",https://www.njcaa.org/,true,true,https://njcaastats.prestosports.com/sports/bsb/2024-25/div1/teams?jsRendering=true&pos=br&sort=r,NEEDS_REVIEW
Angelina College,angelina-college,,TX,,PUBLIC,JUNIOR_COLLEGE,,,,,,,,,,2026,,,,,https://collegescorecard.ed.gov/,NEEDS_REVIEW,,https://njcaastats.prestosports.com/sports/bsb/2024-25/div1/teams/angelinacollege,https://njcaastats.prestosports.com/sports/bsb/2024-25/div1/teams/angelinacollege/roster,https://njcaastats.prestosports.com/sports/bsb/2024-25/div1/teams/angelinacollege/schedule,,,,,NJCAA_D1,Region 14,,,,"NJCAA Division I programs may offer athletic scholarships, subject to NJCAA and institutional limits.",https://www.njcaa.org/,true,true,https://njcaastats.prestosports.com/sports/bsb/2024-25/div1/teams?jsRendering=true&pos=br&sort=r,NEEDS_REVIEW
Arizona Western College,arizona-western-college,,AZ,,PUBLIC,JUNIOR_COLLEGE,,,,,,,,,,2026,,,,,https://collegescorecard.ed.gov/,NEEDS_REVIEW,,https://njcaastats.prestosports.com/sports/bsb/2024-25/div1/teams/arizonawesterncollege,https://njcaastats.prestosports.com/sports/bsb/2024-25/div1/teams/arizonawesterncollege/roster,https://njcaastats.prestosports.com/sports/bsb/2024-25/div1/teams/arizonawesterncollege/schedule,,,,,NJCAA_D1,Region 1,,,,"NJCAA Division I programs may offer athletic scholarships, subject to NJCAA and institutional limits.",https://www.njcaa.org/,true,true,https://njcaastats.prestosports.com/sports/bsb/2024-25/div1/teams?jsRendering=true&pos=br&sort=r,NEEDS_REVIEW
Barton Community College,barton-community-college,,KS,,PUBLIC,JUNIOR_COLLEGE,,,,,,,,,,2026,,,,,https://collegescorecard.ed.gov/,NEEDS_REVIEW,,https://njcaastats.prestosports.com/sports/bsb/2024-25/div1/teams/bartoncommunitycollege,https://njcaastats.prestosports.com/sports/bsb/2024-25/div1/teams/bartoncommunitycollege/roster,https://njcaastats.prestosports.com/sports/bsb/2024-25/div1/teams/bartoncommunitycollege/schedule,,,,,NJCAA_D1,Region 6,,,,"NJCAA Division I programs may offer athletic scholarships, subject to NJCAA and institutional limits.",https://www.njcaa.org/,true,true,https://njcaastats.prestosports.com/sports/bsb/2024-25/div1/teams?jsRendering=true&pos=br&sort=r,NEEDS_REVIEW
Baton Rouge Community College,baton-rouge-community-college,,LA,,PUBLIC,JUNIOR_COLLEGE,,,,,,,,,,2026,,,,,https://collegescorecard.ed.gov/,NEEDS_REVIEW,,https://njcaastats.prestosports.com/sports/bsb/2024-25/div1/teams/batonrougecommunitycollege,https://njcaastats.prestosports.com/sports/bsb/2024-25/div1/teams/batonrougecommunitycollege/roster,https://njcaastats.prestosports.com/sports/bsb/2024-25/div1/teams/batonrougecommunitycollege/schedule,,,,,NJCAA_D1,Region 23,,,,"NJCAA Division I programs may offer athletic scholarships, subject to NJCAA and institutional limits.",https://www.njcaa.org/,true,true,https://njcaastats.prestosports.com/sports/bsb/2024-25/div1/teams?jsRendering=true&pos=br&sort=r,NEEDS_REVIEW
Blinn College,blinn-college,,TX,,PUBLIC,JUNIOR_COLLEGE,,,,,,,,,,2026,,,,,https://collegescorecard.ed.gov/,NEEDS_REVIEW,,https://njcaastats.prestosports.com/sports/bsb/2024-25/div1/teams/blinncollege,https://njcaastats.prestosports.com/sports/bsb/2024-25/div1/teams/blinncollege/roster,https://njcaastats.prestosports.com/sports/bsb/2024-25/div1/teams/blinncollege/schedule,,,,,NJCAA_D1,Region 14,,,,"NJCAA Division I programs may offer athletic scholarships, subject to NJCAA and institutional limits.",https://www.njcaa.org/,true,true,https://njcaastats.prestosports.com/sports/bsb/2024-25/div1/teams?jsRendering=true&pos=br&sort=r,NEEDS_REVIEW
Bossier Parish Community College,bossier-parish-community-college,,LA,,PUBLIC,JUNIOR_COLLEGE,,,,,,,,,,2026,,,,,https://collegescorecard.ed.gov/,NEEDS_REVIEW,,https://njcaastats.prestosports.com/sports/bsb/2024-25/div1/teams/bossierparishcommunitycollege,https://njcaastats.prestosports.com/sports/bsb/2024-25/div1/teams/bossierparishcommunitycollege/roster,https://njcaastats.prestosports.com/sports/bsb/2024-25/div1/teams/bossierparishcommunitycollege/schedule,,,,,NJCAA_D1,Region 14,,,,"NJCAA Division I programs may offer athletic scholarships, subject to NJCAA and institutional limits.",https://www.njcaa.org/,true,true,https://njcaastats.prestosports.com/sports/bsb/2024-25/div1/teams?jsRendering=true&pos=br&sort=r,NEEDS_REVIEW
