rank,school,season,source,extractedAt
1,UCLA,2026,https://www.ncaa.com/rankings/baseball/d1/rpi,2026-07-23T13:18:15.231Z
2,Georgia Tech,2026,https://www.ncaa.com/rankings/baseball/d1/rpi,2026-07-23T13:18:15.231Z
3,Auburn,2026,https://www.ncaa.com/rankings/baseball/d1/rpi,2026-07-23T13:18:15.231Z
4,North Carolina,2026,https://www.ncaa.com/rankings/baseball/d1/rpi,2026-07-23T13:18:15.231Z
5,Texas,2026,https://www.ncaa.com/rankings/baseball/d1/rpi,2026-07-23T13:18:15.231Z
6,Alabama,2026,https://www.ncaa.com/rankings/baseball/d1/rpi,2026-07-23T13:18:15.231Z
7,Georgia,2026,https://www.ncaa.com/rankings/baseball/d1/rpi,2026-07-23T13:18:15.231Z
8,Florida St.,2026,https://www.ncaa.com/rankings/baseball/d1/rpi,2026-07-23T13:18:15.231Z
9,Southern California,2026,https://www.ncaa.com/rankings/baseball/d1/rpi,2026-07-23T13:18:15.231Z
10,Nebraska,2026,https://www.ncaa.com/rankings/baseball/d1/rpi,2026-07-23T13:18:15.231Z
11,Florida,2026,https://www.ncaa.com/rankings/baseball/d1/rpi,2026-07-23T13:18:15.231Z
12,Southern Miss.,2026,https://www.ncaa.com/rankings/baseball/d1/rpi,2026-07-23T13:18:15.231Z
13,Mississippi St.,2026,https://www.ncaa.com/rankings/baseball/d1/rpi,2026-07-23T13:18:15.231Z
14,Texas A&M,2026,https://www.ncaa.com/rankings/baseball/d1/rpi,2026-07-23T13:18:15.231Z
15,Oregon,2026,https://www.ncaa.com/rankings/baseball/d1/rpi,2026-07-23T13:18:15.231Z
16,Ole Miss,2026,https://www.ncaa.com/rankings/baseball/d1/rpi,2026-07-23T13:18:15.231Z
17,West Virginia,2026,https://www.ncaa.com/rankings/baseball/d1/rpi,2026-07-23T13:18:15.231Z
18,Oregon St.,2026,https://www.ncaa.com/rankings/baseball/d1/rpi,2026-07-23T13:18:15.231Z
19,Kansas,2026,https://www.ncaa.com/rankings/baseball/d1/rpi,2026-07-23T13:18:15.231Z
20,Wake Forest,2026,https://www.ncaa.com/rankings/baseball/d1/rpi,2026-07-23T13:18:15.231Z
21,Arkansas,2026,https://www.ncaa.com/rankings/baseball/d1/rpi,2026-07-23T13:18:15.231Z
22,Cincinnati,2026,https://www.ncaa.com/rankings/baseball/d1/rpi,2026-07-23T13:18:15.231Z
23,Missouri St.,2026,https://www.ncaa.com/rankings/baseball/d1/rpi,2026-07-23T13:18:15.231Z
24,Oklahoma,2026,https://www.ncaa.com/rankings/baseball/d1/rpi,2026-07-23T13:18:15.231Z
25,Jacksonville St.,2026,https://www.ncaa.com/rankings/baseball/d1/rpi,2026-07-23T13:18:15.231Z
26,Virginia,2026,https://www.ncaa.com/rankings/baseball/d1/rpi,2026-07-23T13:18:15.231Z
27,Coastal Carolina,2026,https://www.ncaa.com/rankings/baseball/d1/rpi,2026-07-23T13:18:15.231Z
28,Mercer,2026,https://www.ncaa.com/rankings/baseball/d1/rpi,2026-07-23T13:18:15.231Z
29,Oklahoma St.,2026,https://www.ncaa.com/rankings/baseball/d1/rpi,2026-07-23T13:18:15.231Z
